state,kind,plane,a_mm,ligament_mm,k_gov_mpa_sqrt_m,k1_mpa_sqrt_m,k2_mpa_sqrt_m,k3_mpa_sqrt_m,j_n_per_mm,sigma_ref_path,sigma_ref_component,sigma_m_mpa,sigma_b_mpa,p_limit_mpa,receipt_sha256,mapdl_version,mapdl_release,producing_commit
p0a_verification,verification,verification_plate,2.0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,7fbe4aef7eb43b560d1695a1e77edf83c198fa1f82f34d55103cfedea12b5b3c,26.1,2026 R1,8033a20a5cc666e7cb777ea019544663b2cf484a
p0b_uncracked,weldolet_uncracked,crotch,n/a,n/a,n/a,n/a,n/a,n/a,n/a,4,hoop,71.94325722929689,23.10805227546998,n/a,e9f71f68a496be243a02cc29cf663fe21d2c14e8d738a9401b460b8591d4d00a,26.1,2026 R1,8033a20a5cc666e7cb777ea019544663b2cf484a
p0b_uncracked,weldolet_uncracked,fusion_face,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,normal,3.4522436515705484,4.588417494124302,n/a,e9f71f68a496be243a02cc29cf663fe21d2c14e8d738a9401b460b8591d4d00a,26.1,2026 R1,8033a20a5cc666e7cb777ea019544663b2cf484a
p0b_fullcirc_a2p35,weldolet_crack,fusion_face,2.35,6.210000000000001,1.3866034267497593,1.305141096132244,0.3798160738577839,4.3083968015450045e-11,0.009587007383,1,normal,3.4522436515705484,4.588417494124302,n/a,8ad94141aa01c8a7070e480984b39c05d68b2f8f5d12ebc2ebacccd4fbdd17eb,26.1,2026 R1,8033a20a5cc666e7cb777ea019544663b2cf484a
p0b_crotch_a2p35,weldolet_crack,crotch,2.35,2.91,7.5273079981243205,7.431349252682441,0.0,0.0,0.2825256591,4,hoop,71.94325722929689,23.10805227546998,n/a,aab127665d3ac3893966532348192f4e6ce619f7c97f8bcdf3e79dc064d87319,26.1,2026 R1,8033a20a5cc666e7cb777ea019544663b2cf484a
p0b_crotch_a2p80,weldolet_crack,crotch,2.8,2.0100000000000007,8.837200455104524,8.741584909359739,0.0,0.0,0.3894107496666666,4,hoop,71.94325722929689,23.10805227546998,n/a,1932a86a5faae7e08a00377a1916bb6246ace74bd5367ac94bd06627191b9889,26.1,2026 R1,8033a20a5cc666e7cb777ea019544663b2cf484a
p0b_crotch_a3p20,weldolet_crack,crotch,3.2,1.21,10.413698173854259,10.307994155789705,0.0,0.0,0.5407399988333333,4,hoop,71.94325722929689,23.10805227546998,n/a,28db03333ec8ed33dc42f7198c33498b741db1d9d2b2896fb848d37e516dd529,26.1,2026 R1,8033a20a5cc666e7cb777ea019544663b2cf484a
p0b_crotch_a2p35_cfp_off,weldolet_crack,crotch,2.35,2.91,7.2394600736243255,7.279974970774979,0.0,0.0,0.26133096856666665,4,hoop,71.94325722929689,23.10805227546998,n/a,5e841b2b17a3cd2d9fed084c3df091b1e1672ec48021b644cba9f5811299ddd0,26.1,2026 R1,8033a20a5cc666e7cb777ea019544663b2cf484a
p0b_fullcirc_a2p80,weldolet_crack,fusion_face,2.8,5.760000000000001,1.4354066479317769,1.3403349829315687,0.4317189004398307,2.5814821119256167e-11,0.010273736673333334,1,normal,3.4522436515705484,4.588417494124302,n/a,c9079ef7ba989dbcf9a66cbed06d3959163e67c167d2475a7ec2e6beb956d8dc,26.1,2026 R1,c068b0527ad7d0fedb0d0b51b4f4a4be6ba8acab
p0b_fullcirc_a3p20,weldolet_crack,fusion_face,3.2,5.36,1.469971771816009,1.36302098409152,0.47304794236622527,2.808052425687539e-11,0.010774484816666666,1,normal,3.4522436515705484,4.588417494124302,n/a,412d9e7560935537938de816ed27d90fc2747c4b3a769c3542fa40c77ebaa7a2,26.1,2026 R1,c068b0527ad7d0fedb0d0b51b4f4a4be6ba8acab
p0b_fullcirc_a3p60,weldolet_crack,fusion_face,3.6,4.960000000000001,1.5001022324685547,1.381297723373881,0.5115348653204185,4.6388623759303e-11,0.011220707419999998,1,normal,3.4522436515705484,4.588417494124302,n/a,65b63b44d3e54d14a4cff4f79a706adfd3df0f84ac14b2afddc308bb0f005aeb,26.1,2026 R1,c068b0527ad7d0fedb0d0b51b4f4a4be6ba8acab
p0b_fullcirc_a4p00,weldolet_crack,fusion_face,4.0,4.5600000000000005,1.5295989608265095,1.3988421027618207,0.548529066411678,5.200520498398509e-11,0.011666314589999999,1,normal,3.4522436515705484,4.588417494124302,n/a,3567bfeb2f76d7296908f525103dfdf6ba34e8287d632835a033108141243264,26.1,2026 R1,c068b0527ad7d0fedb0d0b51b4f4a4be6ba8acab
p0b_limit_load_crotch_a2p35,limit_load,crotch,2.35,2.91,n/a,n/a,n/a,n/a,n/a,4,hoop,71.94325722929689,23.10805227546998,12.24218322,e4194bc33c5fdc8ce7cba8571f5222bddecd827aede6ea30a85793c946b7fec0,26.1,2026 R1,073c11f788cb2b07d85ca3e2db55acc24e9030c4
