case,a_mm,depth_status,governing_plane,governing_state,governing_receipt_sha256,k_gov_mpa_sqrt_m,lr,kr,envelope_margin,margin_mode,fad_inside,remaining_life_to_last_fe_cycles,extrapolated_life_to_limit_cycles,disposition,verdict,evidence_status
base,2.35,established,crotch,p0b_crotch_a2p35,aab127665d3ac3893966532348192f4e6ce619f7c97f8bcdf3e79dc064d87319,7.5273079981243205,0.7484355079,0.05702506059,2.559055068,curve,true,59339.41524,n/a,inside the envelope,MONITOR,INCOMPLETE
base,2.8,established,crotch,p0b_crotch_a2p80,1932a86a5faae7e08a00377a1916bb6246ace74bd5367ac94bd06627191b9889,8.837200455104524,0.7484355079,0.0669484883,2.421127111,curve,true,20965.36917,n/a,inside the envelope,MONITOR,INCOMPLETE
base,3.2,established,crotch,p0b_crotch_a3p20,28db03333ec8ed33dc42f7198c33498b741db1d9d2b2896fb848d37e516dd529,10.413698173854259,0.7484355079,0.07889165283,2.268309372,curve,true,0.0,n/a,inside the envelope,MONITOR,INCOMPLETE
base,3.6,governing_plane_not_established,fusion_face,p0b_fullcirc_a3p60,65b63b44d3e54d14a4cff4f79a706adfd3df0f84ac14b2afddc308bb0f005aeb,1.5001022324685547,0.06331229249,0.01136441085,21.04875253,curve,true,n/a,n/a,"record only, excluded from the verdict: the crotch plane is not solved at this depth and still has a ligament",MONITOR,INCOMPLETE
base,4.0,beyond_limit_state,fusion_face,p0b_fullcirc_a4p00,3567bfeb2f76d7296908f525103dfdf6ba34e8287d632835a033108141243264,1.5295989608265095,0.06331229249,0.01158787092,20.91150658,curve,true,n/a,n/a,"record only, excluded from the verdict: the crotch plane reaches its limit state at 3.805 mm (register F-09) before this depth",MONITOR,INCOMPLETE
sensitivity_life_to_ligament_exhaustion,2.35,SENSITIVITY,crotch,p0b_crotch_a2p35,aab127665d3ac3893966532348192f4e6ce619f7c97f8bcdf3e79dc064d87319,7.5273079981243205,n/a,n/a,n/a,n/a,n/a,n/a,77569.62194,SENSITIVITY: linear extrapolation of the last DeltaK segment (2.8-3.2 mm) from 3.2 mm to the crotch limit state 3.805 mm (register F-09); no FE state supports this range,MONITOR,INCOMPLETE
sensitivity_life_to_ligament_exhaustion,2.8,SENSITIVITY,crotch,p0b_crotch_a2p80,1932a86a5faae7e08a00377a1916bb6246ace74bd5367ac94bd06627191b9889,8.837200455104524,n/a,n/a,n/a,n/a,n/a,n/a,39195.57551,SENSITIVITY: linear extrapolation of the last DeltaK segment (2.8-3.2 mm) from 3.2 mm to the crotch limit state 3.805 mm (register F-09); no FE state supports this range,MONITOR,INCOMPLETE
sensitivity_life_to_ligament_exhaustion,3.2,SENSITIVITY,crotch,p0b_crotch_a3p20,28db03333ec8ed33dc42f7198c33498b741db1d9d2b2896fb848d37e516dd529,10.413698173854259,n/a,n/a,n/a,n/a,n/a,n/a,18230.20634,SENSITIVITY: linear extrapolation of the last DeltaK segment (2.8-3.2 mm) from 3.2 mm to the crotch limit state 3.805 mm (register F-09); no FE state supports this range,MONITOR,INCOMPLETE
sensitivity_limit_load_lr,2.35,SENSITIVITY,crotch,p0b_limit_load_crotch_a2p35,e4194bc33c5fdc8ce7cba8571f5222bddecd827aede6ea30a85793c946b7fec0,7.5273079981243205,0.3839184495,0.05702506059,3.755307067,curve,true,n/a,n/a,SENSITIVITY: Lr = p / P_L from the elastic-perfectly-plastic limit load (owner S02),MONITOR,INCOMPLETE
sensitivity_crack_face_pressure_off,2.35,SENSITIVITY,crotch,p0b_crotch_a2p35_cfp_off,5e841b2b17a3cd2d9fed084c3df091b1e1672ec48021b644cba9f5811299ddd0,7.2394600736243255,0.7484355079,0.0548443945,2.590761822,curve,true,n/a,n/a,SENSITIVITY: crack_face_pressure_off,MONITOR,INCOMPLETE
