hull_id,hull_type,name,source,panel_format,file_path,panel_count,vertex_count,symmetry,length_m,beam_m,draft_m,displacement_t,description,loading_condition,tags
canonical_barge_100x20x10,barge,barge_100x20x10,canonical,gdf,data/hull_library/panels/barges/barge_100x20x10.gdf,228,167,yz,100.0,20.0,8.0,,,,gdf;canonical
canonical_unit_box,barge,unit_box,canonical,gdf,data/hull_library/panels/barges/unit_box.gdf,5,8,,1.0,1.0,1.0,,,,gdf;canonical
canonical_fst_204m_draft12m,fpso,fst_204m_draft12m,canonical,gdf,data/hull_library/panels/fpso/fst_204m_draft12m.gdf,19450,9999,,204.592,43.749,11.736,,,,gdf;canonical
canonical_lngc_125km3_270m,lngc,lngc_125km3_270m,canonical,gdf,data/hull_library/panels/lngc/lngc_125km3_270m.gdf,28879,9999,,270.224,43.399,11.732,,,,gdf;canonical
canonical_lngc_180km3_287m,lngc,lngc_180km3_287m,canonical,gdf,data/hull_library/panels/lngc/lngc_180km3_287m.gdf,28626,9999,,287.381,46.4,11.732,,,,gdf;canonical
canonical_cylinder_r10_d50,cylinder,cylinder_r10_d50,canonical,gdf,data/hull_library/panels/primitives/cylinder_r10_d50.gdf,420,453,xy,1.0,1.0,2.0,,,,gdf;canonical
canonical_ellipsoid_96p,ellipsoid,ellipsoid_96p,canonical,gdf,data/hull_library/panels/primitives/ellipsoid_96p.gdf,96,109,xy,1.96,0.98,0.8,,,,gdf;canonical
canonical_pyramid_zc08,custom,pyramid_zc08,canonical,gdf,data/hull_library/panels/primitives/pyramid_zc08.gdf,408,781,,11.0,10.0,3.0,,,,gdf;canonical
canonical_sphere_r5,sphere,sphere_r5,canonical,gdf,data/hull_library/panels/primitives/sphere_r5.gdf,240,249,xy,1.0,1.0,1.0,,,,gdf;canonical
canonical_l03_centre_column,semi_pontoon,l03_centre_column,canonical,gdf,data/hull_library/panels/semi_subs/l03_centre_column.gdf,336,337,,6.5,6.337,20.0,,,,gdf;canonical
canonical_l03_outer_column,semi_pontoon,l03_outer_column,canonical,gdf,data/hull_library/panels/semi_subs/l03_outer_column.gdf,1178,1179,,24.0,23.918,20.0,,,,gdf;canonical
canonical_oc4_semisub,semi_pontoon,oc4_semisub,canonical,gdf,data/hull_library/panels/semi_subs/oc4_semisub.gdf,1069,938,yz,67.3,36.966,32.0,,,,gdf;canonical
canonical_l01_vessel_385p,ship,l01_vessel_385p,canonical,gdf,data/hull_library/panels/ships/l01_vessel_385p.gdf,385,507,yz,103.21,7.98,11.66,,,,gdf;canonical
canonical_spar_r10_d50,spar,spar_r10_d50,canonical,gdf,data/hull_library/panels/spars/spar_r10_d50.gdf,378,265,,20.0,20.0,50.0,,,,gdf;canonical
hull_collection_example_aframax_ga,tanker,Example Aframax GA,hull_collection,yaml_profile,Example Aframax GA.pdf,,,,,,,,Metadata-only entry (.pdf),,metadata;hull_collection
hull_collection_generic_tanker_mesh_parametric_scaling1,tanker,Generic Tanker Mesh Parametric Scaling1,hull_collection,yaml_profile,Generic Tanker Mesh Parametric Scaling1.xlsx,,,,,,,,Metadata-only entry (.xlsx),,metadata;hull_collection
hull_collection_generictankerhull,tanker,GenericTankerHull,hull_collection,rhino_3dm,GenericTankerHull.3dm,,,,,,,,Metadata-only entry (.3dm),,metadata;hull_collection
hull_collection_typical_fairlead_locations,custom,Typical Fairlead Locations,hull_collection,yaml_profile,Typical Fairlead Locations.xlsx,,,,,,,,Metadata-only entry (.xlsx),,metadata;hull_collection
hull_collection_results2,custom,RESULTS2,hull_collection,yaml_profile,RESULTS2.xls,,,,,,,,Metadata-only entry (.xls),,metadata;hull_collection
hull_collection_writeup,custom,WRITEUP,hull_collection,yaml_profile,WRITEUP.doc,,,,,,,,Metadata-only entry (.doc),,metadata;hull_collection
hull_collection_uncle_john_raos,custom,Uncle John RAOs,hull_collection,yaml_profile,Uncle John RAOs.xlsx,,,,,,,,Metadata-only entry (.xlsx),,metadata;hull_collection
hull_collection_motion_stan,custom,MOTION_STAN,hull_collection,yaml_profile,MOTION_STAN.xls,,,,,,,,Metadata-only entry (.xls),,metadata;hull_collection
rock_oil_field_7_seas,custom,7_Seas,rock_oil_field,yaml_profile,7_Seas.hst,,,,,,,,Metadata-only entry (.hst),,metadata;rock_oil_field
rock_oil_field_7_seas_1,custom,7_Seas,rock_oil_field,yaml_profile,7_Seas.rao,,,,,,,,Metadata-only entry (.rao),,metadata;rock_oil_field
orcaflex_fpso_328m,fpso,FPSO Vessel Type 328m,orcaflex_yaml,orcaflex_yaml,(orcaflex vessel type definition),,,,328.2,,9.46,,OrcaFlex vessel type with RAOs and wireframe,,orcaflex;fpso
