region,location,return_period_years,probability_exceedance,hs_m,tp_s,tz_s,direction_deg,source_table
nan,,5.0,,23.0,,,,table_237.csv
nan,,1.0,,21.0,,,,table_237.csv
nan,,100.0,,31.0,,,,table_237.csv
nan,,50.0,,29.0,,,,table_237.csv
nan,,10.0,,26.0,,,,table_237.csv
nan,,5.0,,12.0,,,,table_237.csv
nan,,1.0,,11.0,,,,table_237.csv
nan,,100.0,,16.0,,,,table_237.csv
nan,,50.0,,15.0,,,,table_237.csv
nan,,10.0,,13.0,,,,table_237.csv
nan,,100.0,,,20.0,,,table_237.csv
nan,,50.0,,,20.0,,,table_237.csv
nan,,10.0,,,18.0,,,table_237.csv
nan,,5.0,,10.0,,,,table_237.csv
nan,,1.0,,9.0,,,,table_237.csv
nan,,100.0,,15.0,,,,table_237.csv
nan,,50.0,,14.0,,,,table_237.csv
nan,,10.0,,11.0,,,,table_237.csv
nan,,100.0,,,18.0,,,table_237.csv
nan,,50.0,,,17.0,,,table_237.csv
nan,,10.0,,,15.0,,,table_237.csv
nan,,50.0,,31.0,,,,table_066.csv
nan,,10.0,,29.0,,,,table_066.csv
nan,,5.0,,26.0,,,,table_066.csv
nan,,1.0,,23.0,,,,table_066.csv
nan,,50.0,,16.0,,,,table_066.csv
nan,,10.0,,15.0,,,,table_066.csv
nan,,5.0,,13.0,,,,table_066.csv
nan,,1.0,,12.0,,,,table_066.csv
nan,,50.0,,15.0,,,,table_066.csv
nan,,10.0,,14.0,,,,table_066.csv
nan,,5.0,,11.0,,,,table_066.csv
nan,,1.0,,10.0,,,,table_066.csv
nan,,50.0,,14.6,,,,table_067.csv
nan,,10.0,,13.75,,,,table_067.csv
nan,,5.0,,12.9,,,,table_067.csv
nan,,1.0,,11.85,,,,table_067.csv
nan,,50.0,,10.2,,,,table_067.csv
nan,,5.0,,9.6,,,,table_067.csv
nan,,100.0,,60.0,,,,table_068.csv
nan,,50.0,,8.0,,,,table_068.csv
nan,,10.0,,8.0,,,,table_068.csv
nan,,5.0,,6.0,,,,table_068.csv
nan,,1.0,,5.0,,,,table_068.csv
