Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 7
Metocean Parameter,,Return Period (years),,,
,1,5,10,50,100
,,,,,
,,,,,
Nominal water depth,,1400 m,,,
,,,,,
"Wind speed at 10 m above MSL (m/s)10 min mean3 s gust",,,,,
,16,20,21,25,26
,,,,,
,19,23,25,29,31
,,,,,
,,,,,
"Wave height (m)MaximumSignificant",,,,,
,7.9,8.6,8.8,9.5,9.9
,,,,,
,4.0,4.3,4.4,4.7,4.9
,,,,,
Wave direction (from),,SSW,,,
,,,,,
"Spectral peak period (s)For swellFor wind-seas",,,,,
,,,,,
,13 to 17,13 to 17,13 to 17,13 to 17,13 to 17
,,,,,
,7 to 8,7 to 8,7 to 8,7 to 8,7 to 8
,,,,,
,,,,,
"Current speed (m/s)Surface aMid-depth1 m above sea floor",,,,,
,0.9,1.0,1.0,1.2,1.2
,,,,,
,0.2,0.3,0.3,0.3,0.3
,,,,,
,0.2,0.3,0.3,0.3,0.3
,,,,,
,,,,,
"aThese extreme values exclude any effect from river plumes.",,,,,
,,,,,
