Unnamed: 0,Unnamed: 1
Determine range of metocean parameters,Interface with structural
required to support development,and operational teams
Identify data needs for metocean criteria,
derivation,
Plan data acquisition (site-specific,
measurements and/or hindcast),
Acquire metocean data,
Site-specific Hindcast,
measurements,
Calibrate/validate hindcast using,Develop response model
site-specific measurements,
Derive operability Identify storms for extreme,Identify storms for extreme
statistics value analysis,value analysis
