Unnamed: 0,Newfoundland Offshore Gulf of St.,Beaufort Sea,Nova Scotia Offshore
Offshore Area,Grand Deepwater Lawrence,,(Sable Island Bank)
,Banks,,
,Sea Water Temperatures (°C),,
Minimum extreme near,,,
surface,?1.7 ?1.7 ?1.8,?1.8,?1.6
Maximum near surface,15 to 19 15 to 19 15 to 20,5 to 10,15 to 20
Minimum near bottom a,?1.7 3 ?1.8,?1.8,?1.3
Maximum near bottom,3 to 6 3 2 to 6,?1 to 5,18
,Air Temperatures (°C),,
Minimum,?17 to ?19 ?17 to ?19,?40,?14 to ?19
Maximum,22 to 25 22 to 25,15,30 to 35
a For Gulf of St. Lawrence: minimum temperature mid-depth (°C).,,,
