Sea Ice,Average Annual Maximum Value,Uncertainty in Annual Maximum Values
Occurrence First ice,Mid-December,Mid-November to early January
Last ice,End March,End February to mid-April
Level ice (first year) Landfast ice thickness (m),0.6,± 0.3
Floe thickness (m),0.3,Variable due to rafting
,Rafted ice thickness can,
Rafted ice Rafted ice thickness (m),vary considerably in local areas; values of > 1 m are,Variable
,not uncommon,
Rubble fields Sail height (m),2 to 5,± 3
Length (m),? 1 000,Variable
Ridges (first year) Sail height (m),1 to 2,Variable
Keel depth (m),Water depth limited,n/a
Stamukhas Water depth range (m),0 to 8,
Sail height (m),? 20,Variable
Ice movement Speed in near-shore (m/s),0.5,± 0.3
"--`,,`,,`,,,,`,```,`,,,````,`,S`-`-p`,e,`,e,`,d`,, `i-n--  offshore (m/s)",0.5,± 0.3
Ice-induced scour Scour depth (m),0.2 to 0.5,? 1.5
