Date,Location,Description
743,Derbent,The area of the coast with fortifications was submerged in the sea.
918,Derbent,The part of the coast with fortifications was submerged in the sea.
957,Derbent,The fall of sea level caused horizontal displacement of the shoreline by 150 m from the equilibrium position.
1668,Terka,Part of the beach was submerged in the sea. The rise of water level was observed in the delta of the Terek River.
26.04.1868,Baku,Short-term rise and fall of sea level with amplitude about 0.45 m were observed.
09.03.1876,Oblivnoy Island,Unusual sea level oscillations occurred after strong underwater boom in conditions of dead calm. Event was observed from a ship.
27.06.1895,Krasnovodsk Bay,Flooding of north and west areas of Uzun-Ada as result of a large increase in water level in the bay. Large waves caused flooding of buildings and dock. A few wooden houses were taken away to the sea. Pipeline was destroyed.
31.12.1902,Baku,Unusual waves resulted in dangerous motion of ships in the port. Event was observed after destructive earthquake near Shimaha.
09.05.1933,Kuuli-Mayak,Sudden rise of sea level up to 1.35 m for 10 min. Fishing boats and equipment were taken away to sea.
12.04.1939,Livanov Shoal,The passing of a solitary wave of a large height was observed from two ships that were 15 miles from each other.
26.04.1960,Baku,Oscillations of sea level up to 1 m were observed for 23 h.
,,Unusual high-frequency sea level oscillations of 2 cm to 3 cm amplitude were
06.03.1986,Livanov Shoal,observed over epicenter of earthquake during 1 min to 1.5 min. The event was fixed
,,from a seiner and 45 fishing boats.
