1,South Padre Island,17,West Cameron South,33,Grand Isle
2,South Padre Island East,18,West Cameron,34.0,Grand Isle
3,North Padre Island,19,East Cameron,35.0,West Delta
4,North Padre Island East,20,East Cameron South,36.0,West Delta South
5,Mustang Island,21,Vermilion,37.0,South Pass South & East
6,Mustang Island East,22,Vermilion South,38.0,South Pass
7,Matagorda Island,23,South Marsh Island North,39.0,Breton Sound
8,Brazos,24,South Marsh Island,40.0,Main Pass
9,Brazos South,25,South Marsh Island South,41.0,Main Pass South & East
10,Galveston,26,Eugene Island,42.0,Chandeleur
11,Galveston South,27,Eugene Island South,43.0,Chandeleur East
12,High Island,28,Ship Shoal,44.0,Bay Marchand
13,High Island South,29,Ship Shoal South,45.0,Sabine Pass (TX)
14,High Island East South,30,South Pelto,46.0,Sabine Pass (LA)
15,High Island East,31,South Timbalier,,
16,West Cameron West,32,South Timbalier South,,
