(1),(2),(3),(4),(5),(6),(7),(8),Unnamed: 0,(9)
Variable,Range,Reported,Mode of,Required,Sensor,Output,Typical Operational,,Remarks
,,Resolution,Measurement/,Measurement,Time,Averaging,Performance,,
,,,Observation,Uncertainty,Constant,Time,,,
7.4 Variables from,,,,,,,Depends on,,
wave spectrum,,,,,,,averaging time and,,
,,,,,,,sea regularity as well,,
,,,,,,,as intrinsic instrument,,
,,,,,,,accuracy.,,
,,,,,,,,,
7.4.1 Significant wave,,,,,,,,,
height (H mo ),0 m to 20 m,0.1 m,A,,0.5 s,20 min,0.5 m for ? 5 m; 10 % for > 5 m,,
7.4.2 Average period,,,,,,,,,
(T m02),3 s to 30 s,0.1 s,A,,0.5 s,20 min,0.5 s,,
7.4.3 Peak period (Tp),3 s to 30 s,0.1 s,A,,0.5 s,20 min,0.5 s,Period of peak of frequency spectrum.,
7.4.4 Mean direction,0 ° to 360 °,10°,A,,0.5 s,20 min,,,
,,,,,,,20°,May be spectrally averaged or based on angular harmonics.,
7.4.5 Direction spread,0 ° to 360 °,10°,A,,,,,,
8 Ocean currents,,,,,,,,,
8.1 Current speed,0 cm·s-1 to 250 cm·s-1,1 cm·s -1,A,1 cm·s-1 to 10 cm·s-1,1 s,5 min to 20 min,2 cm·s10 cm·s-1 -1  to,Achievable accuracy affected by type of measurement; direct or,
8.2 Current direction,0° to 360°,1°,A,±5°,1 s,5 min to 20 min,±5°,acoustic Doppler profilers.,
9 Water level,±3 m,1 cm,I,±1 cm,,10 min,±5 cm,,
