Return Period (years) Metocean Parameter,Unnamed: 0
1 5 10 50,100
"Nominal water depth 75 m (10° N, 101° E)",
Wind speed at 10 m above MSL,
1 h mean (m/s) 35.4 39.6 40.9 44.6,46.0
10 min mean (m/s) 41.1 45.9 47.5 51.8,53.4
1 min mean (m/s) 48.9 54.6 56.5 61.6,63.5
3 s gust (m/s) 59.2 66.1 68.4 74.5,76.8
Waves,
"Significant height (m) 7.3 8.3 8.7 --`,,`,,`,,,,`,9``.`,6`, ,,````,`,`-`-`,,`,,`,`,1,`-0--.0",
Maximum height (m) 13.7 15.5 16.2 17.8,18.6
Mean period (s) 9.4 10.0 10.3 10.8,11.0
Spectral peak period (s) 13.3 14.2 14.5 15.2,15.6
Wave direction (from),
Prevailing WSW WSW WSW WSW,WSW
Current speed (m/s),
Surface,
