1 Mobile,14,Green Canyon,27,Sigsbee Escarpment
2 Pensacola,15.0,Atwater Valley,28.0,Amery Terrace
3 Viosca Knoll,16.0,Lloyd Ridge,29.0,Lund South
4 Destin Dome,17.0,The Elbow,30.0,Florida Plain
5 Apalachicola,18.0,Saint Petersburg,31.0,Howell Hook
6 Gainesville,19.0,Port Isabel,32.0,Pulley Ridge
7 Mississippi Canyon,20.0,Alaminos Canyon,33.0,Miami
8 De Soto Canyon,21.0,Keathley Canyon,34.0,Campeche Escarpment
"--`,,`,,`,,,,`,```,`,,,````,`,`-`-`,,`,,`,`,,`---",,,,
9 Florida Middle Ground,22.0,Walker Ridge,35.0,Rankin
10 Tarpon Springs,23.0,Lund,36.0,Dry Tortugas
11 Corpus Christi,24.0,Henderson,37.0,Key West
12 East Breaks,25.0,Vernon Basin,38.0,Tortugas Valley
13 Garden Banks,26.0,Charlotte Harbor,39.0,Ewing Bank
