Unnamed: 0,Unnamed: 1,Unnamed: 2,Return Period (years),Unnamed: 3,Unnamed: 4
Load Case,,,,,
,1.0,5.0,10 25,50.0,100.0
Wind dominant,,,,,
Wind speed,1.0,1.0,1 1,1.0,1.0
Wave height,0.9,0.9,0.90 0.90,0.9,0.9
Current speed,0.75,0.75,0.65 0.65,0.6,0.6
Surge/tide,0.0,0.0,0 0,0.0,0.0
Wind direction from wave (deg),0.0,0.0,0 0,0.0,0.0
Current direction from wave (deg),0.0,0.0,0 0,0.0,0.0
Wave dominant,,,,,
Wind speed,0.93,0.93,0.93 0.93,0.93,0.93
Wave height,1.0,1.0,1 1,1.0,1.0
Current speed,0.75,0.75,0.65 0.65,0.6,0.6
Surge/tide,0.0,0.0,0 0,0.0,0.0
Wind direction from wave (deg),0.0,0.0,0 0,0.0,0.0
Current direction from wave (deg),0.0,0.0,0 0,0.0,0.0
Current dominant,,,,,
Wind speed,0.7,0.7,0.70 0.70,0.7,0.7
Wave height,0.75,0.75,0.75 0.75,0.75,0.75
Current speed,1.0,1.0,1 1,1.0,1.0
Surge/tide,0.0,0.0,0 0,0.0,0.0
Wind direction from wave (deg),0.0,0.0,0 0,0.0,0.0
Current direction from wave (deg),90.0,90.0,+90 +90,90.0,90.0
