item,fpso_owner,vessel_name,construction_type,first_production,award_date,cycle_time_months,fpso_operator,field_operator,contract_type,leased,lease_period_years,operating_water_depth_m,field_location,country,reserves_mmboe,topsides_detail_eng,hull_detail_eng,general_contractor,topsides_fab_yard,hull_fab_yard,conversion_integration,turret_supplier,total_wells,production_wells,gas_injection_wells,water_injection_wells,classification,length_m,width_m,depth_m,operating_draft_m,hull_construction,deadweight_dwt,original_hull_fab_yr,latest_integration_yr,max_oil_production_mbopd,gas_processing_mmscfd,total_throughput_mboepd,gas_injection_mmscfd,gas_export_mmscfd,production_water_mbpd,produced_water_mbwpd,water_injection_mbwpd,storage_capacity_mbbbls,total_risers,quarters_capacity,gas_deposition,flare_type,offloading_system,mooring_system_type,permanent_disconnectable,anchor_legs
1,Aker FB,DHIRUBHAI-1 (AKER SMART 1),C,Sep-08,,,Aker FP,Aker BO Reliance,2,L,3.0,1200.0,MA-D6,India,1000.0,Aker Solutions,Aker Yard Brevik,Aker FP,Aker Solutions,NSSC,Jurong,APL,9.0,8.0,1.0,,ABS,332.0,58.0,28.0,,,265050.0,,,60.0,60.0,70.0,100.0,300.0,,50.0,60.0,1300.0,11.0,104.0,"F,S,I",FB,TS,STP,D,9.0
2,AKER,ALVHEIM,C,Jun-08,,,Aker BP,Aker BP,1,,,125.0,Alvheim,Norway,236.0,Vetco Aibel,Keppel,Vetco Aibel,Vetco Aibel,,Keppel/Vetco Aibel,APL,25.0,22.0,,3.0,DNV,252.0,42.0,23.0,16.0,DH,81213.0,2001.0,2008.0,157.0,125.0,178.0,,125.0,180.0,180.0,180.0,560.0,12.0,120.0,"S,L",FB,TS,IT,D,12.0
3,BP,SKARV FPSO,N,Dec-12,Dec-07,59.9,Aker BP,Aker BP,1,,,400.0,Skarv,Norway,385.0,Aker Solutions,Aker Solutions,,Samsung,Samsung,Samsung,,16.0,,,,DNV,295.0,51.0,20.0,,,129000.0,2010.0,,85.0,670.0,197.0,,,,,,875.0,13.0,100.0,S,FB,TS,,,15.0
4,AMNI / AFREN,ARMADA PERKASA,C,May-08,,,Amni / Afren,Amni / Afren,1,,,15.0,Okoru / Setu,Nigeria,,,KMV,Bumi Armada Berhad,Hug Seng,,Keppel,,7.0,,,,ABS,201.0,32.0,18.0,13.0,SH,58126.0,1975.0,2008.0,30.0,,30.0,,18.0,20.0,,,298.0,3.0,87.0,F,FB,TB/TS,SM,P,10.0
5,BHP BILLITON,PYRENEES VENTURE,C,Feb-10,Jul-07,31.0,BHP Billiton,MODEC BHP Billiton,2,L,15.0,200.0,"Pyrenees (Crosby, Revensworth, Stickle)",Australia,100.0,MODEC,MODEC,MODEC,COOEC,,Cosco,SOFEC,13.0,9.0,1.0,3.0,ABS,274.0,48.0,,,DH,143690.0,,2007.0,96.0,60.0,106.0,,60.0,110.0,,110.0,850.0,,,,,,IT,D,9.0
6,BLT,BROTOJOYO,N,Jan-11,,,BLT,BLT Kangean Energy Indonesia,3,L,,75.0,Pagerungan Utara,Indonesia,,Kavin Engineering,,Berlian Laju Tanker,,,Sembawang,,,,,,DNV,66.0,66.0,27.0,18.0,DH,45145.0,2007.0,2012.0,20.0,,20.0,,,,,,400.0,,,,,,SM,,
7,BLUE SKY,PTAP ONE,C,Nov-01,,,Blue Sky,Blue Sky,1,,,100.0,Langsa Field,Indonesia,,MODEC,MODEC,,,,,SOFEC,,,,,ABS,171.0,,,,,31424.0,,2001.0,15.0,,15.0,,,,11.0,,227.0,,,,,,SM,,8.0
8,BLUE SKY,MV 8 LANGSA VENTURE,C,Dec-01,Apr-01,8.0,Blue Sky Langsa Ltd.,Blue Sky Langsa Ltd. Mitsui Oil,3,L,20.0,100.0,Langsa Field,Indonesia,16.0,MODEC/NATCO,MODEC,MODEC,MODEC/BT Engr.,,Jurong,SOFEC,4.0,,,,ABS,171.0,25.0,16.0,12.0,SH,35000.0,1974.0,2001.0,15.0,,15.0,15.0,,11.0,,,272.0,3.0,40.0,F,FB,TS,SM,P,8.0
9,,BLEO HOLM,C,Apr-99,,,Bluewater,Talisman (Blake),3,L,,109.0,"Ross, Parry, Blake",UK,138.0,Fluor,Bluewater,Fluor,UiE Scotland,Hitachi,Hitachi,Bluewater,5.0,3.0,,2.0,ABS,322.0,56.0,29.0,,,265243.0,,,60.0,35.0,66.0,10.0,85.0,65.0,65.0,85.0,657.0,8.0,96.0,"F, I",FB,TS,IT,P,9.0
10,BLUEWATER,HAEWENE BRIM,N,Jan-99,,,Bluewater,Bluewater Shell,3,L,,85.0,Pierce,UK,238.0,APS/Aker,,Pierce Production,Aker McNulty,,Samsung Cromarty Firth,STP/Framo,8.0,,,2.0,DNV,252.0,42.0,23.0,16.0,DH,103000.0,1997.0,2014.0,70.0,110.0,88.0,110.0,,40.0,22.0,95.0,626.0,7.0,55.0,F,FB,TS,STP,D,8.0
