NUMBER,VESSEL DESIGN,CONSTRUCTION DATE,UPGRADE DATE,CLASSIFICATION,MAXIMUM WATER,DEPTH EQUIPPED,MAXIMUM WATER.1,DEPTH RATING,MAXIMUM DRILLING DEPTH,CURRENT CONTRACT,AREA OF OPERATION,TOTAL VESSEL POWER,MAX. VESSEL SPEED,QUARTERS CAPACITY,LENGTH,TRANSIT DRAFT,OPERATING DRAFT,WIDTH,MAX. VARIABLE LOAD,MOONPOOL SIZE,D.P. RATING (if applicable),THRUSTERS,SIZE of CHAIN,CHAIN GRADE,LENGTH OF CHAIN,WIRE ROPE Diameter,LENGTH of WIRE ROPE,ANCHOR SIZE,PEDESTAL CRANE 1,PEDESTAL CRANE 2,PEDESTAL CRANE 3,PEDESTAL CRANE 4,RISER HANDLING CRANE,DERRICK RATING,DERRICK MANUFACTURER,DERRICK FOOTPRINT,DRAWWORKS,drawworks,drill line size,rotary table size,IRON ROUGHNECK,top drive,HEAVE COMPENSATOR,heave compensAtION,CAPACITY,COMPENSATION TYPE,(ACTIVE/PASSIVE),PIPE RACKING SYSTEM,DRILLING,INSTRUMENTATION,5-in. DRILLPIPE,5.5-in. DRILLPIPE,6.625-in. DRILLPIPE,3.5-in. DRILLPIPE,MUD PUMPS,MUD PUMPS.1,mud pit active volume,mud pit reserve volume,Unnamed: 59,bulk storage capacity,DEDICATED COMPLETION,FLUID VOLUME,Gumbo Buster,shale shakers,desander,desilter,riser tensioner,(Total capacity ),RISER TENSIONERS,RISER TENSIONERS.1,DIVERTER SIZE,CLASS of RISER,RISER SIZE,RISER JOINT LENGTH,FLEX JOINT (Top/,Bottom or both ),RISER MANUFACTURER,RISER STORAGE MAIN,DECK or “IN HOLD”,BOP OPERATING PRESSURE,C&K LINE SIZE,RAM BOP’s,RAM BOP’s.1,ANNULAR BOP’s,ANNULAR BOP’s.1,BOP stack envelope,dimensions,Total BOP stack Wt.,(including LMRP),WELLHEAD CONNECTOR,BOP CONTROL SYSTEM,BOP CONTROL SYSTEM.1,"SHEAR 6.635"" drillpipe?",RISER HANG-OFF CAPACITY,AUX. LINE SIZE,RISER & RISER TENSIONER DATA BOP & BOP CONTROL DATA,yr. yr. society ft,Unnamed: 98,Unnamed: 99,Unnamed: 100,Unnamed: 101,Unnamed: 102,Unnamed: 103,Unnamed: 104,Unnamed: 105,Unnamed: 106,Unnamed: 107,Unnamed: 108,Unnamed: 109,Unnamed: 110,Unnamed: 111,Unnamed: 112,Unnamed: 113,Unnamed: 114,Unnamed: 115,Unnamed: 116,Unnamed: 117,Unnamed: 118
1,ATWOOD,EAGLE,SS,Korkut,New,Era,1982,2002,ABS,5000,5000,25000,3Q/16,Australia,7800,-,120,325,200,24,55,4500,20x40,,,3.25,ORQ+20,3300,3.5,10000,13,52.5,30,-,-,45,1200,Pyramid,40x40,3000,Oilwell,1.5,60.5,Varco,Varco-TDS-4S,W.G.,650,P,none,Petron,-,15000,-,-,3,N-O,A1700PT,3624,1282,2614,10000,Y,3+3,1,1,1600,12,W.G.,59,E,21,75,B,Vetco,5000,10,3.75,3.8/2.5,2,4,Cameron,2,Shaffer,13x15,340,H4E,Bias,Shaffer,Y,960,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-,ATWOOD,FALCON,SS,Korkut,New,Era,1983,2011,ABS,5000,5000,25000,3Q/16,Australia,7800,-,122,325,226,24,55,4400,20x40,,,3,R3S,4500,3.5,8000,10,45.5,33.5,-,-,15,1000,Pyramid,40x40,3000,Oilwell,1.5,60.5,NOV,Varco-TDS-4H,W.G.,650,P,none,Petron,-,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-,ATWOOD,HUNTER,SS,Korkut,New,Era,1981,2001,ABS,5000,5000,25000,-,West,Africa,8050,-,120,290,246.7,24,55,3630,20x40,,,2.75,ORQ+20,4500,3.25,8000,11,52.5,31.5,-,-,30,1200,Pyramid,40x40,3000,Oilwell,1.5,49.5,NOV,ST80,Varco-TDS-4S,W.G.,650,P,non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,ATWOOD,OSPREY,SS,F&G,ExD,Millennium,2011,-,ABS,8200,8200,32000,2Q/17,Australia,-,-,200,354,244,27.4,55.7,7000,-,,,3.75,RQ-4,3500,3.625,6000,13.22,115,115,-,-,25,2000,Loadmaster,46,x,52,6900,NOV,2,60.5,NOV,ST-120,NOV,TDS-1000A,NOV,AHD,-,A,NOV,HydraRacker,NOV,-,20000,-,-,4,Lewco,15950,incl.,-,28000,Y,6,1,1,3600,6,NOV,60,-,20,75,B,Aker,7000,15,3,-,2,5,Hydril,2,Hydril,-,-,H4,Mux,Hydril,-,-,,,,,,,,,,,,,,,,,,,,,,,
3,OCEAN,AMERICA,SS,Odyssey,1988,2004,ABS,5500,5500,30000,2Q/15,Australia,18120,-,123,401,259,27,80,7835,21x44,-,,3.25,AB/RQ4,4775,3.5,5600,11,78.5,78.5,90.3,-,30,1800,Branham,40x40,3000,C-E,1.625,49.5,Varco,AR3200,Varco-TDS-4S,Shaffer,600,P,BJarm,Petron,-,15000,-,-,3,Continental,Emsco,FB1600,2820,5220,1800,24000,N,5,1,1,1280,8,Shaffer,49.5,E,21,50,T,Cameron,6400,15,3,2.5/4,4,4,Hydril,2,Cam./Hyd.,14.5x19.6,473,Vetco,H-4,HYD,Cameron,Y,2500,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,OCEAN,APEX,SS,Enhanced,Victory/Crucifix,Form,2014,-,ABS,5000,6000,30000,1Q/15,Vietnam,12000,4.5,140,328,320,46,74,7000,41x81,,,3.25,RQ5,4200,3.75,8000,16,56,50,80,35,-,2000,NOV,40,x40,4000,NOV,Udbel,2,49.5,NOV,ST-120,NOV,TDX-1000,NOV,800,P,NOV,BR-10-SD-D,-,-,-,-,-,4,NOV,14-P-220,-,8000,-,25000,-,-,-,-,1600,8,-,24,FT-E,-,75,-,Shaffer,-,15,3,-,-,5,Shaffer,2,Shaffer,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,
-,OCEAN,BARONESS,SS,Victory,1973,2001,ABS,7000,8000,35000,3Q/15,Brazil,12940,4,138,324,327,42,74.5,5500,91x25,-,,3.25,ORQ+20,4200,3.5,10000,11,62,62,62,-,40,2000,Loadmaster,48x46,4000,National,2,60.5,Hydralift,National,PS-1000,Hydralift,1000,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,OCEAN,ENDEAVOR,SS,Victory,1975,2007,ABS,8000,10000,35000,4Q/15,Italy,12940,4,140,324,327,42,74.5,6000,91x25,-,-,3.25,RQ4,4200,3.5,10800,11,89.5,89.5,56,-,41,2000,National,48x46,4000,National,2,60.5,Hydralift,National,PS-1000,Hydralift,1000,P,Bridgeracker,Hitec,-,-,8000,-,4,N-O,"FC2200(3),",A1700PT(1),2943,13000,incl.,26480,Y,5,1,1,3600,6,Hydralift,60.5,F,21,75,T/B,S&S,8000,15,4.5,4,4,5,Hydril,2,Hydril,16.4x19.6,694,DWH4,MUX,Hydril,Y,2500,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-,OCEAN,MONARCH,SS,Victory,1974,2008,ABS,8000,10000,35000,1Q/15,SEAsia,12940,4,150,324,327,42,74.5,6000,91x25,-,-,3.25,RQ5,4200,3.75,10400,16.5,89.5,89.5,56,-,37,2000,National,48x46,4000,National,2,60.5,Hydralift,National,PS-1000,Hydralift,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,OCEAN,ONYX,SS,Victory,2013,-,ABS,6000,-,30000,1Q/15,GoM,10750,4,140,327,315,42,74.5,5600,41x81,-,,3.25,RQ4,4200,3.5,8800,15,60,60,75,35,-,1600,NOV,Dreco,40x40,3000,C-E,1.75,49.5,NOV,ST-120,NOV-TDS-4S,NOV,600,P,-,-,-,-,-,-,4,NOV,12-P-160,-,6900,-,13800,-,-,-,-,1600,8,-,49.5,FT-E,-,75,-,Shaffer,-,15,3,-,-,5,Shaffer,2,Shaffer,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
