diameter,grade,link_type,mbl,stiffness,weight_air,weight_water,bend_radius,fatigue_category,certification,manufacturer,part_number,notes
16,R3,Stud Link,5.6,64000000,2.1,1.93,0.08,T-curve,DNV/ABS,Generic,16mm-R3-StudLink,Calculated from Excel formulas
19,R3,Stud Link,7.9,64000000,3.0,2.75,0.095,T-curve,DNV/ABS,Generic,19mm-R3-StudLink,Calculated from Excel formulas
22,R3,Stud Link,10.6,64000000,4.0,3.68,0.11,T-curve,DNV/ABS,Generic,22mm-R3-StudLink,Calculated from Excel formulas
24,R3,Stud Link,12.6,64000000,4.8,4.41,0.12,T-curve,DNV/ABS,Generic,24mm-R3-StudLink,Calculated from Excel formulas
26,R3,Stud Link,14.8,64000000,5.6,5.15,0.13,T-curve,DNV/ABS,Generic,26mm-R3-StudLink,Calculated from Excel formulas
28,R3,Stud Link,17.1,64000000,6.5,5.97,0.14,T-curve,DNV/ABS,Generic,28mm-R3-StudLink,Calculated from Excel formulas
30,R3,Stud Link,19.7,64000000,7.5,6.89,0.15,T-curve,DNV/ABS,Generic,30mm-R3-StudLink,Calculated from Excel formulas
76,R3,Stud Link,126.2,64000000,48.0,44.09,0.38,T-curve,DNV/ABS,Generic,76mm-R3-StudLink,Calculated from Excel formulas
84,R3,Stud Link,154.1,64000000,58.6,53.84,0.42,T-curve,DNV/ABS,Generic,84mm-R3-StudLink,Calculated from Excel formulas
90,R3,Stud Link,176.9,64000000,67.3,61.83,0.45,T-curve,DNV/ABS,Generic,90mm-R3-StudLink,Calculated from Excel formulas
97,R3,Stud Link,205.5,64000000,78.2,71.85,0.485,T-curve,DNV/ABS,Generic,97mm-R3-StudLink,Calculated from Excel formulas
76,R4,Stud Link,141.8,64000000,48.0,44.09,0.38,T-curve,DNV/ABS,Generic,76mm-R4-StudLink,Calculated from Excel formulas
84,R4,Stud Link,172.6,64000000,58.6,53.84,0.42,T-curve,DNV/ABS,Generic,84mm-R4-StudLink,Calculated from Excel formulas
90,R4,Stud Link,198.1,64000000,67.3,61.83,0.45,T-curve,DNV/ABS,Generic,90mm-R4-StudLink,Calculated from Excel formulas
97,R4,Stud Link,230.1,64000000,78.2,71.85,0.485,T-curve,DNV/ABS,Generic,97mm-R4-StudLink,Calculated from Excel formulas
102,R4,Stud Link,254.3,64000000,86.4,79.38,0.51,T-curve,DNV/ABS,Generic,102mm-R4-StudLink,Calculated from Excel formulas
107,R4,Stud Link,280.0,64000000,95.1,87.37,0.535,T-curve,DNV/ABS,Generic,107mm-R4-StudLink,Calculated from Excel formulas
114,R4,Stud Link,317.9,64000000,108.0,99.22,0.57,T-curve,DNV/ABS,Generic,114mm-R4-StudLink,Calculated from Excel formulas
120,R4,Stud Link,352.1,64000000,119.6,109.89,0.60,T-curve,DNV/ABS,Generic,120mm-R4-StudLink,Calculated from Excel formulas
127,R4,Stud Link,394.3,64000000,133.9,123.04,0.635,T-curve,DNV/ABS,Generic,127mm-R4-StudLink,Calculated from Excel formulas
132,R4,Stud Link,426.2,64000000,144.8,133.05,0.66,T-curve,DNV/ABS,Generic,132mm-R4-StudLink,Calculated from Excel formulas
137,R4,Stud Link,459.1,64000000,156.0,143.32,0.685,T-curve,DNV/ABS,Generic,137mm-R4-StudLink,Calculated from Excel formulas
142,R4,Stud Link,493.1,64000000,167.5,153.89,0.71,T-curve,DNV/ABS,Generic,142mm-R4-StudLink,Calculated from Excel formulas
147,R4,Stud Link,528.4,64000000,179.5,164.92,0.735,T-curve,DNV/ABS,Generic,147mm-R4-StudLink,Calculated from Excel formulas
152,R4,Stud Link,565.0,64000000,191.9,176.31,0.76,T-curve,DNV/ABS,Generic,152mm-R4-StudLink,Calculated from Excel formulas
162,R4,Stud Link,641.9,64000000,217.5,199.82,0.81,T-curve,DNV/ABS,Generic,162mm-R4-StudLink,Calculated from Excel formulas
76,R5,Stud Link,157.8,64000000,48.0,44.09,0.38,T-curve,DNV/ABS,Generic,76mm-R5-StudLink,Calculated from Excel formulas
84,R5,Stud Link,192.6,64000000,58.6,53.84,0.42,T-curve,DNV/ABS,Generic,84mm-R5-StudLink,Calculated from Excel formulas
90,R5,Stud Link,221.1,64000000,67.3,61.83,0.45,T-curve,DNV/ABS,Generic,90mm-R5-StudLink,Calculated from Excel formulas
97,R5,Stud Link,256.9,64000000,78.2,71.85,0.485,T-curve,DNV/ABS,Generic,97mm-R5-StudLink,Calculated from Excel formulas
