[1] http://www.matbase.com/material-categories/natural-and-synthetic-polymers/polymer-fibers/synthetic-fibers/material-properties-of-dyneema.html,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
[2] samsonrope.com,,,,,,,,,,,,,,,,
[3] http://www.kayelaby.npl.co.uk/general_physics/2_2/2_2_2.html,,,,,,,,,,,,,,,,
"[4] http://www.orcina.com/SoftwareProducts/OrcaFlex/Documentation/Help/Content/html/RopeWire,AxialandBendingStiffness.htm",,,,,,,,,,,,,,,,
[5] http://engr.bd.psu.edu/rxm61/METBD470/Lectures/PolymerProperties%20from%20CES.pdf,,,,,,,,,,,,,,,,
[6] http://survitecgroup.com/downloads/survitec_mooring_ropes_brochure.pdf,,,,,,,,,,,,,,,,
"*Note: For blended lines, the minimum of Young's Modulus of the componeants was used for conservativeness.  ",,,,,,,,,,,,,,,,
Line Type,Name,Number of Strands,Specific Gravity,Diameter,Weight per Unit Length,Minimum Breaking Strength,Equivalent Cross-Sectional Area,Young's Modulus,E*A Value,,,Diameter,Weight per Unit Length,Minimum Breaking Strength,Equivalent Cross-Sectional Area,E*A Value
(--),(--),(--),(--),(mm),(kg/m),(N),(m2),(N/m2),(N),,,(in),(lb/ft),(lb),(ft2),(lb)
Dyneema,Amsteel-Blue,12,0.98,12,0.095,136310.35,9.693877551020408e-05,55000000000,5331632.653061224,,,0.4724409448818898,0.06383710471084146,30643.78571705162,0.001043440295497371,1198598.7017305992
Dyneema,Amsteel-Blue,12,0.98,18,0.198,257910.94999999998,0.00020204081632653063,55000000000,11112244.897959186,,,0.7086614173228346,0.13304996560785906,57980.68808334228,0.002174749247457679,2498132.0309753544
Dyneema,Amsteel-Blue,12,0.98,24,0.324,436389.25,0.0003306122448979592,55000000000,18183673.469387755,,,0.9448818897637796,0.217718125540133,98104.20607257533,0.003558680586748929,4087852.4143233066
Dyneema,Amsteel-Blue,12,0.98,30,0.539,660958.1,0.00055,55000000000,30250000,,,1.1811023622047243,0.3621915730436163,148589.29189419275,0.005920150729190347,6800470.528766242
Dyneema,Amsteel-Blue,12,0.98,36,0.769,912985.15,0.0007846938775510204,55000000000,43158163.26530612,,,1.4173228346456692,0.5167445633961798,205247.22663723063,0.00844637460249977,9702341.06979822
Dyneema,Amsteel-Blue,12,0.98,44,1.17,1343490.5,0.001193877551020408,55000000000,65663265.30612244,,,1.7322834645669292,0.786204342228258,302028.6793695016,0.012850791007704462,14761689.273945274
Dyneema,Amsteel-Blue,12,0.98,48,1.29,1529814,0.001316326530612245,55000000000,72397959.18367347,,,1.8897637795275593,0.8668406850208998,343915.8684791405,0.014168820854648512,16275708.68665761
Dyneema,Amsteel-Blue,12,0.98,56,1.73,2147623.5,0.0017653061224489797,55000000000,97091836.73469388,,,2.204724409448819,1.1625072752605865,482804.96921110107,0.019001596960110022,21827113.199936178
Dyneema,Amsteel-Blue,12,0.98,60,2.2,2353560,0.0022448979591836735,55000000000,123469387.75510204,,,2.3622047244094486,1.4783329511984338,529101.3361217546,0.02416388052730754,27757022.56639282
Dyneema,Amsteel-Blue,12,0.98,68,2.78,2941950,0.002836734693877551,55000000000,156020408.1632653,,,2.677165354330709,1.8680752746962026,661376.6701521933,0.030534358120870436,35074783.06116911
Dyneema,Amsteel-Blue,12,0.98,72,3.07,3334210,0.0031326530612244895,55000000000,172295918.3673469,,,2.8346456692913384,2.062946436445087,749560.2261724856,0.03371959691765188,38733663.30855726
Dyneema,Amsteel-Blue,12,0.98,80,3.57,4030471.5,0.0036428571428571426,55000000000,200357142.85714284,,,3.1496062992125986,2.398931198081095,906086.0381085047,0.039211387946585415,45042077.52819199
