vessel_type,displacement,heading,CXw,CYw,CMw,CXc,CYc,CMc,vessel_name,loa,beam,draft
VLCC,250000,0,0.85,0.00,0.00,0.95,0.00,0.00,Sample VLCC 1,330,60,22
VLCC,250000,30,0.75,0.35,0.05,0.85,0.40,0.08,Sample VLCC 1,330,60,22
VLCC,250000,60,0.45,0.65,0.12,0.55,0.75,0.15,Sample VLCC 1,330,60,22
VLCC,250000,90,0.05,0.90,0.18,0.10,0.95,0.20,Sample VLCC 1,330,60,22
VLCC,250000,120,0.45,0.65,-0.12,0.55,0.75,-0.15,Sample VLCC 1,330,60,22
VLCC,250000,150,0.75,0.35,-0.05,0.85,0.40,-0.08,Sample VLCC 1,330,60,22
VLCC,250000,180,0.85,0.00,0.00,0.95,0.00,0.00,Sample VLCC 1,330,60,22
VLCC,300000,0,0.88,0.00,0.00,0.97,0.00,0.00,Sample VLCC 1,330,60,24
VLCC,300000,30,0.78,0.38,0.06,0.88,0.43,0.09,Sample VLCC 1,330,60,24
VLCC,300000,60,0.48,0.68,0.14,0.58,0.78,0.17,Sample VLCC 1,330,60,24
VLCC,300000,90,0.08,0.93,0.20,0.13,0.98,0.22,Sample VLCC 1,330,60,24
VLCC,300000,120,0.48,0.68,-0.14,0.58,0.78,-0.17,Sample VLCC 1,330,60,24
VLCC,300000,150,0.78,0.38,-0.06,0.88,0.43,-0.09,Sample VLCC 1,330,60,24
VLCC,300000,180,0.88,0.00,0.00,0.97,0.00,0.00,Sample VLCC 1,330,60,24
VLCC,350000,0,0.90,0.00,0.00,0.99,0.00,0.00,Sample VLCC 1,330,60,26
VLCC,350000,30,0.80,0.40,0.07,0.90,0.45,0.10,Sample VLCC 1,330,60,26
VLCC,350000,60,0.50,0.70,0.16,0.60,0.80,0.19,Sample VLCC 1,330,60,26
VLCC,350000,90,0.10,0.95,0.22,0.15,1.00,0.24,Sample VLCC 1,330,60,26
VLCC,350000,120,0.50,0.70,-0.16,0.60,0.80,-0.19,Sample VLCC 1,330,60,26
VLCC,350000,150,0.80,0.40,-0.07,0.90,0.45,-0.10,Sample VLCC 1,330,60,26
VLCC,350000,180,0.90,0.00,0.00,0.99,0.00,0.00,Sample VLCC 1,330,60,26
Suezmax,150000,0,0.82,0.00,0.00,0.92,0.00,0.00,Sample Suezmax 1,275,48,16
Suezmax,150000,30,0.72,0.33,0.04,0.82,0.38,0.07,Sample Suezmax 1,275,48,16
Suezmax,150000,60,0.42,0.62,0.10,0.52,0.72,0.13,Sample Suezmax 1,275,48,16
Suezmax,150000,90,0.02,0.87,0.16,0.07,0.92,0.18,Sample Suezmax 1,275,48,16
Suezmax,150000,120,0.42,0.62,-0.10,0.52,0.72,-0.13,Sample Suezmax 1,275,48,16
Suezmax,150000,150,0.72,0.33,-0.04,0.82,0.38,-0.07,Sample Suezmax 1,275,48,16
Suezmax,150000,180,0.82,0.00,0.00,0.92,0.00,0.00,Sample Suezmax 1,275,48,16
Suezmax,180000,0,0.84,0.00,0.00,0.94,0.00,0.00,Sample Suezmax 1,275,48,18
Suezmax,180000,30,0.74,0.35,0.05,0.84,0.40,0.08,Sample Suezmax 1,275,48,18
Suezmax,180000,60,0.44,0.64,0.11,0.54,0.74,0.14,Sample Suezmax 1,275,48,18
Suezmax,180000,90,0.04,0.89,0.17,0.09,0.94,0.19,Sample Suezmax 1,275,48,18
Suezmax,180000,120,0.44,0.64,-0.11,0.54,0.74,-0.14,Sample Suezmax 1,275,48,18
Suezmax,180000,150,0.74,0.35,-0.05,0.84,0.40,-0.08,Sample Suezmax 1,275,48,18
Suezmax,180000,180,0.84,0.00,0.00,0.94,0.00,0.00,Sample Suezmax 1,275,48,18
Aframax,100000,0,0.80,0.00,0.00,0.90,0.00,0.00,Sample Aframax 1,245,42,14
Aframax,100000,30,0.70,0.30,0.03,0.80,0.35,0.06,Sample Aframax 1,245,42,14
Aframax,100000,60,0.40,0.60,0.09,0.50,0.70,0.12,Sample Aframax 1,245,42,14
Aframax,100000,90,0.00,0.85,0.15,0.05,0.90,0.17,Sample Aframax 1,245,42,14
Aframax,100000,120,0.40,0.60,-0.09,0.50,0.70,-0.12,Sample Aframax 1,245,42,14
Aframax,100000,150,0.70,0.30,-0.03,0.80,0.35,-0.06,Sample Aframax 1,245,42,14
Aframax,100000,180,0.80,0.00,0.00,0.90,0.00,0.00,Sample Aframax 1,245,42,14
Aframax,120000,0,0.83,0.00,0.00,0.93,0.00,0.00,Sample Aframax 1,245,42,15.5
Aframax,120000,30,0.73,0.33,0.04,0.83,0.38,0.07,Sample Aframax 1,245,42,15.5
Aframax,120000,60,0.43,0.63,0.10,0.53,0.73,0.13,Sample Aframax 1,245,42,15.5
Aframax,120000,90,0.03,0.88,0.16,0.08,0.93,0.18,Sample Aframax 1,245,42,15.5
Aframax,120000,120,0.43,0.63,-0.10,0.53,0.73,-0.13,Sample Aframax 1,245,42,15.5
Aframax,120000,150,0.73,0.33,-0.04,0.83,0.38,-0.07,Sample Aframax 1,245,42,15.5
Aframax,120000,180,0.83,0.00,0.00,0.93,0.00,0.00,Sample Aframax 1,245,42,15.5
