line_id,segment,length,diameter,ea,mbl,submerged_weight,fairlead_angle,touchdown_distance
L1_OCIMF,top_chain,320.0,152.0,850.0,8000.0,6.5,35.0,420.0
L1_OCIMF,wire_rope,280.0,110.0,620.0,6000.0,4.1,35.0,420.0
L1_OCIMF,bottom_chain,260.0,165.0,900.0,9500.0,7.4,35.0,420.0
L2_OCIMF,top_chain,330.0,152.0,850.0,8000.0,6.5,85.0,430.0
L2_OCIMF,wire_rope,290.0,110.0,620.0,6000.0,4.1,85.0,430.0
L2_OCIMF,bottom_chain,270.0,165.0,900.0,9500.0,7.4,85.0,430.0
L3_OCIMF,top_chain,325.0,152.0,850.0,8000.0,6.5,145.0,425.0
L3_OCIMF,wire_rope,285.0,110.0,620.0,6000.0,4.1,145.0,425.0
L3_OCIMF,bottom_chain,265.0,165.0,900.0,9500.0,7.4,145.0,425.0
L4_OCIMF,top_chain,320.0,152.0,850.0,8000.0,6.5,205.0,420.0
L4_OCIMF,wire_rope,280.0,110.0,620.0,6000.0,4.1,205.0,420.0
L4_OCIMF,bottom_chain,260.0,165.0,900.0,9500.0,7.4,205.0,420.0
L5_OCIMF,top_chain,330.0,152.0,850.0,8000.0,6.5,265.0,430.0
L5_OCIMF,wire_rope,290.0,110.0,620.0,6000.0,4.1,265.0,430.0
L5_OCIMF,bottom_chain,270.0,165.0,900.0,9500.0,7.4,265.0,430.0
L6_OCIMF,top_chain,325.0,152.0,850.0,8000.0,6.5,325.0,425.0
L6_OCIMF,wire_rope,285.0,110.0,620.0,6000.0,4.1,325.0,425.0
L6_OCIMF,bottom_chain,265.0,165.0,900.0,9500.0,7.4,325.0,425.0
