vessel_type,displacement,heading,CXw,CYw,CMw,CXc,CYc,CMc,vessel_name,loa,beam,draft
VLCC,320000,0,0.872,0.000,0.000,0.968,0.000,0.000,MT Pacific Glory,332.0,60.0,22.5
VLCC,320000,10,0.845,0.142,0.018,0.935,0.165,0.024,MT Pacific Glory,332.0,60.0,22.5
VLCC,320000,20,0.792,0.278,0.035,0.875,0.315,0.045,MT Pacific Glory,332.0,60.0,22.5
VLCC,320000,30,0.715,0.402,0.065,0.788,0.455,0.082,MT Pacific Glory,332.0,60.0,22.5
VLCC,320000,40,0.618,0.512,0.098,0.675,0.578,0.118,MT Pacific Glory,332.0,60.0,22.5
VLCC,320000,50,0.505,0.608,0.132,0.545,0.682,0.155,MT Pacific Glory,332.0,60.0,22.5
VLCC,320000,60,0.382,0.688,0.165,0.405,0.765,0.188,MT Pacific Glory,332.0,60.0,22.5
VLCC,320000,70,0.255,0.752,0.192,0.268,0.828,0.215,MT Pacific Glory,332.0,60.0,22.5
VLCC,320000,80,0.132,0.798,0.212,0.142,0.872,0.235,MT Pacific Glory,332.0,60.0,22.5
VLCC,320000,90,0.018,0.828,0.225,0.025,0.898,0.248,MT Pacific Glory,332.0,60.0,22.5
VLCC,320000,100,-0.088,0.845,0.228,-0.085,0.908,0.252,MT Pacific Glory,332.0,60.0,22.5
VLCC,320000,110,-0.182,0.848,0.222,-0.182,0.902,0.245,MT Pacific Glory,332.0,60.0,22.5
VLCC,320000,120,-0.265,0.835,0.205,-0.268,0.882,0.228,MT Pacific Glory,332.0,60.0,22.5
VLCC,320000,130,-0.335,0.808,0.178,-0.342,0.848,0.202,MT Pacific Glory,332.0,60.0,22.5
VLCC,320000,140,-0.392,0.768,0.142,-0.402,0.802,0.165,MT Pacific Glory,332.0,60.0,22.5
VLCC,320000,150,-0.435,0.715,0.098,-0.448,0.745,0.122,MT Pacific Glory,332.0,60.0,22.5
VLCC,320000,160,-0.465,0.648,0.052,-0.482,0.675,0.075,MT Pacific Glory,332.0,60.0,22.5
VLCC,320000,170,-0.485,0.568,0.008,-0.505,0.592,0.028,MT Pacific Glory,332.0,60.0,22.5
VLCC,320000,180,-0.495,0.475,-0.038,-0.518,0.498,-0.022,MT Pacific Glory,332.0,60.0,22.5
VLCC,320000,190,-0.485,0.568,-0.008,-0.505,0.592,-0.028,MT Pacific Glory,332.0,60.0,22.5
VLCC,320000,200,-0.465,0.648,-0.052,-0.482,0.675,-0.075,MT Pacific Glory,332.0,60.0,22.5
VLCC,320000,210,-0.435,0.715,-0.098,-0.448,0.745,-0.122,MT Pacific Glory,332.0,60.0,22.5
VLCC,320000,220,-0.392,0.768,-0.142,-0.402,0.802,-0.165,MT Pacific Glory,332.0,60.0,22.5
VLCC,320000,230,-0.335,0.808,-0.178,-0.342,0.848,-0.202,MT Pacific Glory,332.0,60.0,22.5
VLCC,320000,240,-0.265,0.835,-0.205,-0.268,0.882,-0.228,MT Pacific Glory,332.0,60.0,22.5
VLCC,320000,250,-0.182,0.848,-0.222,-0.182,0.902,-0.245,MT Pacific Glory,332.0,60.0,22.5
VLCC,320000,260,-0.088,0.845,-0.228,-0.085,0.908,-0.252,MT Pacific Glory,332.0,60.0,22.5
VLCC,320000,270,0.018,0.828,-0.225,0.025,0.898,-0.248,MT Pacific Glory,332.0,60.0,22.5
VLCC,320000,280,0.132,0.798,-0.212,0.142,0.872,-0.235,MT Pacific Glory,332.0,60.0,22.5
VLCC,320000,290,0.255,0.752,-0.192,0.268,0.828,-0.215,MT Pacific Glory,332.0,60.0,22.5
VLCC,320000,300,0.382,0.688,-0.165,0.405,0.765,-0.188,MT Pacific Glory,332.0,60.0,22.5
VLCC,320000,310,0.505,0.608,-0.132,0.545,0.682,-0.155,MT Pacific Glory,332.0,60.0,22.5
VLCC,320000,320,0.618,0.512,-0.098,0.675,0.578,-0.118,MT Pacific Glory,332.0,60.0,22.5
VLCC,320000,330,0.715,0.402,-0.065,0.788,0.455,-0.082,MT Pacific Glory,332.0,60.0,22.5
VLCC,320000,340,0.792,0.278,-0.035,0.875,0.315,-0.045,MT Pacific Glory,332.0,60.0,22.5
VLCC,320000,350,0.845,0.142,-0.018,0.935,0.165,-0.024,MT Pacific Glory,332.0,60.0,22.5
VLCC,280000,0,0.852,0.000,0.000,0.948,0.000,0.000,MT Oceanic Star,330.0,58.0,20.5
VLCC,280000,10,0.825,0.138,0.016,0.915,0.162,0.022,MT Oceanic Star,330.0,58.0,20.5
VLCC,280000,20,0.772,0.268,0.032,0.855,0.305,0.042,MT Oceanic Star,330.0,58.0,20.5
VLCC,280000,30,0.695,0.385,0.062,0.768,0.438,0.078,MT Oceanic Star,330.0,58.0,20.5
VLCC,280000,40,0.598,0.492,0.094,0.655,0.558,0.112,MT Oceanic Star,330.0,58.0,20.5
VLCC,280000,50,0.485,0.585,0.128,0.525,0.662,0.148,MT Oceanic Star,330.0,58.0,20.5
VLCC,280000,60,0.362,0.665,0.158,0.385,0.745,0.182,MT Oceanic Star,330.0,58.0,20.5
VLCC,280000,70,0.235,0.728,0.185,0.248,0.808,0.208,MT Oceanic Star,330.0,58.0,20.5
VLCC,280000,80,0.112,0.775,0.205,0.122,0.852,0.228,MT Oceanic Star,330.0,58.0,20.5
VLCC,280000,90,0.008,0.808,0.218,0.015,0.878,0.242,MT Oceanic Star,330.0,58.0,20.5
VLCC,280000,100,-0.098,0.825,0.222,-0.095,0.888,0.245,MT Oceanic Star,330.0,58.0,20.5
VLCC,280000,110,-0.192,0.828,0.215,-0.192,0.882,0.238,MT Oceanic Star,330.0,58.0,20.5
VLCC,280000,120,-0.275,0.815,0.198,-0.278,0.862,0.222,MT Oceanic Star,330.0,58.0,20.5
VLCC,280000,130,-0.345,0.788,0.172,-0.352,0.828,0.195,MT Oceanic Star,330.0,58.0,20.5
VLCC,280000,140,-0.402,0.748,0.138,-0.412,0.782,0.158,MT Oceanic Star,330.0,58.0,20.5
VLCC,280000,150,-0.445,0.695,0.095,-0.458,0.725,0.118,MT Oceanic Star,330.0,58.0,20.5
VLCC,280000,160,-0.475,0.628,0.048,-0.492,0.655,0.072,MT Oceanic Star,330.0,58.0,20.5
VLCC,280000,170,-0.495,0.548,0.005,-0.515,0.572,0.025,MT Oceanic Star,330.0,58.0,20.5
VLCC,280000,180,-0.505,0.455,-0.042,-0.528,0.478,-0.025,MT Oceanic Star,330.0,58.0,20.5
VLCC,280000,190,-0.495,0.548,-0.005,-0.515,0.572,-0.025,MT Oceanic Star,330.0,58.0,20.5
VLCC,280000,200,-0.475,0.628,-0.048,-0.492,0.655,-0.072,MT Oceanic Star,330.0,58.0,20.5
VLCC,280000,210,-0.445,0.695,-0.095,-0.458,0.725,-0.118,MT Oceanic Star,330.0,58.0,20.5
VLCC,280000,220,-0.402,0.748,-0.138,-0.412,0.782,-0.158,MT Oceanic Star,330.0,58.0,20.5
VLCC,280000,230,-0.345,0.788,-0.172,-0.352,0.828,-0.195,MT Oceanic Star,330.0,58.0,20.5
VLCC,280000,240,-0.275,0.815,-0.198,-0.278,0.862,-0.222,MT Oceanic Star,330.0,58.0,20.5
VLCC,280000,250,-0.192,0.828,-0.215,-0.192,0.882,-0.238,MT Oceanic Star,330.0,58.0,20.5
VLCC,280000,260,-0.098,0.825,-0.222,-0.095,0.888,-0.245,MT Oceanic Star,330.0,58.0,20.5
VLCC,280000,270,0.008,0.808,-0.218,0.015,0.878,-0.242,MT Oceanic Star,330.0,58.0,20.5
VLCC,280000,280,0.112,0.775,-0.205,0.122,0.852,-0.228,MT Oceanic Star,330.0,58.0,20.5
VLCC,280000,290,0.235,0.728,-0.185,0.248,0.808,-0.208,MT Oceanic Star,330.0,58.0,20.5
VLCC,280000,300,0.362,0.665,-0.158,0.385,0.745,-0.182,MT Oceanic Star,330.0,58.0,20.5
VLCC,280000,310,0.485,0.585,-0.128,0.525,0.662,-0.148,MT Oceanic Star,330.0,58.0,20.5
VLCC,280000,320,0.598,0.492,-0.094,0.655,0.558,-0.112,MT Oceanic Star,330.0,58.0,20.5
VLCC,280000,330,0.695,0.385,-0.062,0.768,0.438,-0.078,MT Oceanic Star,330.0,58.0,20.5
VLCC,280000,340,0.772,0.268,-0.032,0.855,0.305,-0.042,MT Oceanic Star,330.0,58.0,20.5
VLCC,280000,350,0.825,0.138,-0.016,0.915,0.162,-0.022,MT Oceanic Star,330.0,58.0,20.5
Suezmax,160000,0,0.842,0.000,0.000,0.938,0.000,0.000,MT Nordic Voyager,274.0,48.0,16.8
