rig_ref,rig_type,n_tensioners,tensioner_type,tensioner_capacity_kips,tensioner_stroke_ft,tj_stroke_ft,n_tension_wires,moonpool_length_ft,moonpool_width_ft,drill_floor_elev_ft,conductor_moment_capacity_kn_m,flexjoint_angle_rating_deg,wed_rig_name,wiki_path,note
drillship-10k-stack-356kip,drillship,,,,,,,,,,,,,wikis/riser-projects/wiki/datasets/stackup-registry.md,drillship class keyed by subsea stack weight-estimate mass; lighter variant
drillship-10k-stack-511kip,drillship,,,,,,,,,,,,,wikis/riser-projects/wiki/datasets/stackup-registry.md,drillship class keyed by subsea stack weight-estimate mass; revision-growth variant
drillship-15k-stack-784kip,drillship,,,,,,,,,,,,,wikis/riser-projects/wiki/datasets/stackup-registry.md,drillship class keyed by subsea stack GA mass; lighter variant
drillship-15k-stack-893kip,drillship,,,,,,,,,,,,,wikis/riser-projects/wiki/datasets/stackup-registry.md,drillship class keyed by subsea stack GA mass; deeper-water-rated variant
drillship-16w-wireline,drillship,,wireline,,,,16,,,,,,,wikis/riser-projects/wiki/datasets/stackup-registry.md,wireline-tensioner drillship class; two wires may fail per the tension criterion
drillship-6g-16x3600k-dat,drillship,16,direct-acting,3600,,60,,,,,,,,wikis/riser-projects/wiki/datasets/stackup-registry.md,sixth-generation drillship class with direct-acting tensioners
drillship-generic-market,drillship,,direct-acting,3500,50,65,,,,,,,,wikis/riser-projects/wiki/datasets/stackup-registry.md,market-typical capability figures for screening
semisub-10x250k-wireline,semisub,10,wireline,250,,,,,,,,,,wikis/riser-projects/wiki/datasets/stackup-registry.md,wireline-tensioner DP semisub class
semisub-12x125k-wireline,semisub,12,wireline,125,,,,,,,,,,wikis/riser-projects/wiki/datasets/stackup-registry.md,wireline-tensioner semisub class; two lines may fail per the tension criterion
semisub-6x833k-dat,semisub,6,direct-acting,833.3,50,,,,,,,,,wikis/riser-projects/wiki/datasets/stackup-registry.md,DP semisub class with six direct-acting tensioners
