NAME,Atwood Hunter,Atwood Hunter.1,Atwood Hunter.2,Atwood Hunter.3,Atwood Hunter.4,Atwood Hunter.5,Atwood Hunter.6,Atwood Hunter.7,Ocean Worker,Ocean Valiant,Ocean Victory,Ocean Endeavor,Ocean Monarch,Ocean Rover,Ocean Star,Blackford Dolphin,Ensco 5006,Ensco 5001,Noble Amos Runner,Noble Paul Romano,Noble Jim Thompson,Noble Max Smith,Noble Homer Ferrington,Noble Clyde Boudreaux,Noble Lorris Bouzigard,NobleTherald Martin,Noble Driller,Deepwater Nautilus,Transocean Marianas,Gsf Celtic Sea,Jack Bates,"M.G. Hulme, Jr",Transocean Richardson,Henry Goodrich,Jim Cunningham,Transocean Leader,Transocean Rather,Soverign Explorer,Aban Abraham,Hysy 981,Ocean Clipper,Ocean Confidence,Ocean Alliance,Ocean Courage,Ocean Valor,Belford Dolphin,Ensco 7500,Ensco 8500,Ensco 8501,Ensco 8502,Ensco 8503,Ensco 8504,Ensco 8505,Ensco DS-1,Ensco DS-2,Ensco 6001,Ensco 6002,Ensco 6004,Ensco 6003,Ensco DS-3,Ensco DS-4,Ensco DS-5,Ensco DS-6,LA Muralla IV,Jasper Explorer,Maersk Developer,Maersk Discoverer,Maersk Deliverer,Noble Paul Wolff,Noble Roger Eason,Noble Leo Segerius,Noble Muravlenko,Noble Dave Beard,Noble Danny Adkins,Noble Jim Day,Noble Phoenix,Noble Globetrotter I,Noble Bully I,Erik Raude,Leiv Eiriksson,Ocean Rig Corcovado,Ocean Rig Olympia,Ocean Rig Poseiden,Ocean Rig Mykonos,Deepsea Metro I,Deepsea Metro II,Deepsea  Stavanger,Deepsea  Atlantic,Pacific Bora,Pacific Scirocco,Pacific Mistral,Pacific Santa Ana,Louisiana,SSV Victoria,Gold Star,Alpha Star,Lone Star,Saipem 10000,Saipem12000,Scarabeo 5,Scarabeo 8,Scarabeo 9,SC Lancer,West Navigator,West Phoenix,West Eminence,West Sirius,West Taurus,West Hercules,West Aquarius,West Polaris,West Capella,West Orion,West Capricorn,West Pegasus,West Leo,West Gemini,Sevan Driller,Songa Eclipse,Stena Drillmax,Stena Carron,Stena Forth,Stena Icemax,Deepwater Asgard,Deepwater Invictus,Deepwater Champion,Transocean  Barents,Transocean Spitsbergen,Discoverer India,Discoverer Clear Leader,Discoverer Americas,Discoverer Inspiration,Petrobras 10000,Dhirubhai Deepwater KG1,Dhirubhai Deepwater KG2,Discoverer Luanda,Development Driller III,Deepwater Discovery,Deepwater Expedition,Deepwater Frontier,Deepwater Millennium,Deepwater Pathfinder,Discoverer Deep Seas,Discoverer Enterprise,Discoverer Spirit,GSF C.R. Luigs,GSF Jack Ryan,GSF Explorer,GSF Development Driller I,GSF Development Driller II,Deepwater Navigator,Sedco Energy,Sedco Express,Cajun Express,Discoverer 534,Sedco 707,Discoverer Seven Seas,Sedco 702,Sedco 706,Sedco 709,Sedco 710,Platinum Explorer,Titanium Explorer
No.of Mud Pumps,3,3,3,4,3,4,3,3,3,3,3,4,4,4,3,3,3,4,3,4,3,3,4,4,3,3,4,4,4,3,3,3,3,3,3,3,3,3,3,,3,4,3,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,4,4,4,4,,3,4,4,4,4,3,3,3,4,4,4,4,4,4,3,3,3.0,3.0,3.0,3.0,4,4,4,4,4,4,4,6,,,,4,4,4,4,3,4,4,2,3,4,4,4,4,4,4,4,4,4,4,4,4,4,,4,4,4,4,4,4,4,4,4,4,4,5,4,5,4,4,4,3,4,4,3,4,4,4,4,4,4,4,4,4,4,4,3,4,3,4,3,3,3,3,3,3,3,4,4
Manufacturer Mud Pumps & Model,N-O A1700PT,N-O A1700PT,N-O A1700PT,Lewco,Continental Emsco FB1600,"N-O FC2200(3), A1700PT(1)",N-O 12P-160,N-O 12P-160,National 12-P-160,Continental Emsco FB1600,Continental Emsco FB1600,"N-O FC2200(3), A1700PT(1)",N-O 14P-220 (4),"N-O FC2200(3), A1700PT(1)",National Oilwell  12P-160,National Oilwell 14P-220,NOV 14-P-220,2xC-E FA-1600/1xFC-1600/1xNOV 12-P-60,2 CE-2200/NOA1700PT,3,N-O A1700PT,CE FB1600/1 Lewco Riser boost,N-O 12P-160,N-O FC 2200,12P-160,Continental Emsco FB1600,National 12-P-160,NOV 14-P-220,CE FB2200(3)/CE FB1600(1),National Oilwell 12P-160,National Oilwell A1700,National Oilwell 12P-160,Continental Emsco FB1600,Continental Emsco FB1600,National Oilwell 12P-160,Continental Emsco FB1600,Continental Emsco FB1600,National Oilwell 12P-160,National 12P-160,,National Oilwell 12P-160,Continental Emsco FC-2200,National Oilwell 12P-160,Wirth TPK 7-1/2 x 14 / 2200,Wirth TPK 7-1/2 x 14 / 2200,National Oilwell 14P-220,NO14P-220/LewcoW446RB,Lewco W2215,Lewco W2215,Lewco W2215,Lewco W2215,Lewco W2215,Lewco W2215,National Oilwell 12P-160,National Oilwell 14P-220,C-E FC-1600,C-E FC-1600,C-E FC-1600,C-E FC-1600,NOV 14-P-2200,NOV 14-P-2200,NOV 14-P-2200,NOV 14-P-2200,,National 12P-160,Wirth 2200HP-7500psi,Wirth 2200HP-7500psi,Wirth 2200HP-7500psi,NOV 12P 160,Continental Emsco FB-1600,National Oilwell 12P-160,OilwellA1700PT/1ea.G-D,National 240 Hex; 2540 hp,National 240 Hex; 2400 hp,National 240 Hex; 2400 hp,Wirth TPK 7500,NOV 14-P-220,Wirth TPK 7500,Emsco FC-2200,Emsco FC-2200,,,,,NOV 14P220,NOV 14P220,NOV 14P220,NOV 14P220,NOV 14P220,NOV 14P220,NOV 14P220,NOV 14P220,,,,NOV 14P220 triplex,NOV 14P220 triplex,Wirth TPK 2200,NOV 14-P-220,Continental Emsco FB1600,NOV 14-P-220,AS/Bomco 7500 pai 2200 HP,Gardner Denver,National Oilwell 14P220,Wirth TPK - 2200HP,Wirth TPK - 2200HP,Wirth - 2200HP,Wirth - 2200HP,Wirth TPK - 2200HP,Wirth TPK - 2200HP,National Oilwell 14P220,National Oilwell 14P220,Wirth - 2200HP,Wirth - 2200HP,National Oilwell 14P220,National Oilwell 14P220,National Oilwell 14P220,,"Wirth 2,200 HP, 7,500 psi",NOV FC2200,NOV FC2200,NOV FC2200,NOV FC2200,Aker MH Wirth TPK-7.1/2,Aker MH Wirth TPK-7.1/2,National Oilwell 14P-220,Aker MH Wirth TPK-7.1/2,Aker MH Wirth TPK-7.1/2,NOV 14-P-220,NOV 14-P-220,NOV HEX-240,NOV HEX-240,NOV 14-P-220,NOV 14-P-220,NOV 14-P-220,NOV 14-P-220,NOV 14-P-220,Continental Emsco FC2200,Continental Emsco FC2200,National Oilwell 14P-220,National Oilwell 14P-220,National Oilwell 14P-220,National Oilwell 14P-220,National Oilwell 14P-220,National Oilwell 14P-220,National Oilwell 14P-220,National Oilwell 14P-220,NO 14P-220(3)/12P-160(1),National Oilwell 14P-220,National Oilwell 14P-220,Continental Emsco FB1600,National Oilwell 14P-220,National Oilwell 14P-220,National Oilwell 14P-220,National Oilwell 12P160,National Oilwell A1700,Gardner-Denver PZ-11,National Oilwell A1700,National Oilwell A1700,National Oilwell A1700 622,Continental Emsco FB1600,Wirth TPK 7-1/2 X 14 /2200CL,Wirth TPK 7-1/2 X 14 /2200CL
Mud Pit Active Volume (bbls.),3247,3624,5346,15950,2820,2943,1778,1944,972,2820,3200,2943,3250,2943,1584,2360,5100,5308,1500,N-O A1700PT/1 Lewco Riser boost 1500,2000,2360,2500,3000,2600,2484,1710,4000,2935,2470,4000,751,1700,1700,1825,2226,1700,915,1050,,1189,4889,2980,7246,7246,5000,3675,4500,4500,4500,4500,4500,4500,3614,3685,1550,1550,1550,1550,6000,6000,6000,6000,,,9755,9755,9755,2900,1250,1200,1764,3000,3700,3700,1826,6230,6231,,,,,,,,,,,6698,6698,6698,6698,,,,,,1000,5500,500,5600,8643,,6600,6300,6300,6800,6800,5600,5600,6040,6040,6800,6800,6300,6300,6040,,,5346,5346,5346,5346,8000,8000,10956,5025,5025,7890,7890,7890,7890,5500,5500,5500,7890,19500,6000,1934,1660,1660,1660,6000,6000,6000,3000,3000,1429,6850,6850,1857,4522,5660,4500,1800,2029,2180,2293,2400,2340,743,11607,11607
Mud Pit Reserve Volume (bbls.),incl.,1282,incl.,incl.,5220,4000,1200,1500,1575,incl.,incl.,13000,6400,4000,1350,2640,4800,––,13000,13000,13000,13000,4000,7085,,,117,5712,1800,5802,1650,2259,3631,1800,2000,13730,2300,2227,3700,,3652,4800,900,12178,12178,17000,8550,11700,11700,11700,11700,11700,11700,-,-,2800,2800,2800,2800,6000,6000,6000,6000,,,10355,10355,10355,6300,2250,2000,750,7085,9100,9100,2750,8770,7491,,,,,,,,,,,9290,9290,9290,9290,,,,,,5000,12500,2500,5300,12167,,5700,6900,6900,11900,11900,11500,11500,8460,8460,11900,11900,6300,6300,8460,,,6289,15096,15096,15096,12000,12000,8.975,5675,5675,11568,11568,11568,12000,6000,6500,6500,11568,10000,9000,2154,3400,3400,3400,9000,9000,9000,8000,8000,4800,12200,12200,3350,6037,6038,7000,2400,2000,2400,2500,3300,2200,3553,18752,18752
Dedicated Completion Fluid Volume (Cu.ft.),1000,2614,3460,28000,1800,incl.,incl.,Incl.,incl.,incl.,incl.,incl.,3200,incl.,incl.,2735,24324,6489,2155,2155,2155,2155,2324,––,,,,3019,3296,1418,6050,3588,1000,4060,7617,3207,4000,3300,700,,incl.,incl.,incl.,incl.,incl.,3150,incl.,incl.,incl.,incl.,incl.,incl.,incl.,10094,8522,,,,,3000,3000,3000,3000,,,4860,4860,4860,2525,,,,10150,7100,7100,3065,10000,6496,,,,,,,,,,,6290,6290,6290,6290,,,,,,,,,,,,,3100,3100,4800,4800,3200,3200,3100,3100,4800,4800,3500,3500,3100,,,3145,3145,3145,3145,5031,5031,8440,8805,8805,11095,11095,11095,11095,6276,5031,5031,11095,4717,8805,1643,6600,6600,6600,9026,9026,9026,9594,9594,5382,4868,4868,1780,,,3846,,2400,,5800,5000,22000,3158,,
Bulk Storage Capacity,10000,10000,10000,,24000,17120,12340,17688,12516,24000,24000,26480,21980,17120,18520,17360,20600,21000,18250,18250,18250,18250,14550,25800,14480,14480,18008,26364,15600,22925,29760,20106,21966,30000,20040,16470,21916,23992,21140,,15400,25000,26000,23307,23307,46000,20118,26000,26000,26000,26000,26000,26000,19918,21190,10030,10030,10030,10030,34800,34800,34800,34800,,,48000,48000,48000,18250,25000,19320,19320,23400,30000,30000,18220,34604,28088,,,,,,,,,,,31924,31924,31924,31924,,,,,,32000,32000,28200,13400,30000,,29600,29600,29600,27400,27400,32000,32000,32500,32500,27400,27400,27400,27400,32500,,,29664,29664,29664,29664,28251,28251,32000,27545,27545,32000,32000,32000,32000,32490,31384,31384,32000,48000,38840,19440,32000,32000,32000,32000,32000,32000,27500,27500,47160,27395,27395,18000,23000,23000,23000,16800,18760,16800,18760,18760,,22000,28252,28252
Gumbo Buster,Y,Y,Y,Y,N,Y,Y,N,N,Y,Y,Y,Y,Y,Y,N,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,N,,N,,,N,N,N,Y,,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,Y,Y,Y,Y,Y,,,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,,,,,,,,,,,,,,,,,,,,Y,Y,Y,N,Y,,Y,Y,Y,Y,Y,Y,Y,,,Y,Y,,,,,,1,1,1,1,,,,,,Y,Y,,,,,,,,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,4,,N,N,N,N
No.of Shale Shakers,4+4,3+3,4,6,5,5,4+4,4+4,4,4,4,5,5,5,4,5,5,4,5,4,5,5,5,6,4,5,5,7,6,4,4,4,6,5,4,4,4,6,4,,4,6,4,5,5,6,5,6,6,6,6,6,6,5,5,4,4,4,4,6,6,6,6,,,8,8,8,4,4,4,4,7,6,6,5,5,6,,,,,,,8,8,6,6,7,7,7,7,,,,,,6,7,5,5,4,,6,5,5,8,8,6,6,6,6,8,8,6,6,6,,5,5,5,5,5,8,8,8,4,4,6,10,10,10,6,6,6,6,7,6,4,6,6,6,6,6,6,8,8,6,7,7,3,6,5,5,5,3,7,,3,5,3,6,6
No.of Desander,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1 set,1 set,1,1,1,1,1,1,1,1,1,,1,2,1,,,1,1,1,,,1,,1,1,1,1,1,,1,1,1,1,1,1,1,1 set,1 set,1 set,1 set,1 set,1 set,-,-,-,-,,,0,0,0,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,1,1,1,1,,,,,,1,1,3,1,,,1,1,1,0,0,0,0,1,1,0,0,1,1,1,,3,1,1,1,1,,,1,,,MC,MC,MC,MC,1,1,1,MC,,2,1,MC,1,MC,MC,MC,MC,2,2,,,,1,1,1,1,1,1,1,,,,,,
No.of Desilter,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,2 sets,1 set,1,1,1,1,1,1,1,1,,,,1,1,,,,1,,,,1,,1,1,1,1,1,,1,1,1,1,1,1,1,1 set,1 set,1 set,1 set,1 set,1 set,-,-,-,-,,,y,n,n,1,1,1,,1,1,1,1,1,1,,,,,,,,,,,1,1,1,1,,,,,,1,1,2,1,2,,2,1,1,,,,,1,1,,,1,1,1,,20,1,1,1,1,,,1,,,MC,MC,MC,MC,1,1,1,MC,,1,1,MC,1,MC,MC,MC,MC,,2,,2,2,1,2,1,1,1,1,1,,,,,2,2
