vessel_id,name,scope,vessel_type,owner_operator,year_built,loa,lbp,beam,depth,draft,draft_transit,displacement,cb,lcg,vcg,tcg,kxx,kxx_basis,kyy,kyy_basis,kzz,kzz_basis,n_citations,n_gaps
floating_terra_nova_fpso,Terra Nova FPSO,floating,FPSO (ship-shaped),Suncor Energy (operator),1999 (in service 2002),292.2,,45.5,27.94,,,193000.0,,,,,15.925,estimated:kxx=0.35*beam,73.05,estimated:kyy=0.25*length_bp,75.972,estimated:kzz=0.26*length_bp,1,8
floating_searose_fpso,SeaRose FPSO,floating,"FPSO (ship-shaped, converted/newbuild Suezmax-class)","Cenovus Energy (operator); owners Cenovus, Suncor, Nalcor",2004,258.0,,46.0,,18.043,,190102.0,,,,,16.1,estimated:kxx=0.35*beam,64.5,estimated:kyy=0.25*length_bp,67.08,estimated:kzz=0.26*length_bp,1,6
floating_fpso_noble_seillean,FPSO Noble Seillean,floating,FPSO / dynamically-positioned oil processing tanker (converted),Noble Corporation,1988 (scrapped 2015),249.7,,37.0,19.8,11.54,,79600.0,,,,,12.95,estimated:kxx=0.35*beam,62.425,estimated:kyy=0.25*length_bp,64.922,estimated:kzz=0.26*length_bp,1,5
floating_fdpso_azurite,FDPSO Azurite,floating,"FDPSO (floating drilling, production, storage & offloading; VLCC conversion)",Prosafe Production (operator); owner Prosafe FPSO,1988 (converted 2007-2009 at Keppel Shipyard),322.22,,56.0,29.5,19.667,,,,,,,19.6,estimated:kxx=0.35*beam,80.555,estimated:kyy=0.25*length_bp,83.777,estimated:kzz=0.26*length_bp,1,6
floating_yavuz_drillship,Yavuz (drillship),floating,"Drillship (GustoMSC P10000 design, ultra-deepwater)",Türkiye Petrolleri A.O. (TPAO),2011,229.19,,36.0,,14.7,,,,,,,12.6,estimated:kxx=0.35*beam,57.297,estimated:kyy=0.25*length_bp,59.589,estimated:kzz=0.26*length_bp,1,7
floating_fatih_drillship,Fatih (drillship),floating,Drillship (ultra-deepwater),"Türkiye Petrolleri A.O. (TPAO) (acquired 2017, commissioned 2018)",2011,229.19,,36.0,,16.1,,,,,,,12.6,estimated:kxx=0.35*beam,57.297,estimated:kyy=0.25*length_bp,59.589,estimated:kzz=0.26*length_bp,1,7
floating_deepwater_conqueror_drillship,Deepwater Conqueror (drillship),floating,Drillship (DSME 12000 ultra-deepwater),Transocean (owner/operator),gap,,,,,,,,,,,,,gap,,gap,,gap,1,5
floating_thunder_horse_pdq,Thunder Horse PDQ,floating,"Production semisubmersible (Production-Drilling-Quarters, ring-pontoon)","BP plc (operator, 75%); ExxonMobil 25%",first oil June 2008 (launched 2006),136.0,,,,30.0,,130000.0,,,,,,gap,34.0,estimated:kyy=0.25*length_bp,35.36,estimated:kzz=0.26*length_bp,1,5
floating_perdido_spar,Perdido spar,floating,Spar (truss spar production platform),"Shell (operator, 35%); Chevron 37.5%; BP 27.5%",2009 (production began 2010),,,,,,,,,,,,,gap,,gap,,gap,2,4
floating_genesis_spar,Genesis spar,floating,Spar (classic/cylindrical production & drilling spar),Chevron (operator); now Genesis field GoM,1998-1999 (installed),,,,,,,,,,,,,gap,,gap,,gap,1,5
floating_fsru_independence,FSRU Independence,floating,"FSRU (Floating Storage & Regasification Unit, ship-shaped LNG)","KN Energies (Klaipėda, Lithuania) — owner since Dec 2024",2014,294.0,,46.0,,12.6,,,,,,,16.1,estimated:kxx=0.35*beam,73.5,estimated:kyy=0.25*length_bp,76.44,estimated:kzz=0.26*length_bp,1,7
install_sscv_sleipnir,SSCV Sleipnir,install,"Semi-submersible crane vessel (SSCV), dual 10,000 t cranes",Heerema Marine Contractors,2019,220.0,,102.0,,32.0,12.0,273700.0,,,,,35.7,estimated:kxx=0.35*beam,55.0,estimated:kyy=0.25*length_bp,57.2,estimated:kzz=0.26*length_bp,1,8
install_sscv_thialf,SSCV Thialf,install,"Semi-submersible crane vessel (SSCV), dual cranes (ex-McDermott DB-102)",Heerema Marine Contractors,1985,201.6,,88.4,49.5,31.6,12.0,198750.0,,,,,30.94,estimated:kxx=0.35*beam,50.4,estimated:kyy=0.25*length_bp,52.416,estimated:kzz=0.26*length_bp,1,7
install_dcv_balder,DCV Balder,install,"Deepwater construction vessel (ex-SSCV), J-lay + crane, 6,300 t lift",Heerema Marine Contractors,1978 (converted to DCV 2001),154.0,,86.0,,27.0,,104355.0,,,,,30.1,estimated:kxx=0.35*beam,38.5,estimated:kyy=0.25*length_bp,40.04,estimated:kzz=0.26*length_bp,1,9
install_saipem_7000,Saipem 7000,install,"Semi-submersible crane + J-lay DP vessel, dual ~7,000 t cranes",Saipem,1987,198.0,,87.0,,,10.5,,,,,,30.45,estimated:kxx=0.35*beam,49.5,estimated:kyy=0.25*length_bp,51.48,estimated:kzz=0.26*length_bp,2,7
install_pioneering_spirit,Pioneering Spirit,install,"Catamaran-bow heavy-lift + S-lay pipelay installation/decommissioning vessel; topsides lift 48,000 t, jacket lift 20,000 t",Allseas,2013,,,124.0,30.0,27.0,10.0,1000000.0,,,,,43.4,estimated:kxx=0.35*beam,,gap,,gap,1,7
install_bokalift_2,Bokalift 2,install,"Monohull crane / offshore-wind T&I vessel, 4,000 t crane (converted VLCC-class hull)",Boskalis,2000 (hull); converted 2020,231.0,,49.0,,,,,,,,,17.15,estimated:kxx=0.35*beam,57.75,estimated:kyy=0.25*length_bp,60.06,estimated:kzz=0.26*length_bp,2,9
install_seven_borealis,Seven Borealis,install,"Monohull pipelay (S-lay + J-lay) & heavy-lift construction vessel, 5,000 t mast crane",Subsea 7,2012,182.2,,46.2,,11.35,,,,,,,16.17,estimated:kxx=0.35*beam,45.55,estimated:kyy=0.25*length_bp,47.372,estimated:kzz=0.26*length_bp,1,9
