 Variables = "X", "Y", "Z"
Zone i=   31 j=   41 f=point
 0.46532E+00   0.00000E+00  -0.16522E-01
 0.46576E+00   0.00000E+00  -0.14916E-01
 0.46635E+00   0.00000E+00  -0.13309E-01
 0.46737E+00   0.00000E+00  -0.11827E-01
 0.46856E+00   0.00000E+00  -0.10398E-01
 0.46999E+00   0.00000E+00  -0.90772E-02
 0.47165E+00   0.00000E+00  -0.79237E-02
 0.47346E+00   0.00000E+00  -0.68486E-02
 0.47548E+00   0.00000E+00  -0.60164E-02
 0.47764E+00   0.00000E+00  -0.52842E-02
 0.47992E+00   0.00000E+00  -0.46534E-02
 0.48233E+00   0.00000E+00  -0.41525E-02
 0.48485E+00   0.00000E+00  -0.37104E-02
 0.48749E+00   0.00000E+00  -0.32928E-02
 0.49023E+00   0.00000E+00  -0.28825E-02
 0.49308E+00   0.00000E+00  -0.24709E-02
 0.49593E+00   0.00000E+00  -0.20667E-02
 0.49868E+00   0.00000E+00  -0.16838E-02
 0.50132E+00   0.00000E+00  -0.13158E-02
 0.50386E+00   0.00000E+00  -0.96172E-03
 0.50630E+00   0.00000E+00  -0.62110E-03
 0.50864E+00   0.00000E+00  -0.29065E-03
 0.51090E+00   0.00000E+00   0.25425E-04
 0.51307E+00   0.00000E+00   0.32901E-03
 0.51515E+00   0.00000E+00   0.62519E-03
 0.51716E+00   0.00000E+00   0.90986E-03
 0.51909E+00   0.00000E+00   0.11835E-02
 0.52094E+00   0.00000E+00   0.14460E-02
 0.52272E+00   0.00000E+00   0.16983E-02
 0.52444E+00   0.00000E+00   0.19408E-02
 0.52609E+00   0.00000E+00   0.21739E-02
 0.46532E+00   0.44468E-04  -0.14546E-01
 0.46573E+00   0.24175E-03  -0.12965E-01
 0.46634E+00   0.37179E-03  -0.11375E-01
 0.46732E+00   0.38991E-03  -0.98925E-02
 0.46858E+00   0.61931E-03  -0.85607E-02
 0.47011E+00   0.10780E-02  -0.74918E-02
 0.47191E+00   0.15343E-02  -0.67624E-02
 0.47390E+00   0.17351E-02  -0.61770E-02
 0.47598E+00   0.17724E-02  -0.55700E-02
 0.47815E+00   0.17741E-02  -0.49786E-02
 0.48043E+00   0.17683E-02  -0.44349E-02
 0.48281E+00   0.17598E-02  -0.39304E-02
 0.48530E+00   0.17495E-02  -0.34691E-02
 0.48790E+00   0.17402E-02  -0.30499E-02
 0.49062E+00   0.17326E-02  -0.26533E-02
 0.49344E+00   0.17261E-02  -0.22705E-02
 0.49626E+00   0.17193E-02  -0.18923E-02
 0.49898E+00   0.17120E-02  -0.15298E-02
 0.50159E+00   0.17041E-02  -0.11750E-02
 0.50410E+00   0.16961E-02  -0.82651E-03
 0.50651E+00   0.16880E-02  -0.49115E-03
 0.50883E+00   0.16799E-02  -0.16401E-03
 0.51106E+00   0.16724E-02   0.15068E-03
 0.51321E+00   0.16650E-02   0.45060E-03
 0.51527E+00   0.16578E-02   0.74264E-03
 0.51725E+00   0.16512E-02   0.10187E-02
 0.51916E+00   0.16450E-02   0.12803E-02
 0.52099E+00   0.16391E-02   0.15291E-02
 0.52276E+00   0.16335E-02   0.17642E-02
 0.52445E+00   0.16279E-02   0.19892E-02
 0.52609E+00   0.16224E-02   0.22062E-02
 0.46532E+00   0.26602E-03  -0.12562E-01
 0.46572E+00   0.44228E-03  -0.10993E-01
 0.46636E+00   0.76323E-03  -0.94604E-02
 0.46742E+00   0.13613E-02  -0.81948E-02
 0.46880E+00   0.22032E-02  -0.73445E-02
 0.47046E+00   0.29270E-02  -0.67445E-02
 0.47232E+00   0.33711E-02  -0.62232E-02
 0.47431E+00   0.35292E-02  -0.57237E-02
 0.47639E+00   0.35604E-02  -0.52120E-02
 0.47856E+00   0.35585E-02  -0.46875E-02
 0.48082E+00   0.35456E-02  -0.41654E-02
 0.48319E+00   0.35289E-02  -0.36691E-02
 0.48566E+00   0.35112E-02  -0.32202E-02
 0.48824E+00   0.34958E-02  -0.28215E-02
