,OD,ID,t,Pd,Pa,Pt,Pb
0,16.0,14.0,1.0,4195.286349132591,4719.6971427741655,5994.559833384698,6992.143915220985
1,16.2,14.0,1.1,4641.428865579872,5221.607473777356,6552.237978943805,7735.714775966453
2,16.4,14.0,1.2,5082.097102506767,5717.359240320114,7103.073275102419,8470.16183751128
3,16.6,14.0,1.3,5517.423774654871,6207.10174648673,7647.231615287552,9195.706291091452
4,16.8,14.0,1.4,5947.536828339293,6690.978931881705,8184.872932393076,9912.561380565488
5,17.0,14.0,1.5,6372.559667186472,7169.129625584782,8716.151480952054,10620.93277864412
6,17.2,14.0,1.6,6792.611364670055,7641.687785253813,9241.21610280653,11321.01894111676
7,17.4,14.0,1.7,7207.806864360553,8108.782722405623,9760.210477419654,12013.011440600922
8,17.6,14.0,1.8,7618.257168731483,8570.53931482292,10273.273357883321,12697.095281219139
9,17.8,14.0,1.9,8024.069517297671,9027.07820695988,10780.538793591062,13373.44919549612
10,18.0,14.0,2.0,8425.34755480122,9478.515999151372,11282.136340470492,14042.2459246687
