,OD,ID,t,Pd,Pa,Pt,Pb
0,14.0,12.0,1.0,5196.161795050265,5845.682019431549,7434.494599718886,8660.269658417108
1,14.0,11.8,1.1,5832.01995680754,6561.022451408484,8245.080907220054,9720.033261345901
2,14.0,11.6,1.2,6478.533072867287,7288.349706975699,9069.5240600974,10797.555121445479
3,14.0,11.4,1.3,7136.064323704208,8028.072364167235,9908.306071412464,11893.440539507013
4,14.0,11.2,1.4,7804.995781052821,8780.620253684425,10761.934550445194,13008.326301754703
5,14.0,11.0,1.5,8485.729741261539,9546.445958919234,11630.94454770749,14142.882902102567
6,14.0,10.8,1.6,9178.690178399023,10326.026450698902,12515.900569251275,15297.816963998373
7,14.0,10.6,1.7,9884.324330255351,11119.864871537271,13417.398779261133,16473.87388375892
8,14.0,10.4,1.8,10603.104432095139,11928.492486107032,14336.069412454002,17671.840720158565
9,14.0,10.2,1.9,11335.529614994184,12752.47081686846,15272.579420734699,18892.549358323642
10,14.0,10.0,2.0,12082.127987871445,13592.393986355377,16227.635381945322,20136.879979785743
