,OD,ID,t,Pd,Pa,Pt,Pb
0,16.0,14.0,1.0,3604.796069907494,4055.395578645931,5994.559833384698,6007.993449845823
1,16.0,13.8,1.1,4104.581629522816,4617.654333213169,6640.506422334109,6840.969382538027
2,16.0,13.6,1.2,4611.420562469673,5187.848132778384,7295.883221045112,7685.700937449456
3,16.0,13.4,1.3,5125.514807757717,5766.2041587274325,7960.969658250758,8542.524679596196
4,16.0,13.2,1.4,5647.075102809655,6352.959490660863,8636.057769421144,9411.791838016092
5,16.0,13.0,1.5,6176.321502128286,6948.361689894322,9321.452966713028,10293.86917021381
6,16.0,12.8,1.6,6713.483934755305,7552.669426599719,10017.474868612468,11189.139891258843
7,16.0,12.6,1.7,7258.802804056285,8166.153154563322,10724.458194911378,12098.004673427142
8,16.0,12.4,1.8,7812.529633747864,8789.095837966348,11442.753733291063,13020.882722913108
9,16.0,12.2,1.9,8374.92776451243,9421.793735076484,12172.729384499748,13958.21294085405
10,16.0,12.0,2.0,8946.273106029543,10064.557244283236,12914.771293919754,14910.455176715905
