,OD,ID,t,Pd,Pa,Pt,Pb
0,14.0,12.0,1.0,4836.715922325229,5441.305412615883,6920.211460535059,8061.193203875382
1,14.2,12.0,1.1,5346.1430555423785,6014.410937485177,7556.995377056493,8910.238425903965
2,14.4,12.0,1.2,5848.445099811648,6579.500737288105,8184.872932393076,9747.40849968608
3,14.6,12.0,1.3,6343.818618791945,7136.795946140938,8804.089831118443,10573.031031319908
4,14.8,12.0,1.4,6832.452152630191,7686.508671708966,9414.881748416256,11387.420254383653
5,15.0,12.0,1.5,7314.526648787157,8228.842479885552,10017.474868612468,12190.877747978595
6,15.2,12.0,1.6,7790.215864329211,8763.992847370364,10612.08638804003,12983.693107215353
7,15.4,12.0,1.7,8259.686741924123,9292.147584664639,11198.924985033675,13766.144569873539
8,15.6,12.0,1.8,8723.099761577032,9813.487231774163,11778.191259599807,14538.499602628388
9,15.8,12.0,1.9,9180.609269960958,10328.18542870608,12350.078145079713,15301.015449934932
10,16.0,12.0,2.0,9632.363789032988,10836.409262662113,12914.771293919754,16053.939648388316
