Parameter,Units,24” ,24” ,24” x 20”,20” x 16” ,16’ (Hose),16” Rail Hose,
Length,ft,35,35,35,35,35,35,
"Flexible ID, inches ",mm,600,600,600/500,500,400,200,
"Flexible OD, inches ",mm,950-1200,1150-1200,970-990,830-880,820-850,650 - 970,
Drag OD ,mm,1.00E+03,1.11E+03,9.29E+02,7.94E+02,7.81E+02,788.6824456,
Buoyancy OD ,mm,1002.363533,1112.879149,928.5687912,794.0403012,7.81E+02,788.6824456,
"Minimum Bend Radius Storage, ",mm,-,-,-,-,-,-,
"Minimum Bend Radius Operation, ",Dia (mm),6D(3600),6D(3600),6D(3000),6D(2400),4D(1600),4D(1600),
"Weight in air, empty",Kg,5800,5800,4400,3200,3100,3100,
"Weight in seawater, empty",Kg/m,-,-,-,-,-,-,
Pressure Nominal bursting,Bar,42,42,42,42,42,42,
Hydrostatic collapse pressure,Bar,21,21,21,21,21,21,
Bending Stiffness (Pressurized RWP),kN.m2,881.9,881.9,354.8,210.4,217.5,242.0,
Bending Stiffness (Empty),kN.m2,229.4,229.4,92.3,54.7,56.6,62.9,
Torsional Stiffness,kN.m2,2576.0,2576.0,1036.3,614.6,635.4,706.8,
Axial Stiffness (Empty),kN,34785.0,34785.0,17411.9,15066.2,17815.0,23045.6,
Axial Stiffness (Pressurized RWP),kN,54502.0,54502.0,27281.4,23606.2,27913.0,36108.4,
Minimum Breaking Strength,kN,588.0,588.0,294.3,254.7,301.1,389.6,
Internal Fluid Density- Lower Bound,Name,Oil,Oil,Oil,Oil,Oil,Oil,
Internal Fluid Density- Lower Bound,kg/m3,742.8,742.8,742.8,742.8,742.8,742.8,
Internal Fluid –Upper Bound,-,Water,Water,Water,Water,Water,Water,
Internal Fluid –Upper Bound,kg/m3,1025,1025,1025,1025,1025,1025,
,,,,,,,,
