EnvironmentID,EnvironmentName,Hs,Tp,Tz,WaveDirection,WaveSpectrum,SurfaceCurrent,MidCurrent,BottomCurrent,WindSpeed,WaterDepth,ReturnPeriod,Description
GoM_100yr,Gulf of Mexico 100-year,14.5,15.0,12.5,180.0,JONSWAP,1.5,0.8,0.3,45.0,1500.0,100,GoM 100-year hurricane condition
GoM_10yr,Gulf of Mexico 10-year,10.2,12.5,10.0,180.0,JONSWAP,1.2,0.6,0.25,35.0,1500.0,10,GoM 10-year storm
GoM_1yr,Gulf of Mexico 1-year,6.5,9.5,7.8,180.0,JONSWAP,0.8,0.4,0.15,25.0,1500.0,1,GoM 1-year operating condition
NorthSea_100yr,North Sea 100-year,16.8,16.5,13.8,270.0,JONSWAP,1.8,1.0,0.4,50.0,150.0,100,North Sea extreme storm
NorthSea_10yr,North Sea 10-year,11.5,13.2,10.8,270.0,JONSWAP,1.4,0.7,0.3,38.0,150.0,10,North Sea 10-year condition
NorthSea_1yr,North Sea 1-year,7.8,10.5,8.5,270.0,JONSWAP,1.0,0.5,0.2,28.0,150.0,1,North Sea operating
WestAfrica_100yr,West Africa 100-year,12.5,14.2,11.8,225.0,JONSWAP,1.3,0.7,0.28,42.0,1200.0,100,West Africa 100-year
WestAfrica_10yr,West Africa 10-year,8.8,11.5,9.5,225.0,JONSWAP,1.0,0.5,0.22,32.0,1200.0,10,West Africa 10-year
Brazil_100yr,Brazil Campos Basin 100yr,13.2,14.8,12.2,135.0,JONSWAP,1.4,0.75,0.3,43.0,1800.0,100,Brazil Campos Basin extreme
Brazil_10yr,Brazil Campos Basin 10yr,9.5,12.0,9.8,135.0,JONSWAP,1.1,0.55,0.24,33.0,1800.0,10,Brazil Campos operating
