ConnectorID,Type,SWL_kN,MBL_kN,Mass_kg,Length_m,OD_m,Cd,Ca,Description
HAWSER_CONN_150T,Hawser,1500,3000,450,2.5,0.3,1.0,1.0,Tanker hawser connector for CALM buoy
HAWSER_CONN_200T,Hawser,2000,4000,650,2.8,0.35,1.0,1.0,Heavy duty hawser connector for VLCC
HAWSER_CONN_250T,Hawser,2500,5000,850,3.0,0.4,1.0,1.0,Extra heavy duty hawser connector
CHAIN_STOPPER_100T,ChainStopper,1000,2000,350,1.5,0.25,0.8,1.0,Chain stopper for mooring line
CHAIN_STOPPER_200T,ChainStopper,2000,4000,850,1.8,0.35,0.8,1.0,Heavy duty chain stopper
CHAIN_STOPPER_300T,ChainStopper,3000,6000,1250,2.0,0.45,0.8,1.0,Extra heavy duty chain stopper
QUICK_RELEASE_100T,QuickRelease,1000,2000,320,1.2,0.2,0.9,1.0,Emergency quick release hook
QUICK_RELEASE_150T,QuickRelease,1500,3000,450,1.4,0.25,0.9,1.0,Emergency quick release - medium
QUICK_RELEASE_200T,QuickRelease,2000,4000,580,1.6,0.3,0.9,1.0,Emergency quick release - heavy
SWIVEL_150T,Swivel,1500,3000,550,1.5,0.4,0.9,1.0,Swivel joint for CALM buoy
SWIVEL_200T,Swivel,2000,4000,780,1.8,0.5,0.9,1.0,Heavy duty swivel joint
SWIVEL_300T,Swivel,3000,6000,1100,2.0,0.6,0.9,1.0,Extra heavy duty swivel joint
SHACKLE_100T,Shackle,1000,2000,80,0.3,0.15,1.2,1.0,Standard anchor shackle
SHACKLE_200T,Shackle,2000,4000,180,0.4,0.2,1.2,1.0,Heavy duty anchor shackle
SHACKLE_300T,Shackle,3000,6000,320,0.5,0.25,1.2,1.0,Extra heavy anchor shackle
TRI_PLATE_150T,TriPlate,1500,3000,250,0.8,0.4,1.0,1.0,Triangular connection plate
TRI_PLATE_250T,TriPlate,2500,5000,450,1.0,0.5,1.0,1.0,Heavy duty tri-plate
PLEM_CONN_100T,PLEM,1000,2000,1500,3.0,0.5,1.0,1.0,Pipeline end manifold connector
