,OD,ID,t,Pd,Pa,Pt,Pb
0,16.0,14.0,1.0,3604.796069907494,4055.395578645931,5994.559833384698,6007.993449845823
1,16.2,14.0,1.1,4050.938586354774,4557.3059096491215,6552.237978943805,6751.56431059129
2,16.4,14.0,1.2,4491.606823281669,5053.057676191878,7103.073275102419,7486.011372136115
3,16.6,14.0,1.3,4926.933495429779,5542.800182358503,7647.231615287552,8211.5558257163
4,16.8,14.0,1.4,5357.046549114195,6026.677367753469,8184.872932393076,8928.410915190325
5,17.0,14.0,1.5,5782.06938796138,6504.828061456553,8716.151480952054,9636.782313268966
6,17.2,14.0,1.6,6202.121085444956,6977.386221125576,9241.21610280653,10336.868475741594
7,17.4,14.0,1.7,6617.31658513546,7444.481158277394,9760.210477419654,11028.860975225767
8,17.6,14.0,1.8,7027.76688950639,7906.237750694689,10273.273357883321,11712.944815843983
9,17.8,14.0,1.9,7433.579238072578,8362.77664283165,10780.538793591062,12389.298730120963
10,18.0,14.0,2.0,7834.857275576123,8814.21443502314,11282.136340470492,13058.09545929354
