,OD,ID,t,Pd,Pa,Pt,Pb
0,16.2,14.2,1.0,6687.24705388548,7523.152935621167,11118.032800126035,11145.411756475802
1,16.2,14.0,1.1,7613.69585481074,8565.407836662083,12314.86137757235,12689.493091351233
2,16.2,13.799999999999999,1.2,8553.037482046231,9622.16716730201,13528.911100093268,14255.062470077051
3,16.2,13.6,1.3,9505.635849207993,10693.840330358993,14760.684801253017,15842.726415346655
4,16.2,13.399999999999999,1.4,10471.870498510285,11780.854310824072,16010.70766437427,17453.11749751714
5,16.2,13.2,1.5,11452.13750869078,12883.654697277128,17279.528567007364,19086.895847817967
6,16.2,13.0,1.6,12446.850469839808,14002.706778569787,18567.721528042643,20744.75078306635
7,16.2,12.799999999999999,1.7,13456.441531138173,15138.496722530444,19875.887267014707,22427.402551896954
8,16.2,12.6,1.8,14481.362528146663,16291.532844164996,21204.654886201442,24135.60421357777
9,16.2,12.399999999999999,1.9,15522.08619700731,17462.346971633226,22554.68368730743,25870.14366167885
10,16.2,12.2,2.0,16579.10748372312,18651.495919188514,23926.665135863877,27631.8458062052
