,OD,ID,t,Pd,Pa,Pt,Pb
0,18.0,16.0,1.0,3185.924283685436,3584.164819146116,5287.576507085787,5309.873806142394
1,18.2,16.0,1.1,3582.7682189888947,4030.614246362507,5783.6314262151045,5971.280364981491
2,18.4,16.0,1.2,3975.2749752853233,4472.184347195989,6274.264871585646,6625.458292142206
3,18.6,16.0,1.3,4363.53833218839,4908.980623711939,6759.5940677144845,7272.563886980651
4,18.8,16.0,1.4,4747.649060223559,5341.105192751504,7239.73247775844,7912.748433705931
5,19.0,16.0,1.5,5127.695048202998,5768.656929228373,7714.789962732744,8546.158413671663
6,19.2,16.0,1.6,5503.761423931267,6191.731601922676,8184.872932393076,9172.935706552113
7,19.4,16.0,1.7,5875.930668656411,6610.422002238463,8650.08448829951,9793.21778109402
8,19.6,16.0,1.8,6244.282725651557,7024.8180663580015,9110.524559543437,10407.137876085928
9,19.8,16.0,1.9,6608.895103284327,7435.0069911948685,9566.290031584404,11014.825172140545
10,20.0,16.0,2.0,6969.84297290678,7841.073344520129,10017.474868612468,11616.404954844635
