,OD,ID,t,Pd,Pa,Pt,Pb
0,10.75,8.75,1.0,6915.53759048542,7779.979789296099,9927.987259198342,11525.895984142368
1,10.75,8.55,1.1,7783.973982621891,8756.970730449628,11043.152548384362,12973.289971036485
2,10.75,8.35,1.2,8672.408354831183,9756.459399185083,12184.714718467441,14454.01392471864
3,10.75,8.15,1.3,9581.783469049864,10779.506402681098,13353.953801902877,15969.639115083106
4,10.75,7.95,1.4,10513.11036663302,11827.249162462149,14552.245256233022,17521.850611055033
5,10.75,7.75,1.5,11467.475125319133,12900.909515984027,15781.069691442903,19112.458542198558
6,10.75,7.55,1.6,12446.046473285192,14001.802282445842,17042.023869274235,20743.410788808655
7,10.75,7.35,1.7,13450.08439415662,15131.344943426198,18336.83317945704,22416.807323594367
8,10.75,7.15,1.8,14480.949881882956,16291.068617118328,19667.36583741451,24134.916469804928
9,10.75,6.95,1.9,15540.116034938508,17482.630539305825,21035.649096585166,25900.193391564182
10,10.75,6.75,2.0,16629.180716757408,18707.828306352083,22443.88782844961,27715.30119459568
