,OD,ID,t,Pd,Pa,Pt,Pb
0,16.0,14.0,1.0,3872.690461505494,4356.7767691936815,6440.0521520399425,6454.484102509157
1,16.0,13.8,1.1,4409.618135633289,4960.82040258745,7134.002973432896,7349.363559388815
2,16.0,13.6,1.2,4954.123362302958,5573.388782590829,7838.084821015813,8256.872270504931
3,16.0,13.4,1.3,5506.423087844149,6194.725973824669,8552.597889575909,9177.371813073583
4,16.0,13.2,1.4,6066.743710863323,6825.0866747212385,9277.855917520998,10111.239518105538
5,16.0,13.0,1.5,6635.3216394561005,7464.736844388113,10014.18701404876,11058.8693990935
6,16.0,12.8,1.6,7212.403890094243,8113.954376356024,10761.934550445194,12020.673150157072
7,16.0,12.6,1.7,7798.248731984302,8773.02982348234,11521.458121572334,12997.081219973838
8,16.0,12.4,1.8,8393.126381105043,9442.267178743174,12293.134584284508,13988.543968508406
9,16.0,12.2,1.9,8997.319748591804,10121.984717165782,13077.359180279389,14995.532914319676
10,16.0,12.0,2.0,9611.125248655975,10812.515904737973,13874.546751758826,16018.542081093292
