,OD,ID,t,Pd,Pa,Pt,Pb
0,16.0,14.0,1.0,4195.286349132591,4719.6971427741655,5994.559833384698,6992.143915220985
1,16.0,13.8,1.1,4703.416086378683,5291.343097176018,6640.506422334109,7839.026810631138
2,16.0,13.6,1.2,5218.838404810991,5871.193205412365,7295.883221045112,8698.064008018318
3,16.0,13.4,1.3,5741.765679567015,6459.486389512892,7960.969658250758,9569.609465945025
4,16.0,13.2,1.4,6272.419700246207,7056.472162776983,8636.057769421144,10454.032833743679
5,16.0,13.0,1.5,6811.032235716153,7662.411265180674,9321.452966713028,11351.720392860256
6,16.0,12.8,1.6,7357.845641920392,8277.576347160442,10017.474868612468,12263.07606986732
7,16.0,12.6,1.7,7913.113516677348,8902.252706262017,10724.458194911378,13188.522527795581
8,16.0,12.4,1.8,8477.101405898646,9536.739081635978,11442.753733291063,14128.502343164411
9,16.0,12.2,1.9,9050.087566149534,10181.348511918226,12172.729384499748,15083.47927691589
10,16.0,12.0,2.0,9632.363789032988,10836.409262662113,12914.771293919754,16053.939648388316
