pipe_type,nominal_size,od_m,wt_m,span_m,v_current_ms,e_over_d,content_density_kg_m3,boundary_condition,wt_selection,schedule,case_id,f_n_hz,v_r,a_over_d,status,max_allowable_span_m,m_eff_kg_per_m
pipeline,8in,0.2191,0.0082,10,0.2,0.5,800.0,pinned,thinnest,Sch 40,PL-0001,1.3573,0.673,0.0,PASS,23.6,109.1
pipeline,8in,0.2191,0.0082,10,0.2,1.0,800.0,pinned,thinnest,Sch 40,PL-0002,1.3573,0.673,0.0,PASS,21.1,109.1
pipeline,8in,0.2191,0.0082,10,0.2,2.0,800.0,pinned,thinnest,Sch 40,PL-0003,1.3573,0.673,0.0,PASS,21.1,109.1
pipeline,8in,0.2191,0.0082,10,0.2,5.0,800.0,pinned,thinnest,Sch 40,PL-0004,1.3573,0.673,0.0,PASS,21.1,109.1
pipeline,8in,0.2191,0.0082,10,0.4,0.5,800.0,pinned,thinnest,Sch 40,PL-0005,1.3573,1.345,0.0538,INLINE_ONLY,16.7,109.1
pipeline,8in,0.2191,0.0082,10,0.4,1.0,800.0,pinned,thinnest,Sch 40,PL-0006,1.3573,1.345,0.0673,INLINE_ONLY,14.9,109.1
pipeline,8in,0.2191,0.0082,10,0.4,2.0,800.0,pinned,thinnest,Sch 40,PL-0007,1.3573,1.345,0.0673,INLINE_ONLY,14.9,109.1
pipeline,8in,0.2191,0.0082,10,0.4,5.0,800.0,pinned,thinnest,Sch 40,PL-0008,1.3573,1.345,0.0673,INLINE_ONLY,14.9,109.1
pipeline,8in,0.2191,0.0082,10,0.6,0.5,800.0,pinned,thinnest,Sch 40,PL-0009,1.3573,2.018,0.0807,INLINE_ONLY,13.6,109.1
pipeline,8in,0.2191,0.0082,10,0.6,1.0,800.0,pinned,thinnest,Sch 40,PL-0010,1.3573,2.018,0.1009,INLINE_ONLY,12.2,109.1
pipeline,8in,0.2191,0.0082,10,0.6,2.0,800.0,pinned,thinnest,Sch 40,PL-0011,1.3573,2.018,0.1009,INLINE_ONLY,12.2,109.1
pipeline,8in,0.2191,0.0082,10,0.6,5.0,800.0,pinned,thinnest,Sch 40,PL-0012,1.3573,2.018,0.1009,INLINE_ONLY,12.2,109.1
pipeline,8in,0.2191,0.0082,10,0.8,0.5,800.0,pinned,thinnest,Sch 40,PL-0013,1.3573,2.69,0.1076,INLINE_ONLY,11.8,109.1
pipeline,8in,0.2191,0.0082,10,0.8,1.0,800.0,pinned,thinnest,Sch 40,PL-0014,1.3573,2.69,0.1345,INLINE_ONLY,10.6,109.1
pipeline,8in,0.2191,0.0082,10,0.8,2.0,800.0,pinned,thinnest,Sch 40,PL-0015,1.3573,2.69,0.1345,INLINE_ONLY,10.6,109.1
pipeline,8in,0.2191,0.0082,10,0.8,5.0,800.0,pinned,thinnest,Sch 40,PL-0016,1.3573,2.69,0.1345,INLINE_ONLY,10.6,109.1
pipeline,8in,0.2191,0.0082,10,1.0,0.5,800.0,pinned,thinnest,Sch 40,PL-0017,1.3573,3.363,0.1345,INLINE_ONLY,10.6,109.1
pipeline,8in,0.2191,0.0082,10,1.0,1.0,800.0,pinned,thinnest,Sch 40,PL-0018,1.3573,3.363,0.1886,FAIL_CF,9.4,109.1
pipeline,8in,0.2191,0.0082,10,1.0,2.0,800.0,pinned,thinnest,Sch 40,PL-0019,1.3573,3.363,0.1886,FAIL_CF,9.4,109.1
pipeline,8in,0.2191,0.0082,10,1.0,5.0,800.0,pinned,thinnest,Sch 40,PL-0020,1.3573,3.363,0.1886,FAIL_CF,9.4,109.1
pipeline,8in,0.2191,0.0082,20,0.2,0.5,800.0,pinned,thinnest,Sch 40,PL-0021,0.3393,2.69,0.1076,INLINE_ONLY,23.6,109.1
pipeline,8in,0.2191,0.0082,20,0.2,1.0,800.0,pinned,thinnest,Sch 40,PL-0022,0.3393,2.69,0.1345,INLINE_ONLY,21.1,109.1
pipeline,8in,0.2191,0.0082,20,0.2,2.0,800.0,pinned,thinnest,Sch 40,PL-0023,0.3393,2.69,0.1345,INLINE_ONLY,21.1,109.1
pipeline,8in,0.2191,0.0082,20,0.2,5.0,800.0,pinned,thinnest,Sch 40,PL-0024,0.3393,2.69,0.1345,INLINE_ONLY,21.1,109.1
pipeline,8in,0.2191,0.0082,20,0.4,0.5,800.0,pinned,thinnest,Sch 40,PL-0025,0.3393,5.38,0.9,FAIL_LOCKIN,16.7,109.1
pipeline,8in,0.2191,0.0082,20,0.4,1.0,800.0,pinned,thinnest,Sch 40,PL-0026,0.3393,5.38,0.9,FAIL_LOCKIN,14.9,109.1
pipeline,8in,0.2191,0.0082,20,0.4,2.0,800.0,pinned,thinnest,Sch 40,PL-0027,0.3393,5.38,0.9,FAIL_LOCKIN,14.9,109.1
pipeline,8in,0.2191,0.0082,20,0.4,5.0,800.0,pinned,thinnest,Sch 40,PL-0028,0.3393,5.38,0.9,FAIL_LOCKIN,14.9,109.1
pipeline,8in,0.2191,0.0082,20,0.6,0.5,800.0,pinned,thinnest,Sch 40,PL-0029,0.3393,8.07,0.9,FAIL_CF,13.6,109.1
pipeline,8in,0.2191,0.0082,20,0.6,1.0,800.0,pinned,thinnest,Sch 40,PL-0030,0.3393,8.07,0.9,FAIL_CF,12.2,109.1
