vessel_id,vessel_name,pipe_size,pipe_od_mm,pipe_wt_mm,water_depth_m,overall_status,max_utilisation,governing_check,H_chosen_kn,T_top_te,departure_angle_deg,sagbend_util,overbend_util,tension_util,sagbend_stress_mpa,overbend_stress_mpa,R_sag_m,departure_angle_required_angle_deg,departure_angle_stinger_min_deg,departure_angle_stinger_max_deg,departure_angle_in_range,departure_angle_status,top_tension_T_top_kn,top_tension_T_top_te,top_tension_tensioner_capacity_te,top_tension_utilisation,top_tension_status,sagbend_R_sag_m,sagbend_kappa_sag,sagbend_sigma_bending_mpa,sagbend_sigma_axial_mpa,sagbend_sigma_combined_mpa,sagbend_stress_basis,sagbend_utilisation,sagbend_status,overbend_R_overbend_m,overbend_sigma_overbend_mpa,overbend_utilisation,overbend_status,vessel_capability_pipe_od_in,vessel_capability_max_vessel_diameter_in,vessel_capability_diameter_ok,vessel_capability_depth_ok,vessel_capability_status
PLV-001,Large PLV,8in,219.1,8.18,7,NO_GO,9.99,vessel_capability,26.2,2.7,8.0,0.1137,0.0699,0.004491796463340734,36.7,22.5,712.4,8.0,2.0,8.0,1,PASS,26.4,2.7,600,0.0045,PASS,712.4,0.00140376,31.8,4.8,36.7,combined,0.1137,PASS,1006.0,22.5,0.0699,PASS,8.6,60,1,0,FAIL
PLV-001,Large PLV,8in,219.1,8.18,10,GO,0.0905,sagbend,37.4,3.9,8.0,0.0905,0.0699,0.006417275226715026,29.2,22.5,1017.7,8.0,2.0,8.0,1,PASS,37.8,3.9,600,0.0064,PASS,1017.7,0.00098257,22.3,6.9,29.2,combined,0.0905,PASS,1006.0,22.5,0.0699,PASS,8.6,60,1,1,PASS
PLV-001,Large PLV,8in,219.1,8.18,15,GO,0.0781,sagbend,56.1,5.8,8.0,0.0781,0.0699,0.009624461335448725,25.2,22.5,1526.4,8.0,2.0,8.0,1,PASS,56.6,5.8,600,0.0096,PASS,1526.4,0.00065515,14.9,10.3,25.2,combined,0.0781,PASS,1006.0,22.5,0.0699,PASS,8.6,60,1,1,PASS
PLV-001,Large PLV,8in,219.1,8.18,20,GO,0.0773,sagbend,74.8,7.7,8.0,0.0773,0.0699,0.01283310631685001,24.9,22.5,2035.2,8.0,2.0,8.0,1,PASS,75.5,7.7,600,0.0128,PASS,2035.2,0.00049134,11.1,13.8,24.9,combined,0.0773,PASS,1006.0,22.5,0.0699,PASS,8.6,60,1,1,PASS
PLV-001,Large PLV,8in,219.1,8.18,25,GO,0.0811,sagbend,93.5,9.6,8.0,0.0811,0.0699,0.016040292425583712,26.2,22.5,2543.9,8.0,2.0,8.0,1,PASS,94.4,9.6,600,0.016,PASS,2543.9,0.0003931,8.9,17.2,26.2,combined,0.0811,PASS,1005.9,22.5,0.0699,PASS,8.6,60,1,1,PASS
PLV-001,Large PLV,8in,219.1,8.18,30,GO,0.0872,sagbend,112.2,11.5,8.0,0.0872,0.0699,0.019248937406984995,28.1,22.5,3052.8,8.0,2.0,8.0,1,PASS,113.3,11.5,600,0.0192,PASS,3052.8,0.00032757,7.4,20.7,28.1,combined,0.0872,PASS,1006.0,22.5,0.0699,PASS,8.6,60,1,1,PASS
PLV-001,Large PLV,12in,323.9,9.53,7,NO_GO,9.99,vessel_capability,581.8,59.9,8.0,0.3375,0.1033,0.0998477427052968,108.9,33.3,712.3,8.0,2.0,8.0,1,PASS,587.5,59.9,600,0.0998,PASS,712.3,0.00140392,47.1,61.8,108.9,combined,0.3375,PASS,1005.9,33.3,0.1033,PASS,12.8,60,1,0,FAIL
PLV-001,Large PLV,12in,323.9,9.53,10,GO,0.3759,sagbend,831.1,85.6,8.0,0.3759,0.1033,0.14263791359469358,121.2,33.3,1017.5,8.0,2.0,8.0,1,PASS,839.3,85.6,600,0.1426,PASS,1017.5,0.00098276,32.9,88.3,121.2,combined,0.3759,PASS,1005.9,33.3,0.1033,PASS,12.8,60,1,1,PASS
PLV-001,Large PLV,12in,323.9,9.53,15,GO,0.4787,sagbend,1246.7,128.4,8.0,0.4787,0.1033,0.21395786169871,154.4,33.3,1526.3,8.0,2.0,8.0,1,PASS,1258.9,128.4,600,0.214,PASS,1526.3,0.00065517,22.0,132.5,154.4,combined,0.4787,PASS,1005.9,33.3,0.1033,PASS,12.8,60,1,1,PASS
PLV-001,Large PLV,12in,323.9,9.53,20,GO,0.5986,sagbend,1662.2,171.2,8.0,0.5986,0.1033,0.28527631149188226,193.1,33.3,2035.1,8.0,2.0,8.0,1,PASS,1678.6,171.2,600,0.2853,PASS,2035.1,0.00049138,16.5,176.6,193.1,combined,0.5986,PASS,1005.9,33.3,0.1033,PASS,12.8,60,1,1,PASS
PLV-001,Large PLV,12in,323.9,9.53,25,GO,0.7252,sagbend,2077.8,214.0,8.0,0.7252,0.1033,0.35659476128505435,233.9,33.3,2543.9,8.0,2.0,8.0,1,PASS,2098.2,214.0,600,0.3566,PASS,2543.9,0.0003931,13.2,220.8,233.9,combined,0.7252,PASS,1005.9,33.3,0.1033,PASS,12.8,60,1,1,PASS
PLV-001,Large PLV,12in,323.9,9.53,30,MARGINAL,0.8553,sagbend,2493.3,256.7,8.0,0.8553,0.1033,0.4279132110782267,275.9,33.3,3052.6,8.0,2.0,8.0,1,PASS,2517.8,256.7,600,0.4279,PASS,3052.6,0.00032759,11.0,264.9,275.9,combined,0.8553,PASS,1005.9,33.3,0.1033,PASS,12.8,60,1,1,PASS
PLV-001,Large PLV,16in,406.4,9.53,7,NO_GO,9.99,vessel_capability,750.6,77.3,8.0,0.3789,0.1296,0.12881491967641326,122.2,41.8,712.3,8.0,2.0,8.0,1,PASS,757.9,77.3,600,0.1288,PASS,712.3,0.00140393,59.1,63.2,122.2,combined,0.3789,PASS,1005.9,41.8,0.1296,PASS,16.0,60,1,0,FAIL
PLV-001,Large PLV,16in,406.4,9.53,10,GO,0.4079,sagbend,1072.2,110.4,8.0,0.4079,0.1296,0.18402113008364918,131.6,41.8,1017.5,8.0,2.0,8.0,1,PASS,1082.8,110.4,600,0.184,PASS,1017.5,0.00098275,41.3,90.2,131.6,combined,0.4079,PASS,1005.9,41.8,0.1296,PASS,16.0,60,1,1,PASS
PLV-001,Large PLV,16in,406.4,9.53,15,GO,0.5051,sagbend,1608.4,165.6,8.0,0.5051,0.1296,0.2760314807623756,162.9,41.8,1526.3,8.0,2.0,8.0,1,PASS,1624.2,165.6,600,0.276,PASS,1526.3,0.00065517,27.6,135.4,162.9,combined,0.5051,PASS,1005.9,41.8,0.1296,PASS,16.0,60,1,1,PASS
