vessel_id,vessel,jumper_id,jumper_name,length_m,water_depth_m,hs_m,tp_s,overall_status,governing_phase,max_utilisation,lift_off_phase,lift_off_mass_total_kg,lift_off_hook_load_te,lift_off_crane_swl_te,lift_off_daf,lift_off_utilisation,lift_off_status,in_air_bending_phase,in_air_bending_weight_per_m_n,in_air_bending_lift_daf,in_air_bending_lift_span_m,in_air_bending_w_eff_n_per_m,in_air_bending_bending_moment_knm,in_air_bending_bending_stress_mpa,in_air_bending_allowable_stress_mpa,in_air_bending_utilisation,in_air_bending_status,splash_zone_phase,splash_zone_slamming_force_kn,splash_zone_drag_force_kn,splash_zone_hook_load_splash_te,splash_zone_crane_swl_te,splash_zone_daf,splash_zone_v_wave_ms,splash_zone_v_rel_ms,splash_zone_utilisation,splash_zone_status,lowering_phase,lowering_static_tension_kn,lowering_dynamic_load_kn,lowering_max_tension_te,lowering_wire_mbl_te,lowering_allowable_te,lowering_utilisation,lowering_status,tie_in_phase,tie_in_tiein_span_m,tie_in_current_load_n_per_m,tie_in_self_weight_load_n_per_m,tie_in_resultant_load_n_per_m,tie_in_deflection_mm,tie_in_tolerance_mm,tie_in_utilisation,tie_in_status
CSV-001,Large CSV,JMP-20,Jumper-20m,20.0,500,1.0,4.0,GO,in_air_bending,0.0488,lift_off,6848.6,7.53,5000,1.1,0.0015,PASS,in_air_bending,906.49,1.1,7.5,997.14,7.01,13.11,268.8,0.0488,PASS,splash_zone,5.83,0.34,9.72,5000,1.3,0.785,1.285,0.0019,PASS,lowering,35.13,7.52,4.35,6500,5525.0,0.0008,PASS,tie_in,4.2,33.6866,0.0,33.69,0.0113,50.0,0.0002,PASS
CSV-001,Large CSV,JMP-20,Jumper-20m,20.0,500,1.5,4.9,GO,in_air_bending,0.0488,lift_off,6848.6,7.53,5000,1.1,0.0015,PASS,in_air_bending,906.49,1.1,7.5,997.14,7.01,13.11,268.8,0.0488,PASS,splash_zone,7.54,0.34,9.95,5000,1.3,0.962,1.462,0.002,PASS,lowering,35.13,7.52,4.35,6500,5525.0,0.0008,PASS,tie_in,4.2,33.6866,0.0,33.69,0.0113,50.0,0.0002,PASS
CSV-001,Large CSV,JMP-20,Jumper-20m,20.0,500,2.0,5.66,GO,in_air_bending,0.0488,lift_off,6848.6,7.53,5000,1.1,0.0015,PASS,in_air_bending,906.49,1.1,7.5,997.14,7.01,13.11,268.8,0.0488,PASS,splash_zone,9.15,0.34,10.16,5000,1.3,1.111,1.611,0.002,PASS,lowering,35.13,7.52,4.35,6500,5525.0,0.0008,PASS,tie_in,4.2,33.6866,0.0,33.69,0.0113,50.0,0.0002,PASS
CSV-001,Large CSV,JMP-20,Jumper-20m,20.0,500,2.5,6.32,GO,in_air_bending,0.0488,lift_off,6848.6,7.53,5000,1.1,0.0015,PASS,in_air_bending,906.49,1.1,7.5,997.14,7.01,13.11,268.8,0.0488,PASS,splash_zone,10.7,0.34,10.37,5000,1.3,1.242,1.742,0.0021,PASS,lowering,35.13,7.52,4.35,6500,5525.0,0.0008,PASS,tie_in,4.2,33.6866,0.0,33.69,0.0113,50.0,0.0002,PASS
CSV-001,Large CSV,JMP-20,Jumper-20m,20.0,500,3.0,6.93,GO,in_air_bending,0.0488,lift_off,6848.6,7.53,5000,1.1,0.0015,PASS,in_air_bending,906.49,1.1,7.5,997.14,7.01,13.11,268.8,0.0488,PASS,splash_zone,12.21,0.34,10.57,5000,1.3,1.36,1.86,0.0021,PASS,lowering,35.13,7.52,4.35,6500,5525.0,0.0008,PASS,tie_in,4.2,33.6866,0.0,33.69,0.0113,50.0,0.0002,PASS
CSV-001,Large CSV,JMP-20,Jumper-20m,20.0,1000,1.0,4.0,GO,in_air_bending,0.0488,lift_off,6848.6,7.53,5000,1.1,0.0015,PASS,in_air_bending,906.49,1.1,7.5,997.14,7.01,13.11,268.8,0.0488,PASS,splash_zone,5.83,0.34,9.72,5000,1.3,0.785,1.285,0.0019,PASS,lowering,60.13,7.52,6.9,6500,5525.0,0.0012,PASS,tie_in,4.2,33.6866,0.0,33.69,0.0113,50.0,0.0002,PASS
CSV-001,Large CSV,JMP-20,Jumper-20m,20.0,1000,1.5,4.9,GO,in_air_bending,0.0488,lift_off,6848.6,7.53,5000,1.1,0.0015,PASS,in_air_bending,906.49,1.1,7.5,997.14,7.01,13.11,268.8,0.0488,PASS,splash_zone,7.54,0.34,9.95,5000,1.3,0.962,1.462,0.002,PASS,lowering,60.13,7.52,6.9,6500,5525.0,0.0012,PASS,tie_in,4.2,33.6866,0.0,33.69,0.0113,50.0,0.0002,PASS
CSV-001,Large CSV,JMP-20,Jumper-20m,20.0,1000,2.0,5.66,GO,in_air_bending,0.0488,lift_off,6848.6,7.53,5000,1.1,0.0015,PASS,in_air_bending,906.49,1.1,7.5,997.14,7.01,13.11,268.8,0.0488,PASS,splash_zone,9.15,0.34,10.16,5000,1.3,1.111,1.611,0.002,PASS,lowering,60.13,7.52,6.9,6500,5525.0,0.0012,PASS,tie_in,4.2,33.6866,0.0,33.69,0.0113,50.0,0.0002,PASS
CSV-001,Large CSV,JMP-20,Jumper-20m,20.0,1000,2.5,6.32,GO,in_air_bending,0.0488,lift_off,6848.6,7.53,5000,1.1,0.0015,PASS,in_air_bending,906.49,1.1,7.5,997.14,7.01,13.11,268.8,0.0488,PASS,splash_zone,10.7,0.34,10.37,5000,1.3,1.242,1.742,0.0021,PASS,lowering,60.13,7.52,6.9,6500,5525.0,0.0012,PASS,tie_in,4.2,33.6866,0.0,33.69,0.0113,50.0,0.0002,PASS
CSV-001,Large CSV,JMP-20,Jumper-20m,20.0,1000,3.0,6.93,GO,in_air_bending,0.0488,lift_off,6848.6,7.53,5000,1.1,0.0015,PASS,in_air_bending,906.49,1.1,7.5,997.14,7.01,13.11,268.8,0.0488,PASS,splash_zone,12.21,0.34,10.57,5000,1.3,1.36,1.86,0.0021,PASS,lowering,60.13,7.52,6.9,6500,5525.0,0.0012,PASS,tie_in,4.2,33.6866,0.0,33.69,0.0113,50.0,0.0002,PASS
CSV-001,Large CSV,JMP-20,Jumper-20m,20.0,1500,1.0,4.0,GO,in_air_bending,0.0488,lift_off,6848.6,7.53,5000,1.1,0.0015,PASS,in_air_bending,906.49,1.1,7.5,997.14,7.01,13.11,268.8,0.0488,PASS,splash_zone,5.83,0.34,9.72,5000,1.3,0.785,1.285,0.0019,PASS,lowering,85.13,7.52,9.45,6500,5525.0,0.0017,PASS,tie_in,4.2,33.6866,0.0,33.69,0.0113,50.0,0.0002,PASS
