grade,fy,thickness_mm,width_mm,length_mm,aspect,slenderness_beta,sigma_x,sigma_y,tau,utilization,critical_stress_mpa,safety_factor,governing,status
Grade A,235.0,8.0,600.0,2400.0,4.0,2.5332,100.0,0.0,0.0,0.8797,130.72,1.1367,plate_buckling,PASS
Grade A,235.0,8.0,600.0,2400.0,4.0,2.5332,150.0,0.0,0.0,1.3196,130.72,0.7578,plate_buckling,FAIL
Grade A,235.0,8.0,600.0,2400.0,4.0,2.5332,200.0,0.0,0.0,1.7595,130.72,0.5684,plate_buckling,FAIL
Grade A,235.0,8.0,600.0,2400.0,4.0,2.5332,120.0,0.0,40.0,1.1379,130.72,0.8788,plate_buckling,FAIL
Grade A,235.0,8.0,600.0,2400.0,4.0,2.5332,120.0,60.0,0.0,1.0557,130.72,0.9473,plate_buckling,FAIL
Grade A,235.0,8.0,600.0,2400.0,4.0,2.5332,100.0,50.0,50.0,1.0083,130.72,0.9918,plate_buckling,FAIL
Grade A,235.0,8.0,800.0,2400.0,3.0,3.3775,100.0,0.0,0.0,1.5442,74.47,0.6476,plate_buckling,FAIL
Grade A,235.0,8.0,800.0,2400.0,3.0,3.3775,150.0,0.0,0.0,2.3162,74.47,0.4317,plate_buckling,FAIL
Grade A,235.0,8.0,800.0,2400.0,3.0,3.3775,200.0,0.0,0.0,3.0883,74.47,0.3238,plate_buckling,FAIL
Grade A,235.0,8.0,800.0,2400.0,3.0,3.3775,120.0,0.0,40.0,2.0354,74.47,0.4913,plate_buckling,FAIL
Grade A,235.0,8.0,800.0,2400.0,3.0,3.3775,120.0,60.0,0.0,1.853,74.47,0.5397,plate_buckling,FAIL
Grade A,235.0,8.0,800.0,2400.0,3.0,3.3775,100.0,50.0,50.0,1.8292,74.47,0.5467,plate_buckling,FAIL
Grade A,235.0,8.0,1000.0,2400.0,2.4,4.2219,100.0,0.0,0.0,2.4128,47.66,0.4145,plate_buckling,FAIL
Grade A,235.0,8.0,1000.0,2400.0,2.4,4.2219,150.0,0.0,0.0,3.6191,47.66,0.2763,plate_buckling,FAIL
Grade A,235.0,8.0,1000.0,2400.0,2.4,4.2219,200.0,0.0,0.0,4.8255,47.66,0.2072,plate_buckling,FAIL
Grade A,235.0,8.0,1000.0,2400.0,2.4,4.2219,120.0,0.0,40.0,3.3046,47.66,0.3026,plate_buckling,FAIL
Grade A,235.0,8.0,1000.0,2400.0,2.4,4.2219,120.0,60.0,0.0,2.8953,47.66,0.3454,plate_buckling,FAIL
Grade A,235.0,8.0,1000.0,2400.0,2.4,4.2219,100.0,50.0,50.0,3.0522,47.66,0.3276,plate_buckling,FAIL
Grade A,235.0,9.0,600.0,2400.0,4.0,2.2517,100.0,0.0,0.0,0.7536,152.61,1.327,plate_buckling,PASS
Grade A,235.0,9.0,600.0,2400.0,4.0,2.2517,150.0,0.0,0.0,1.1304,152.61,0.8847,plate_buckling,FAIL
Grade A,235.0,9.0,600.0,2400.0,4.0,2.2517,200.0,0.0,0.0,1.5071,152.61,0.6635,plate_buckling,FAIL
Grade A,235.0,9.0,600.0,2400.0,4.0,2.2517,120.0,0.0,40.0,0.9726,152.61,1.0282,plate_buckling,PASS
Grade A,235.0,9.0,600.0,2400.0,4.0,2.2517,120.0,60.0,0.0,0.9043,152.61,1.1058,plate_buckling,PASS
Grade A,235.0,9.0,600.0,2400.0,4.0,2.2517,100.0,50.0,50.0,0.8603,152.61,1.1624,plate_buckling,PASS
Grade A,235.0,9.0,800.0,2400.0,3.0,3.0023,100.0,0.0,0.0,1.2201,94.26,0.8196,plate_buckling,FAIL
Grade A,235.0,9.0,800.0,2400.0,3.0,3.0023,150.0,0.0,0.0,1.8301,94.26,0.5464,plate_buckling,FAIL
Grade A,235.0,9.0,800.0,2400.0,3.0,3.0023,200.0,0.0,0.0,2.4402,94.26,0.4098,plate_buckling,FAIL
Grade A,235.0,9.0,800.0,2400.0,3.0,3.0023,120.0,0.0,40.0,1.5825,94.26,0.6319,plate_buckling,FAIL
Grade A,235.0,9.0,800.0,2400.0,3.0,3.0023,120.0,60.0,0.0,1.4641,94.26,0.683,plate_buckling,FAIL
Grade A,235.0,9.0,800.0,2400.0,3.0,3.0023,100.0,50.0,50.0,1.405,94.26,0.7117,plate_buckling,FAIL
Grade A,235.0,9.0,1000.0,2400.0,2.4,3.7528,100.0,0.0,0.0,1.9064,60.32,0.5246,plate_buckling,FAIL
Grade A,235.0,9.0,1000.0,2400.0,2.4,3.7528,150.0,0.0,0.0,2.8596,60.32,0.3497,plate_buckling,FAIL
Grade A,235.0,9.0,1000.0,2400.0,2.4,3.7528,200.0,0.0,0.0,3.8128,60.32,0.2623,plate_buckling,FAIL
Grade A,235.0,9.0,1000.0,2400.0,2.4,3.7528,120.0,0.0,40.0,2.5431,60.32,0.3932,plate_buckling,FAIL
Grade A,235.0,9.0,1000.0,2400.0,2.4,3.7528,120.0,60.0,0.0,2.2877,60.32,0.4371,plate_buckling,FAIL
Grade A,235.0,9.0,1000.0,2400.0,2.4,3.7528,100.0,50.0,50.0,2.3056,60.32,0.4337,plate_buckling,FAIL
Grade A,235.0,10.0,600.0,2400.0,4.0,2.0265,100.0,0.0,0.0,0.6835,168.26,1.4631,plate_buckling,PASS
Grade A,235.0,10.0,600.0,2400.0,4.0,2.0265,150.0,0.0,0.0,1.0252,168.26,0.9754,plate_buckling,FAIL
Grade A,235.0,10.0,600.0,2400.0,4.0,2.0265,200.0,0.0,0.0,1.3669,168.26,0.7316,plate_buckling,FAIL
Grade A,235.0,10.0,600.0,2400.0,4.0,2.0265,120.0,0.0,40.0,0.8805,168.26,1.1357,plate_buckling,PASS
Grade A,235.0,10.0,600.0,2400.0,4.0,2.0265,120.0,60.0,0.0,0.8202,168.26,1.2193,plate_buckling,PASS
Grade A,235.0,10.0,600.0,2400.0,4.0,2.0265,100.0,50.0,50.0,0.7778,168.26,1.2857,plate_buckling,PASS
Grade A,235.0,10.0,800.0,2400.0,3.0,2.702,100.0,0.0,0.0,0.9883,116.37,1.0119,plate_buckling,PASS
Grade A,235.0,10.0,800.0,2400.0,3.0,2.702,150.0,0.0,0.0,1.4824,116.37,0.6746,plate_buckling,FAIL
Grade A,235.0,10.0,800.0,2400.0,3.0,2.702,200.0,0.0,0.0,1.9765,116.37,0.5059,plate_buckling,FAIL
