node,phi_deg,contour,K1_MPa_sqrt_m,K2_MPa_sqrt_m,K3_MPa_sqrt_m,J_N_per_mm
1,0.0,1,5.082972078152092,0.0,0.0,0.1563044042
1,0.0,2,5.6258221958449806,0.0,0.0,0.1560178759
1,0.0,3,5.628953862657399,0.0,0.0,0.1561845209
1,0.0,4,5.629939155643921,0.0,0.0,0.156235348
1,0.0,5,5.630521438478598,0.0,0.0,0.1562328258
1,0.0,6,5.630880932527561,0.0,0.0,0.1562116441
2,4.771887959,1,5.133600728512754,0.0,0.0,0.1537983539
2,4.771887959,2,5.543268344458603,0.0,0.0,0.1534596033
2,4.771887959,3,5.5453674959922,0.0,0.0,0.1535181414
2,4.771887959,4,5.545846198422119,0.0,0.0,0.1535146364
2,4.771887959,5,5.546097906237035,0.0,0.0,0.1535228005
2,4.771887959,6,5.54626647144771,0.0,0.0,0.1535356365
3,9.527283435,1,4.968621464809446,0.0,0.0,0.1438180211
3,9.527283435,2,5.362396687549911,0.0,0.0,0.1435241703
3,9.527283435,3,5.3642694895731475,0.0,0.0,0.1436124265
3,9.527283435,4,5.364569339903162,0.0,0.0,0.1436252356
3,9.527283435,5,5.364649481505904,0.0,0.0,0.1436282024
3,9.527283435,6,5.364670115367637,0.0,0.0,0.1436282203
4,14.25003272,1,4.832374510461654,0.0,0.0,0.1356962657
4,14.25003272,2,5.208968085719239,0.0,0.0,0.135420962
4,14.25003272,3,5.210715405402643,0.0,0.0,0.1355036203
4,14.25003272,4,5.21096222117402,0.0,0.0,0.1355156376
4,14.25003272,5,5.211021166029605,0.0,0.0,0.1355185828
4,14.25003272,6,5.211039817143244,0.0,0.0,0.1355194602
5,18.92464439,1,4.727191438086445,0.0,0.0,0.1293957874
5,18.92464439,2,5.086560943906338,0.0,0.0,0.1291355051
5,18.92464439,3,5.088250254768345,0.0,0.0,0.1292136926
5,18.92464439,4,5.0884889371615785,0.0,0.0,0.1292250664
5,18.92464439,5,5.088548419604366,0.0,0.0,0.1292278491
5,18.92464439,6,5.0885684336596775,0.0,0.0,0.1292286939
6,23.536577886,1,4.647737112122347,0.0,0.0,0.1245054456
6,23.536577886,2,4.989444456044344,0.0,0.0,0.1242569543
6,23.536577886,3,4.991094915163016,0.0,0.0,0.1243316543
6,23.536577886,4,4.991328341850779,0.0,0.0,0.1243425238
6,23.536577886,5,4.99138729303092,0.0,0.0,0.1243452095
6,23.536577886,6,4.991407740318271,0.0,0.0,0.1243460576
7,28.072486893,1,4.589992568592835,0.0,0.0,0.1207271978
7,28.072486893,2,4.913093554590882,0.0,0.0,0.12048806
7,28.072486893,3,4.914713289019808,0.0,0.0,0.1205600153
7,28.072486893,4,4.914943037978652,0.0,0.0,0.1205704915
7,28.072486893,5,4.915001815233523,0.0,0.0,0.1205730988
7,28.072486893,6,4.915022721051134,0.0,0.0,0.1205739383
