node,phi_deg,contour,K1_MPa_sqrt_m,K2_MPa_sqrt_m,K3_MPa_sqrt_m,J_N_per_mm
1,0.0,1,1.1593373697630307,0.36525092579583895,-5.001209748026332e-11,0.01028676564
1,0.0,2,1.3377064273270545,0.4203978245633287,4.133126484947582e-11,0.01026653743
1,0.0,3,1.3402522711349543,0.43039825634018797,2.4730401234228088e-11,0.01027266859
1,0.0,4,1.3403148181410225,0.43116970757317996,3.160795675819241e-11,0.01027356077
1,0.0,5,1.3403428084092759,0.43196197797737546,3.420626201250157e-11,0.01027378689
1,0.0,6,1.3403473162360806,0.4320250157689366,2.0171275094990732e-11,0.01027386227
2,2.812499997,1,1.1566660461451197,0.3653642536052575,0.0016016024774783131,0.01024492303
2,2.812499997,2,1.3345983289700376,0.4205487082146949,0.001903509675263458,0.01022477934
2,2.812499997,3,1.33713586326093,0.4305494046741943,0.0018534332287848247,0.01023088428
2,2.812499997,4,1.3371983384832953,0.4313208657102471,0.0018564827857928854,0.01023177237
2,2.812499997,5,1.3372263648015141,0.4321131478148699,0.0018514840191763073,0.01023199717
2,2.812499997,6,1.3372308602954357,0.4321755762355259,0.0018566730549800534,0.01023207177
3,5.625000004,1,1.148673853265177,0.3657049463323922,0.0031713898834127056,0.01012032735
3,5.625000004,2,1.3252992227054619,0.421003031697448,0.003769475561916754,0.01010043642
3,5.625000004,3,1.327812084273594,0.4310047264880047,0.003669648553056567,0.01010646321
3,5.625000004,4,1.327874347623356,0.4317762292661226,0.0036755159663560723,0.01010733915
3,5.625000004,5,1.3279024824076986,0.4325685572237715,0.003665373333909846,0.01010756002
3,5.625000004,6,1.3279069399542882,0.43262916227512865,0.003675518654292083,0.0101076323
4,8.437500012,1,1.135427271370224,0.36627554739716517,0.004678540204218573,0.00991575688
4,8.437500012,2,1.3098848163065613,0.42176579678616305,0.0055614991629367415,0.009896280353
4,8.437500012,3,1.3123573989954527,0.4317697522890191,0.005412570567597987,0.009902178853
4,8.437500012,4,1.3124193097512555,0.43254136195212184,0.005420803984393719,0.009903034884
4,8.437500012,5,1.3124476254178803,0.4333338012219444,0.00540523702434462,0.009903249282
4,8.437500012,6,1.3124520200351446,0.4333914172884571,0.005419881655517688,0.009903317693
5,11.250000017,1,1.1170365219643343,0.3670807746016177,0.00609433538450695,0.00963575854
5,11.250000017,2,1.2884810323022193,0.4228454176692383,0.007245672433703995,0.009616848898
5,11.250000017,3,1.2908988873490126,0.43285366722892904,0.007048635052120362,0.009622571978
5,11.250000017,4,1.2909603117465114,0.433625492875596,0.007058580197164432,0.009623400729
5,11.250000017,5,1.2909888794466655,0.43441815729958794,0.007037184862133543,0.009623606243
5,11.250000017,6,1.2909931867850666,0.4344716965577412,0.007055664276745379,0.009623669315
6,14.062500015,1,1.0936555987989527,0.36812650029536464,0.007392939486140879,0.009286531271
6,14.062500015,2,1.2612638482819465,0.42425368078796866,0.008791505932632017,0.009268327395
6,14.062500015,3,1.263614022681118,0.43426915362229074,0.00854769754739397,0.009273831898
