node,phi_deg,contour,K1_MPa_sqrt_m,K2_MPa_sqrt_m,K3_MPa_sqrt_m,J_N_per_mm
1,0.0,1,5.070472992288171,0.0,0.0,0.154142071
1,0.0,2,5.632849529427958,0.0,0.0,0.1538780486
1,0.0,3,5.6356791038555,0.0,0.0,0.1540352859
1,0.0,4,5.636439182589342,0.0,0.0,0.1540802377
1,0.0,5,5.636848485673732,0.0,0.0,0.1540744805
1,0.0,6,5.637107526810541,0.0,0.0,0.15405
2,2.386978936,1,5.5742129548046755,0.0,0.0,0.1585261673
2,2.386978936,2,5.628250151522848,0.0,0.0,0.1582037329
2,2.386978936,3,5.630234642030764,0.0,0.0,0.158267717
2,2.386978936,4,5.630604596894228,0.0,0.0,0.1582672139
2,2.386978936,5,5.6307633147722695,0.0,0.0,0.1582769644
2,2.386978936,6,5.630859068539819,0.0,0.0,0.1582916868
3,4.771887959,1,5.493369775465899,0.0,0.0,0.1540188501
3,4.771887959,2,5.549251943001621,0.0,0.0,0.1537253046
3,4.771887959,3,5.5511217187251365,0.0,0.0,0.153818902
3,4.771887959,4,5.551404767873943,0.0,0.0,0.1538326601
3,4.771887959,5,5.551480257766247,0.0,0.0,0.1538361542
3,4.771887959,6,5.551502940783903,0.0,0.0,0.15383688
4,7.152668663,1,5.3965009287297505,0.0,0.0,0.1486405978
4,7.152668663,2,5.451648040634754,0.0,0.0,0.148358117
4,7.152668663,3,5.453449941230573,0.0,0.0,0.1484481212
4,7.152668663,4,5.453706348190092,0.0,0.0,0.1484613597
4,7.152668663,5,5.4537710452287405,0.0,0.0,0.1484647485
4,7.152668663,6,5.45379256136594,0.0,0.0,0.1484658981
5,9.527283435,1,5.306828701786559,0.0,0.0,0.1437432135
5,9.527283435,2,5.361115304181512,0.0,0.0,0.1434712794
5,9.527283435,3,5.362875155971282,0.0,0.0,0.1435579157
5,9.527283435,4,5.363125513493638,0.0,0.0,0.143570657
5,9.527283435,5,5.3631897488397495,0.0,0.0,0.1435738999
5,9.527283435,6,5.363211739318597,0.0,0.0,0.1435749985
6,11.893726175,1,5.226444808492867,0.0,0.0,0.1394211787
6,11.893726175,2,5.279902963710964,0.0,0.0,0.1391585166
6,11.893726175,3,5.28162964320808,0.0,0.0,0.1392421998
6,11.893726175,4,5.281875380642774,0.0,0.0,0.1392545037
6,11.893726175,5,5.281938781147582,0.0,0.0,0.1392576485
6,11.893726175,6,5.281960809573763,0.0,0.0,0.1392587321
7,14.25003272,1,5.154761198019545,0.0,0.0,0.1356228964
7,14.25003272,2,5.207480803290109,0.0,0.0,0.135368442
7,14.25003272,3,5.209177842758716,0.0,0.0,0.1354495117
7,14.25003272,4,5.209419687429611,0.0,0.0,0.1354614307
7,14.25003272,5,5.209482411207,0.0,0.0,0.1354644875
7,14.25003272,6,5.209504445957736,0.0,0.0,0.13546555
8,16.594289885,1,5.090898295484526,0.0,0.0,0.1322820516
8,16.594289885,2,5.142935965064508,0.0,0.0,0.1320348641
8,16.594289885,3,5.144606384479772,0.0,0.0,0.1321136227
8,16.594289885,4,5.144844674750576,0.0,0.0,0.1321252027
8,16.594289885,5,5.144906750261046,0.0,0.0,0.1321281821
8,16.594289885,6,5.144928772362671,0.0,0.0,0.1321292272
9,18.92464439,1,5.034021246936417,0.0,0.0,0.1293397005
9,18.92464439,2,5.085412882164092,0.0,0.0,0.1290989679
9,18.92464439,3,5.0870591449403095,0.0,0.0,0.1291756796
9,18.92464439,4,5.087294247635232,0.0,0.0,0.1291869583
9,18.92464439,5,5.08735574444889,0.0,0.0,0.1291898699
9,18.92464439,6,5.087377776037348,0.0,0.0,0.1291908993
10,21.239310432,1,4.98342280897652,0.0,0.0,0.1267468623
10,21.239310432,2,5.034180157713395,0.0,0.0,0.1265118572
10,21.239310432,3,5.035804556501871,0.0,0.0,0.1265867533
10,21.239310432,4,5.0360367910109565,0.0,0.0,0.1265977662
10,21.239310432,5,5.036097794509298,0.0,0.0,0.1266006179
10,21.239310432,6,5.036119835584589,0.0,0.0,0.1266016337
11,23.536577886,1,4.938506955511445,0.0,0.0,0.1244632462
11,23.536577886,2,4.988624237113959,0.0,0.0,0.1242333112
11,23.536577886,3,4.990228840044282,0.0,0.0,0.1243065969
11,23.536577886,4,4.990458487810241,0.0,0.0,0.1243173741
11,23.536577886,5,4.990519054914267,0.0,0.0,0.1243201733
11,23.536577886,6,4.990541127612335,0.0,0.0,0.1243211772
12,25.814817385,1,4.898768768829473,0.0,0.0,0.1224553814
12,25.814817385,2,4.948227322697154,0.0,0.0,0.1222299749
12,25.814817385,3,4.949813967052644,0.0,0.0,0.1223018336
12,25.814817385,4,4.950041296869078,0.0,0.0,0.1223124022
12,25.814817385,5,4.950101487662062,0.0,0.0,0.1223151554
12,25.814817385,6,4.950123595145184,0.0,0.0,0.1223161491
13,28.072486893,1,4.863776778279817,0.0,0.0,0.1206953561
13,28.072486893,2,4.912547286936476,0.0,0.0,0.1204739433
