import time: self [us] | cumulative | imported package
import time:       171 |        171 |   _io
import time:        40 |         40 |   marshal
import time:       341 |        341 |   posix
import time:       535 |       1085 | _frozen_importlib_external
import time:       129 |        129 |   time
import time:       223 |        351 | zipimport
import time:       139 |        139 |     _codecs
import time:       358 |        497 |   codecs
import time:       467 |        467 |   encodings.aliases
import time:      1253 |       2216 | encodings
import time:       284 |        284 | encodings.utf_8
import time:       163 |        163 | _signal
import time:        48 |         48 |     _abc
import time:       173 |        221 |   abc
import time:       222 |        443 | io
import time:        62 |         62 |       _stat
import time:       127 |        189 |     stat
import time:       797 |        797 |     _collections_abc
import time:        65 |         65 |       genericpath
import time:       189 |        254 |     posixpath
import time:       490 |       1727 |   os
import time:        97 |         97 |   _sitebuiltins
import time:      1704 |       1704 |   _virtualenv
import time:       505 |        505 |   types
import time:       363 |        363 |       warnings
import time:       298 |        661 |     importlib
import time:       273 |        273 |     importlib._abc
import time:       135 |        135 |         itertools
import time:       208 |        208 |         keyword
import time:        75 |         75 |           _operator
import time:       431 |        506 |         operator
import time:       281 |        281 |         reprlib
import time:       131 |        131 |         _collections
import time:      1259 |       2517 |       collections
import time:        68 |         68 |         _functools
import time:       714 |        782 |       functools
import time:       922 |       4219 |     contextlib
import time:       278 |        278 |       _weakrefset
import time:       783 |       1060 |     threading
import time:       388 |       6600 |   importlib.util
import time:        65 |         65 |   importlib.machinery
import time:       782 |        782 |   sitecustomize
import time:     10364 |      21842 | site
import time:      1115 |       1115 | __future__
import time:      1832 |       1832 |     enum
import time:        79 |         79 |       _sre
import time:       369 |        369 |         re._constants
import time:       487 |        855 |       re._parser
import time:       173 |        173 |       re._casefix
import time:       524 |       1629 |     re._compiler
import time:       355 |        355 |     copyreg
import time:       968 |       4782 |   re
import time:      1045 |       1045 |   gettext
import time:      1334 |       7160 | argparse
import time:        64 |         64 |       _json
import time:       439 |        503 |     json.scanner
import time:       642 |       1144 |   json.decoder
import time:       471 |        471 |   json.encoder
import time:       605 |       2219 | json
import time:       176 |        176 |     collections.abc
import time:       370 |        370 |         token
import time:      1295 |       1665 |       tokenize
import time:       390 |       2054 |     linecache
import time:      1105 |       1105 |     textwrap
import time:       946 |       4280 |   traceback
import time:       706 |        706 |   weakref
import time:        44 |         44 |     _string
import time:      1003 |       1047 |   string
import time:        48 |         48 |   atexit
import time:      2567 |       8646 | logging
import time:        72 |         72 | math
import time:       120 |        120 |   _datetime
import time:      1218 |       1337 | datetime
import time:       377 |        377 |   fnmatch
import time:       458 |        458 |     _winapi
import time:       472 |        472 |     nt
import time:       380 |        380 |     nt
import time:       436 |        436 |     nt
import time:       398 |        398 |     nt
import time:       434 |        434 |     nt
import time:       530 |       3104 |   ntpath
import time:        57 |         57 |   errno
import time:       293 |        293 |     urllib
import time:      1486 |       1486 |     ipaddress
import time:      1124 |       2902 |   urllib.parse
import time:      1351 |       7790 | pathlib
import time:        48 |         48 |   _typing
import time:      3295 |       3343 | typing
import time:      1404 |       1404 |       numpy._utils._convertions
import time:      1630 |       3034 |     numpy._utils
import time:      1870 |       4903 |   numpy._globals
import time:      1089 |       1089 |   numpy.exceptions
import time:       984 |        984 |   numpy.version
import time:       161 |        161 |     numpy._distributor_init_local
import time:       983 |       1143 |   numpy._distributor_init
import time:      1010 |       1010 |             numpy._utils._inspect
import time:      3297 |       3297 |               numpy.core._exceptions
import time:      1550 |       1550 |               numpy.dtypes
import time:     14147 |      18993 |             numpy.core._multiarray_umath
import time:      1734 |      21736 |           numpy.core.overrides
import time:      2239 |      23975 |         numpy.core.multiarray
import time:      1637 |       1637 |         numpy.core.umath
import time:      1075 |       1075 |           numbers
import time:      1510 |       1510 |           numpy.core._string_helpers
import time:       736 |        736 |                 pickle5
import time:       176 |        176 |                     _struct
import time:       661 |        836 |                   struct
import time:       768 |        768 |                   _compat_pickle
import time:       198 |        198 |                   _pickle
import time:       675 |        675 |                       org
import time:       122 |        796 |                     org.python
import time:       111 |        907 |                   org.python.core
import time:      2694 |       5401 |                 pickle
import time:      2764 |       8901 |               numpy.compat.py3k
import time:      2460 |      11360 |             numpy.compat
import time:      1562 |       1562 |             numpy.core._dtype
import time:      2169 |      15090 |           numpy.core._type_aliases
import time:      2333 |      20007 |         numpy.core.numerictypes
import time:        63 |         63 |                     _contextvars
import time:       731 |        793 |                   contextvars
import time:      2112 |       2905 |                 numpy.core._ufunc_config
import time:      2169 |       5073 |               numpy.core._methods
import time:      3546 |       8618 |             numpy.core.fromnumeric
import time:      2230 |      10848 |           numpy.core.shape_base
import time:      2685 |       2685 |           numpy.core.arrayprint
import time:      1723 |       1723 |           numpy.core._asarray
import time:      3310 |      18564 |         numpy.core.numeric
import time:      4516 |       4516 |         numpy.core.defchararray
import time:      2045 |       2045 |         numpy.core.records
import time:      2001 |       2001 |         numpy.core.memmap
import time:      1660 |       1660 |         numpy.core.function_base
import time:      1716 |       1716 |         numpy.core._machar
import time:      2015 |       2015 |         numpy.core.getlimits
import time:      2019 |       2019 |         numpy.core.einsumfunc
import time:      1548 |       1548 |           numpy.core._multiarray_tests
import time:      4498 |       6046 |         numpy.core._add_newdocs
import time:      2536 |       2536 |         numpy.core._add_newdocs_scalars
import time:      1746 |       1746 |         numpy.core._dtype_ctypes
import time:      2080 |       2080 |             _ast
import time:      2657 |       4737 |           ast
import time:       394 |        394 |             _ctypes
import time:       571 |        571 |             ctypes._endian
import time:      2358 |       3322 |           ctypes
import time:      3029 |      11087 |         numpy.core._internal
import time:      1635 |       1635 |         numpy._pytesttester
import time:      4262 |     107459 |       numpy.core
import time:       118 |     107576 |     numpy.core._multiarray_umath
import time:      1437 |     109012 |   numpy.__config__
import time:      2656 |       2656 |     numpy.lib.mixins
import time:      1502 |       1502 |         numpy.lib.ufunclike
import time:      1908 |       3409 |       numpy.lib.type_check
import time:      1822 |       5230 |     numpy.lib.scimath
import time:       899 |        899 |                 numpy.lib.stride_tricks
import time:      1079 |       1978 |               numpy.lib.twodim_base
import time:       802 |        802 |               numpy.linalg._umath_linalg
import time:      1207 |       1207 |                 numpy._typing._nested_sequence
import time:       674 |        674 |                 numpy._typing._nbit
import time:      1379 |       1379 |                 numpy._typing._char_codes
import time:       935 |        935 |                 numpy._typing._scalars
import time:       723 |        723 |                 numpy._typing._shape
import time:      1924 |       1924 |                 numpy._typing._dtype_like
import time:      2871 |       2871 |                 numpy._typing._array_like
import time:      1724 |      11433 |               numpy._typing
import time:      2623 |      16834 |             numpy.linalg.linalg
import time:      1589 |      18423 |           numpy.linalg
import time:      2591 |      21014 |         numpy.matrixlib.defmatrix
import time:      2278 |      23292 |       numpy.matrixlib
import time:       912 |        912 |         numpy.lib.histograms
import time:      1727 |       2638 |       numpy.lib.function_base
import time:      2207 |      28136 |     numpy.lib.index_tricks
import time:      1051 |       1051 |     numpy.lib.nanfunctions
import time:       962 |        962 |     numpy.lib.shape_base
import time:      1090 |       1090 |     numpy.lib.polynomial
import time:      2538 |       2538 |       platform
import time:      1349 |       3887 |     numpy.lib.utils
import time:       920 |        920 |     numpy.lib.arraysetops
import time:      1823 |       1823 |       numpy.lib.format
import time:      1016 |       1016 |       numpy.lib._datasource
import time:      1138 |       1138 |       numpy.lib._iotools
import time:      1366 |       5342 |     numpy.lib.npyio
import time:       862 |        862 |     numpy.lib.arrayterator
import time:       985 |        985 |     numpy.lib.arraypad
import time:       976 |        976 |     numpy.lib._version
import time:      3400 |      55491 |   numpy.lib
