case_id,lis_file,vessel,lng_load_percent,dof,status,peak_frequency_rad_s,peak_period_s,peak_rao_rms,nearest_percent_frequency_rad_s,critical_percent,critical_ratio
fst_pair_l015,FST2L015_FST1L015_MWL.LIS,FST1,15,heave,ok,0.18,35.0,0.9231127892083394,0.18,20.1,0.201
fst_pair_l015,FST2L015_FST1L015_MWL.LIS,FST1,15,roll,ok,0.18,35.0,0.5936301225510713,0.18,0.2,0.002
fst_pair_l015,FST2L015_FST1L015_MWL.LIS,FST1,15,pitch,ok,0.18,35.0,0.41042370789222204,0.18,5.2,0.052000000000000005
fst_pair_l015,FST2L015_FST1L015_HWL.LIS,FST1,15,heave,ok,0.18,35.0,0.928288166681015,0.18,19.5,0.195
fst_pair_l015,FST2L015_FST1L015_HWL.LIS,FST1,15,roll,ok,0.18,35.0,0.5697069702926234,0.18,0.2,0.002
fst_pair_l015,FST2L015_FST1L015_HWL.LIS,FST1,15,pitch,ok,0.18,35.0,0.3975784033370022,0.18,4.3,0.043
fst_pair_l015,FST2L015_FST1L015_LWL.LIS,FST1,15,heave,ok,0.18,35.0,0.914966688355374,0.18,19.7,0.19699999999999998
fst_pair_l015,FST2L015_FST1L015_LWL.LIS,FST1,15,roll,ok,0.18,35.0,0.6309058509793676,0.18,0.3,0.003
fst_pair_l015,FST2L015_FST1L015_LWL.LIS,FST1,15,pitch,ok,0.18,35.0,0.4298031972891779,0.18,7.9,0.079
fst_pair_l095,FST2L095_FST1L095_MWL.LIS,FST2,95,heave,ok,0.18,35.0,0.9343712835912713,0.18,18.1,0.18100000000000002
fst_pair_l095,FST2L095_FST1L095_MWL.LIS,FST2,95,roll,ok,0.18,35.0,33.15547733209703,0.18,0.1,0.001
fst_pair_l095,FST2L095_FST1L095_MWL.LIS,FST2,95,pitch,ok,0.18,35.0,0.4057254899559553,0.18,7.1,0.071
fst_pair_l095,FST2L095_FST1L095_HWL.LIS,FST2,95,heave,ok,0.18,35.0,0.9363866013565123,0.18,18.2,0.182
fst_pair_l095,FST2L095_FST1L095_HWL.LIS,FST2,95,roll,ok,0.18,35.0,31.619249457063333,0.18,0.0,0.0
fst_pair_l095,FST2L095_FST1L095_HWL.LIS,FST2,95,pitch,ok,0.18,35.0,0.39293794268306537,0.18,5.5,0.055
fst_pair_l095,FST2L095_FST1L095_LWL.LIS,FST2,95,heave,ok,0.18,35.0,0.9321439195746545,0.18,15.7,0.157
fst_pair_l095,FST2L095_FST1L095_LWL.LIS,FST2,95,roll,ok,0.18,35.0,35.012722393175885,0.18,0.1,0.001
fst_pair_l095,FST2L095_FST1L095_LWL.LIS,FST2,95,pitch,ok,0.18,35.0,0.4251754687185045,0.18,11.7,0.11699999999999999
lngc_125km3,FSTS_L015_125KM3_L100_PB_HWL.LIS,LNGC,100,heave,ok,0.18,35.0,0.9320013791835289,0.18,16.9,0.16899999999999998
lngc_125km3,FSTS_L015_125KM3_L100_PB_HWL.LIS,LNGC,100,roll,ok,0.18,35.0,0.5600897988715737,0.18,0.2,0.002
lngc_125km3,FSTS_L015_125KM3_L100_PB_HWL.LIS,LNGC,100,pitch,ok,0.18,35.0,0.40108233867873067,0.18,3.8,0.038
lngc_125km3,FSTS_L015_125KM3_L100_PB_LWL.LIS,LNGC,100,heave,ok,0.18,35.0,0.9207588268379511,0.18,18.8,0.188
lngc_125km3,FSTS_L015_125KM3_L100_PB_LWL.LIS,LNGC,100,roll,ok,0.18,35.0,0.618171769332764,0.18,0.2,0.002
lngc_125km3,FSTS_L015_125KM3_L100_PB_LWL.LIS,LNGC,100,pitch,ok,0.18,35.0,0.4357142182669737,0.18,5.1,0.051
lngc_125km3,FSTS_L015_125KM3_L100_PB_MWL.LIS,LNGC,100,heave,ok,0.18,35.0,0.9275722803102732,0.18,17.6,0.17600000000000002
lngc_125km3,FSTS_L015_125KM3_L100_PB_MWL.LIS,LNGC,100,roll,ok,0.18,35.0,0.5830519290766476,0.18,0.2,0.002
lngc_125km3,FSTS_L015_125KM3_L100_PB_MWL.LIS,LNGC,100,pitch,ok,0.18,35.0,0.41477115328817166,0.18,4.2,0.042
lngc_125km3,FSTS_L015_125KM3_L100_SB_HWL.LIS,LNGC,100,heave,ok,0.18,35.0,0.9290428620897961,0.18,19.8,0.198
lngc_125km3,FSTS_L015_125KM3_L100_SB_HWL.LIS,LNGC,100,roll,ok,0.18,35.0,0.569641313108521,0.18,0.2,0.002
lngc_125km3,FSTS_L015_125KM3_L100_SB_HWL.LIS,LNGC,100,pitch,ok,0.18,35.0,0.3977348010923862,0.18,3.9,0.039
lngc_125km3,FSTS_L015_125KM3_L100_SB_LWL.LIS,LNGC,100,heave,ok,0.18,35.0,0.9149449736459565,0.18,21.3,0.213
lngc_125km3,FSTS_L015_125KM3_L100_SB_LWL.LIS,LNGC,100,roll,ok,0.18,35.0,0.6308882522285544,0.18,0.3,0.003
lngc_125km3,FSTS_L015_125KM3_L100_SB_LWL.LIS,LNGC,100,pitch,ok,0.18,35.0,0.431025097181127,0.18,6.2,0.062
lngc_125km3,FSTS_L015_125KM3_L100_SB_MWL.LIS,LNGC,100,heave,ok,0.18,35.0,0.9236552861322237,0.18,20.7,0.207
lngc_125km3,FSTS_L015_125KM3_L100_SB_MWL.LIS,LNGC,100,roll,ok,0.18,35.0,0.5935739832573527,0.18,0.2,0.002
lngc_125km3,FSTS_L015_125KM3_L100_SB_MWL.LIS,LNGC,100,pitch,ok,0.18,35.0,0.41092627659958664,0.18,4.5,0.045
