Range (kN),Mean (kN),Cycles_TimeTrace,Cycles_Annual,Bin_Number,Damage_Contribution
100.0,-34.308759184912155,1280.0,11212800.0,1,0.0
300.0,0.0,0.0,0.0,2,0.0
500.0,0.0,0.0,0.0,3,0.0
700.0,0.0,0.0,0.0,4,0.0
900.0,0.0,0.0,0.0,5,0.0
1100.0,0.0,0.0,0.0,6,0.0
1300.0,0.0,0.0,0.0,7,0.0
1500.0,0.0,0.0,0.0,8,0.0
1700.0,0.0,0.0,0.0,9,0.0
1900.0,0.0,0.0,0.0,10,0.0
2100.0,0.0,0.0,0.0,11,0.0
2300.0,0.0,0.0,0.0,12,0.0
2500.0,0.0,0.0,0.0,13,0.0
2700.0,0.0,0.0,0.0,14,0.0
2900.0,0.0,0.0,0.0,15,0.0
3100.0,0.0,0.0,0.0,16,0.0
3300.0,0.0,0.0,0.0,17,0.0
3500.0,0.0,0.0,0.0,18,0.0
3700.0,0.0,0.0,0.0,19,0.0
3900.0,0.0,0.0,0.0,20,0.0
4100.0,0.0,0.0,0.0,21,0.0
4300.0,0.0,0.0,0.0,22,0.0
4500.0,0.0,0.0,0.0,23,0.0
4700.0,0.0,0.0,0.0,24,0.0
4900.0,0.0,0.0,0.0,25,0.0
5100.0,0.0,0.0,0.0,26,0.0
5300.0,0.0,0.0,0.0,27,0.0
5500.0,0.0,0.0,0.0,28,0.0
5700.0,0.0,0.0,0.0,29,0.0
5900.0,0.0,0.0,0.0,30,0.0
6100.0,0.0,0.0,0.0,31,0.0
6300.0,0.0,0.0,0.0,32,0.0
6500.0,0.0,0.0,0.0,33,0.0
6700.0,0.0,0.0,0.0,34,0.0
6900.0,0.0,0.0,0.0,35,0.0
7100.0,0.0,0.0,0.0,36,0.0
7300.0,0.0,0.0,0.0,37,0.0
7500.0,0.0,0.0,0.0,38,0.0
7700.0,0.0,0.0,0.0,39,0.0
7900.0,0.0,0.0,0.0,40,0.0
8100.0,0.0,0.0,0.0,41,0.0
8300.0,0.0,0.0,0.0,42,0.0
8500.0,0.0,0.0,0.0,43,0.0
8700.0,0.0,0.0,0.0,44,0.0
8900.0,0.0,0.0,0.0,45,0.0
9100.0,0.0,0.0,0.0,46,0.0
9300.0,0.0,0.0,0.0,47,0.0
9500.0,0.0,0.0,0.0,48,0.0
9700.0,0.0,0.0,0.0,49,0.0
9900.0,0.0,0.0,0.0,50,0.0
