Row,Wind Speed (m/s),Wind Dir (deg),Hs (m),Tp (s),Wave Dir (deg),Occurrence (%)
FC001,5,180,0.15,2.5,150,7.76
FC002,3,180,0.09,2.5,150,6.977
FC003,7,180,0.25,2.5,150,6.73
FC004,1.25,180,0.04,2.5,150,6.449
FC005,1.25,290,0.01,2.5,310,5.171
FC006,9,180,0.35,2.5,150,5.009
FC007,3,290,0.03,2.5,310,4.793
FC008,14,180,0.6,3.5,150,4.713
FC009,5,70,0.19,2.5,70,3.736
FC010,11,180,0.45,2.5,150,3.641
FC011,1.25,335,0.02,2.5,45,3.639
FC012,1.25,45,0.05,2.5,70,2.531
FC013,5,90,0.18,2.5,90,2.455
FC014,3,70,0.12,2.5,70,2.334
FC015,3,335,0.04,2.5,45,1.903
FC016,3,90,0.11,2.5,90,1.902
FC017,5,290,0.05,2.5,310,1.899
FC018,5,45,0.19,2.5,70,1.835
FC019,3,45,0.11,2.5,70,1.69
FC020,1.25,70,0.05,2.5,70,1.673
FC021,3,200,0.07,2.5,150,1.575
FC022,7,70,0.35,2.5,70,1.573
FC023,18,180,0.8,3.5,150,1.365
FC024,1.25,90,0.05,2.5,90,1.342
FC025,1.25,110,0.04,2.5,90,1.23
FC026,1.25,200,0.03,2.5,150,1.218
FC027,7,45,0.33,2.5,70,1.196
FC028,3,110,0.1,2.5,90,1.161
FC029,1.25,150,0.04,2.5,150,1.152
FC030,5,110,0.16,2.5,90,1.075
FC031,5,200,0.12,2.5,150,1.031
FC032,1.25,125,0.04,2.5,125,0.917
FC033,7,90,0.32,2.5,90,0.706
FC034,9,70,0.5,2.5,70,0.649
FC035,7,200,0.2,2.5,150,0.537
FC036,3,125,0.1,2.5,125,0.529
FC037,9,45,0.48,2.5,70,0.5
FC038,7,290,0.07,2.5,310,0.482
FC039,5,335,0.07,2.5,45,0.394
FC040,11,70,0.65,3.5,70,0.369
FC041,9,200,0.29,2.5,150,0.349
FC042,5,125,0.16,2.5,125,0.293
FC043,22,180,1.01,3.5,150,0.284
FC044,14,70,0.89,3.5,70,0.283
FC045,3,150,0.09,2.5,150,0.276
FC046,7,110,0.28,2.5,90,0.229
FC047,11,200,0.37,2.5,150,0.195
FC048,14,200,0.52,2.5,150,0.191
FC049,9,290,0.09,2.5,310,0.183
FC050,9,90,0.45,2.5,90,0.157
FC051,11,45,0.63,3.5,70,0.157
FC052,14,90,0.82,3.5,90,0.126
FC053,11,90,0.6,3.5,90,0.104
FC054,11,290,0.12,2.5,310,0.085
FC055,5,150,0.16,2.5,150,0.073
FC056,7,335,0.12,2.5,45,0.067
FC057,7,125,0.27,2.5,125,0.066
FC058,14,45,0.87,3.5,70,0.066
FC059,9,110,0.4,2.5,90,0.058
FC060,14,110,0.73,3.5,90,0.044
FC061,18,200,0.7,3.5,150,0.044
FC062,11,110,0.53,2.5,90,0.043
FC063,18,90,1.13,3.5,90,0.042
FC064,26,180,1.21,4.5,150,0.039
FC065,18,70,1.22,4.5,70,0.036
FC066,22,200,0.88,3.5,150,0.027
FC067,7,150,0.26,2.5,150,0.025
FC068,14,290,0.16,2.5,310,0.021
FC069,9,335,0.17,2.5,45,0.017
FC070,18,110,0.99,3.5,90,0.013
FC071,9,125,0.38,2.5,125,0.009
FC072,9,150,0.37,2.5,150,0.007
FC073,26,200,1.05,3.5,150,0.007
FC074,11,335,0.22,2.5,45,0.006
FC075,22,90,1.43,4.5,90,0.006
FC076,11,125,0.5,2.5,125,0.004
FC077,14,125,0.68,2.5,125,0.004
FC078,14,335,0.3,2.5,45,0.004
FC079,18,45,1.18,4.5,70,0.004
FC080,22,110,1.26,3.5,90,0.003
FC081,30,180,1.39,4.5,150,0.003
