Time (s),Scaled Tension (kN)
0.000000,210.953720
0.100000,174.490453
0.200000,172.547538
0.300000,181.408666
0.400000,189.475784
0.500000,186.674365
0.600000,195.766308
0.700000,196.023661
0.800000,205.718739
0.900000,201.451007
1.000000,216.689785
1.100000,219.878714
1.200000,203.039575
1.300000,252.361400
1.400000,219.292951
1.500000,205.635126
1.600000,213.499277
1.700000,218.283002
1.800000,217.952309
1.900000,208.282521
2.000000,193.851969
2.100000,213.719559
2.200000,199.294617
2.300000,226.866054
2.400000,203.137043
2.500000,205.497694
2.600000,184.197945
2.700000,223.648330
2.800000,173.608410
2.900000,214.687747
3.000000,213.093275
3.100000,185.992574
3.200000,207.517160
3.300000,218.201949
3.400000,242.047374
3.500000,203.413605
3.600000,214.276720
3.700000,160.901945
3.800000,217.930137
3.900000,182.360781
4.000000,173.548120
4.100000,166.248378
4.200000,181.589591
4.300000,165.053884
4.400000,170.502273
4.500000,178.052085
4.600000,181.004508
4.700000,172.126805
4.800000,179.375132
4.900000,160.721523
5.000000,189.817005
5.100000,204.868744
5.200000,194.534806
5.300000,191.042285
5.400000,169.203769
5.500000,180.418061
5.600000,154.030810
5.700000,180.555211
5.800000,163.995554
5.900000,167.674729
6.000000,152.877619
6.100000,153.933858
6.200000,144.241353
6.300000,158.651631
6.400000,154.035623
6.500000,163.175875
6.600000,174.472421
6.700000,152.866692
6.800000,154.222427
6.900000,175.689333
7.000000,178.608433
7.100000,186.232618
7.200000,185.883017
7.300000,164.051765
7.400000,167.148173
7.500000,180.159455
7.600000,182.427833
7.700000,198.823903
7.800000,203.698299
7.900000,184.053503
8.000000,191.890841
8.100000,162.021313
8.200000,147.761546
8.300000,154.486091
8.400000,151.714962
8.500000,181.039966
8.600000,189.968166
8.700000,176.461313
8.800000,188.296132
8.900000,178.537531
9.000000,195.760613
9.100000,183.112397
9.200000,206.797749
9.300000,192.166918
9.400000,227.709399
9.500000,217.429832
9.600000,238.794257
9.700000,192.236710
9.800000,212.688676
9.900000,201.927294
10.000000,178.096785
10.100000,168.656528
10.200000,190.268053
10.300000,191.273981
10.400000,199.632077
10.500000,158.646547
10.600000,177.057902
10.700000,232.204537
10.800000,200.941981
10.900000,196.648041
11.000000,232.212253
11.100000,231.505291
11.200000,224.535188
11.300000,229.225659
11.400000,244.982625
11.500000,227.499990
11.600000,239.269297
11.700000,223.172548
11.800000,188.666361
11.900000,201.986391
12.000000,217.390423
12.100000,187.540787
12.200000,189.340975
12.300000,187.248354
12.400000,204.238175
12.500000,159.967112
12.600000,198.828750
12.700000,198.743447
12.800000,199.112720
12.900000,201.756890
13.000000,227.394827
13.100000,220.683641
13.200000,198.478839
13.300000,212.660036
13.400000,200.936001
13.500000,214.410939
13.600000,196.528711
13.700000,189.022451
13.800000,184.022927
13.900000,194.770333
14.000000,163.379251
14.100000,167.831144
14.200000,170.740575
14.300000,183.877358
14.400000,151.877403
14.500000,173.795394
14.600000,178.610367
14.700000,182.417110
14.800000,157.965123
14.900000,152.696261
15.000000,153.371975
15.100000,175.753644
15.200000,185.426128
15.300000,177.498412
15.400000,172.856036
15.500000,172.783507
15.600000,164.462862
15.700000,196.204474
15.800000,143.381674
15.900000,172.870981
16.000000,149.448752
16.100000,156.500693
16.200000,152.221554
16.300000,151.953796
16.400000,156.362685
16.500000,146.987718
16.600000,145.769373
16.700000,135.860370
16.800000,150.746455
16.900000,190.463345
17.000000,190.105406
17.100000,186.970736
17.200000,145.199647
17.300000,176.495844
17.400000,161.878190
17.500000,186.237426
17.600000,152.310665
17.700000,183.636062
17.800000,149.250600
17.900000,177.075704
18.000000,169.102895
18.100000,157.866688
18.200000,158.546385
18.300000,145.964384
18.400000,165.431867
18.500000,211.355455
18.600000,166.781349
18.700000,179.523580
18.800000,169.928636
18.900000,174.829446
19.000000,190.347380
19.100000,204.613391
19.200000,201.425661
19.300000,200.220420
19.400000,208.133126
19.500000,201.832811
19.600000,211.836791
19.700000,213.613627
19.800000,199.401658
19.900000,205.062652
20.000000,201.801419
20.100000,227.361688
20.200000,169.275488
20.300000,197.187372
20.400000,215.849519
20.500000,189.992864
20.600000,233.757255
20.700000,207.218296
20.800000,221.980322
20.900000,207.348759
21.000000,205.538412
21.100000,219.277767
21.200000,196.545120
21.300000,226.285389
21.400000,235.227833
21.500000,223.187030
21.600000,220.808076
21.700000,227.786393
21.800000,212.612497
21.900000,197.010928
22.000000,219.227319
22.100000,208.762113
22.200000,213.952132
22.300000,195.402220
22.400000,191.668791
22.500000,237.349809
22.600000,175.103831
22.700000,180.411316
22.800000,203.246254
22.900000,196.425152
23.000000,192.537546
23.100000,214.139000
23.200000,200.240353
23.300000,220.970640
23.400000,216.933517
23.500000,205.525208
23.600000,210.093020
23.700000,194.517832
23.800000,208.839911
23.900000,181.088445
24.000000,148.373783
24.100000,166.180500
24.200000,164.785723
24.300000,157.077793
24.400000,181.183740
24.500000,190.791760
24.600000,188.804342
24.700000,154.318979
24.800000,184.372094
24.900000,153.005145
25.000000,180.640854
25.100000,161.426760
25.200000,200.286795
25.300000,186.692295
25.400000,156.377859
25.500000,166.633817
25.600000,201.420944
25.700000,188.493319
25.800000,153.939389
25.900000,174.139382
26.000000,136.543992
26.100000,149.123077
26.200000,158.625387
26.300000,140.167745
26.400000,136.597621
26.500000,158.014809
26.600000,138.829755
26.700000,167.079828
26.800000,144.135409
26.900000,152.740041
27.000000,137.736917
27.100000,172.494364
27.200000,185.982645
27.300000,164.676407
27.400000,183.783666
27.500000,180.012713
27.600000,173.476533
27.700000,177.811234
27.800000,169.517748
27.900000,155.306584
28.000000,188.733343
28.100000,159.011712
28.200000,171.721108
28.300000,162.952886
28.400000,157.568684
28.500000,173.640638
28.600000,182.945240
28.700000,158.822793
28.800000,169.960512
28.900000,182.239199
29.000000,202.067393
29.100000,190.064032
29.200000,221.834700
29.300000,232.848720
29.400000,233.502961
29.500000,234.405676
29.600000,208.747744
29.700000,207.537991
29.800000,183.465416
29.900000,194.075726
30.000000,200.415093
30.100000,192.883622
30.200000,202.438168
30.300000,202.702941
30.400000,163.361540
30.500000,179.073839
30.600000,199.636453
30.700000,197.909962
30.800000,224.821818
30.900000,221.108632
31.000000,229.770426
31.100000,232.699008
31.200000,217.720631
31.300000,198.091237
31.400000,226.277217
31.500000,235.972248
31.600000,265.278081
31.700000,226.553796
31.800000,226.384607
31.900000,197.131971
32.000000,203.825267
32.100000,200.855177
32.200000,181.672975
32.300000,186.294320
32.400000,206.814839
32.500000,206.859789
32.600000,154.863058
32.700000,174.502353
32.800000,192.362664
32.900000,202.854896
33.000000,184.606673
33.100000,200.815070
33.200000,218.303319
33.300000,237.905485
33.400000,186.678894
33.500000,199.601810
33.600000,195.250401
33.700000,197.517509
33.800000,189.016843
33.900000,185.198869
34.000000,154.260968
34.100000,161.266595
