Time (s),Scaled Tension (kN)
0.000000,1107.835234
0.100000,1055.641133
0.200000,1072.049946
0.300000,1106.955875
0.400000,1208.841796
0.500000,1103.921781
0.600000,1076.594985
0.700000,1269.001243
0.800000,1060.603835
0.900000,1247.890826
1.000000,1099.819087
1.100000,1163.904283
1.200000,1097.602678
1.300000,1192.971867
1.400000,1172.137503
1.500000,1369.710471
1.600000,1137.885085
1.700000,1176.073710
1.800000,1523.031364
1.900000,1423.575075
2.000000,1039.168087
2.100000,1281.028580
2.200000,1079.092134
2.300000,1223.617160
2.400000,960.122973
2.500000,1318.038979
2.600000,1185.425956
2.700000,1367.825558
2.800000,1174.178775
2.900000,1360.826658
3.000000,1341.467556
3.100000,1574.123664
3.200000,1604.601924
3.300000,1516.762947
3.400000,1440.128576
3.500000,1728.342455
3.600000,1335.657459
3.700000,1393.644896
3.800000,1533.325243
3.900000,1777.996971
4.000000,1503.442956
4.100000,1500.714514
4.200000,1352.812810
4.300000,1558.145233
4.400000,1586.017764
4.500000,1531.019392
4.600000,1431.868490
4.700000,1387.934343
4.800000,1318.736496
4.900000,1502.628634
5.000000,1365.409047
5.100000,1323.913532
5.200000,1441.159495
5.300000,1433.757423
5.400000,1398.795565
5.500000,1538.429450
5.600000,1504.474248
5.700000,1457.868807
5.800000,1466.541082
5.900000,1381.734962
6.000000,1455.369314
6.100000,1441.270031
6.200000,1239.643833
6.300000,1467.417890
6.400000,1262.063530
6.500000,1329.488970
6.600000,1418.323950
6.700000,1410.917700
6.800000,1320.575295
6.900000,1249.028611
7.000000,1395.780319
7.100000,1327.381476
7.200000,1154.295630
7.300000,1206.913316
7.400000,1074.097696
7.500000,1307.577698
7.600000,1228.266874
7.700000,1334.744418
7.800000,1234.897791
7.900000,1311.885449
8.000000,1100.535223
8.100000,1325.674887
8.200000,1073.013007
8.300000,1208.009097
8.400000,961.326941
8.500000,1091.254647
8.600000,885.993993
8.700000,1068.538647
8.800000,1092.218857
8.900000,972.932992
9.000000,947.553935
9.100000,1142.614098
9.200000,1025.254576
9.300000,1050.129083
9.400000,1117.885962
9.500000,1392.482588
9.600000,1197.483243
9.700000,1202.381665
9.800000,1152.719532
9.900000,1105.062847
10.000000,815.435436
10.100000,1034.681709
10.200000,1043.005253
10.300000,895.318567
10.400000,914.828827
10.500000,836.398237
10.600000,1083.917791
10.700000,1179.819869
10.800000,1249.763580
10.900000,1161.114353
11.000000,1059.996588
11.100000,942.177120
11.200000,998.723084
11.300000,1045.158929
11.400000,1120.073899
11.500000,1245.752050
11.600000,1185.772320
11.700000,1332.620150
11.800000,1260.960492
11.900000,1331.828590
12.000000,1378.636932
12.100000,1139.116876
12.200000,1371.258919
12.300000,1308.191062
12.400000,1289.085824
12.500000,1417.915364
12.600000,1436.962556
12.700000,1209.340005
12.800000,1343.118123
12.900000,1423.308017
13.000000,1387.014170
13.100000,1525.043499
13.200000,1471.576462
13.300000,1669.463215
13.400000,1268.864525
13.500000,1468.971864
13.600000,1402.740866
13.700000,1612.388410
13.800000,1327.578431
13.900000,1582.669564
14.000000,1450.086175
14.100000,1427.388386
14.200000,1348.590942
14.300000,1433.835150
14.400000,1597.731482
14.500000,1434.126380
14.600000,1536.640219
14.700000,1644.652212
14.800000,1486.141891
14.900000,1418.809843
15.000000,1545.192117
15.100000,1427.799469
15.200000,1457.668842
15.300000,1339.657046
15.400000,1598.309558
15.500000,1447.987221
15.600000,1527.980124
15.700000,1390.269876
15.800000,1564.118054
15.900000,1408.511544
16.000000,1417.038359
16.100000,1519.733255
16.200000,1504.186056
16.300000,1397.469736
16.400000,1173.892804
16.500000,1663.297031
16.600000,1475.158272
16.700000,1350.342769
16.800000,1202.720395
16.900000,1267.848139
17.000000,1179.530665
17.100000,1407.226890
17.200000,1306.885528
17.300000,1144.727677
17.400000,1231.489281
17.500000,1370.294671
17.600000,1455.822955
17.700000,1393.768555
17.800000,1280.607573
17.900000,1162.778661
18.000000,814.611925
18.100000,1183.203689
18.200000,1130.526233
18.300000,1137.036940
18.400000,1094.378079
18.500000,923.709023
18.600000,1082.105661
18.700000,1131.306436
18.800000,1120.447938
18.900000,1190.539721
19.000000,1094.400701
19.100000,966.238972
19.200000,1071.515963
19.300000,1093.024249
19.400000,1071.891729
19.500000,1167.710542
19.600000,1207.333183
19.700000,1368.740544
19.800000,1289.675866
19.900000,1096.293384
20.000000,701.497784
20.100000,1214.258034
20.200000,1006.906539
