Row,Wind Speed (m/s),Hs (m),Wind Scale Factor,Wave Scale Factor,Wind Scale Formula,Wave Scale Formula,Occurrence (%)
1,5,0.15,0.25,0.3,(5/10)^2,0.15/0.5,7.76
2,3,0.09,0.09,0.18,(3/10)^2,0.09/0.5,6.977
3,7,0.25,0.49,0.5,(7/10)^2,0.25/0.5,6.73
4,1.25,0.04,0.015625,0.08,(1.25/10)^2,0.04/0.5,6.449
5,1.25,0.01,0.015625,0.02,(1.25/10)^2,0.01/0.5,5.171
6,9,0.35,0.81,0.7,(9/10)^2,0.35/0.5,5.009
7,3,0.03,0.09,0.06,(3/10)^2,0.03/0.5,4.793
8,14,0.6,1.96,1.2,(14/10)^2,0.6/0.5,4.713
9,5,0.19,0.25,0.38,(5/10)^2,0.19/0.5,3.736
10,11,0.45,1.21,0.9,(11/10)^2,0.45/0.5,3.641
11,1.25,0.02,0.015625,0.04,(1.25/10)^2,0.02/0.5,3.639
12,1.25,0.05,0.015625,0.1,(1.25/10)^2,0.05/0.5,2.531
13,5,0.18,0.25,0.36,(5/10)^2,0.18/0.5,2.455
14,3,0.12,0.09,0.24,(3/10)^2,0.12/0.5,2.334
15,3,0.04,0.09,0.08,(3/10)^2,0.04/0.5,1.903
16,3,0.11,0.09,0.22,(3/10)^2,0.11/0.5,1.902
17,5,0.05,0.25,0.1,(5/10)^2,0.05/0.5,1.899
18,5,0.19,0.25,0.38,(5/10)^2,0.19/0.5,1.835
19,3,0.11,0.09,0.22,(3/10)^2,0.11/0.5,1.69
20,1.25,0.05,0.015625,0.1,(1.25/10)^2,0.05/0.5,1.673
21,3,0.07,0.09,0.14,(3/10)^2,0.07/0.5,1.575
22,7,0.35,0.49,0.7,(7/10)^2,0.35/0.5,1.573
23,18,0.8,3.24,1.6,(18/10)^2,0.8/0.5,1.365
24,1.25,0.05,0.015625,0.1,(1.25/10)^2,0.05/0.5,1.342
25,1.25,0.04,0.015625,0.08,(1.25/10)^2,0.04/0.5,1.23
26,1.25,0.03,0.015625,0.06,(1.25/10)^2,0.03/0.5,1.218
27,7,0.33,0.49,0.66,(7/10)^2,0.33/0.5,1.196
28,3,0.1,0.09,0.2,(3/10)^2,0.1/0.5,1.161
29,1.25,0.04,0.015625,0.08,(1.25/10)^2,0.04/0.5,1.152
30,5,0.16,0.25,0.32,(5/10)^2,0.16/0.5,1.075
31,5,0.12,0.25,0.24,(5/10)^2,0.12/0.5,1.031
32,1.25,0.04,0.015625,0.08,(1.25/10)^2,0.04/0.5,0.917
33,7,0.32,0.49,0.64,(7/10)^2,0.32/0.5,0.706
34,9,0.5,0.81,1.0,(9/10)^2,0.5/0.5,0.649
35,7,0.2,0.49,0.4,(7/10)^2,0.2/0.5,0.537
36,3,0.1,0.09,0.2,(3/10)^2,0.1/0.5,0.529
37,9,0.48,0.81,0.96,(9/10)^2,0.48/0.5,0.5
38,7,0.07,0.49,0.14,(7/10)^2,0.07/0.5,0.482
39,5,0.07,0.25,0.14,(5/10)^2,0.07/0.5,0.394
40,11,0.65,1.21,1.3,(11/10)^2,0.65/0.5,0.369
41,9,0.29,0.81,0.58,(9/10)^2,0.29/0.5,0.349
42,5,0.16,0.25,0.32,(5/10)^2,0.16/0.5,0.293
43,22,1.01,4.84,2.02,(22/10)^2,1.01/0.5,0.284
44,14,0.89,1.96,1.78,(14/10)^2,0.89/0.5,0.283
45,3,0.09,0.09,0.18,(3/10)^2,0.09/0.5,0.276
46,7,0.28,0.49,0.56,(7/10)^2,0.28/0.5,0.229
47,11,0.37,1.21,0.74,(11/10)^2,0.37/0.5,0.195
48,14,0.52,1.96,1.04,(14/10)^2,0.52/0.5,0.191
49,9,0.09,0.81,0.18,(9/10)^2,0.09/0.5,0.183
50,9,0.45,0.81,0.9,(9/10)^2,0.45/0.5,0.157
51,11,0.63,1.21,1.26,(11/10)^2,0.63/0.5,0.157
52,14,0.82,1.96,1.64,(14/10)^2,0.82/0.5,0.126
53,11,0.6,1.21,1.2,(11/10)^2,0.6/0.5,0.104
54,11,0.12,1.21,0.24,(11/10)^2,0.12/0.5,0.085
55,5,0.16,0.25,0.32,(5/10)^2,0.16/0.5,0.073
56,7,0.12,0.49,0.24,(7/10)^2,0.12/0.5,0.067
57,7,0.27,0.49,0.54,(7/10)^2,0.27/0.5,0.066
