Tension Range (kN),Stress Range (Mpa)
0,0
4,1
8,2
12,3
16,4
20,5
24,6
28,7
32,8
36,9
40,10
44,11
48,12
52,13
56,14
60,15
64,16
68,17
72,18
76,19
80,20
84,21
88,22
92,23
96,24
100,25
104,26
108,27
112,28
116,29
120,30
124,31
128,32
132,33
136,34
140,35
144,36
148,37
152,38
156,39
160,40
164,41
168,42
172,43
176,44
180,45
184,46
188,47
192,48
196,49
200,50
204,51
208,52
212,53
216,54
220,55
224,56
228,57
232,58
236,59
240,60
244,61
248,62
252,63
256,64
260,65
264,66
268,67
272,68
276,69
280,70
284,71
288,72
292,73
296,74
300,75
304,76
308,77
312,78
316,79
320,80
324,81
328,82
332,83
336,84
340,85
344,86
348,87
352,88
356,89
360,90
364,91
368,92
372,93
376,94
380,95
384,96
388,97
392,98
396,99
400,100
404,101
408,102
412,103
416,104
420,105
424,106
428,107
432,108
436,109
440,110
444,111
448,112
452,113
456,114
460,115
464,116
468,117
472,118
476,119
480,120
484,121
488,122
492,123
496,124
500,125
504,126
508,127
512,128
516,129
520,130
524,131
528,132
532,133
536,134
540,135
544,136
548,137
552,138
556,139
560,140
564,141
568,142
572,143
576,144
580,145
584,146
588,147
592,148
596,149
600,150
604,151
608,152
612,153
616,154
620,155
624,156
628,157
632,158
636,159
640,160
644,161
648,162
652,163
656,164
660,165
664,166
668,167
672,168
676,169
680,170
684,171
688,172
692,173
696,174
700,175
704,176
708,177
712,178
716,179
720,180
724,181
728,182
732,183
736,184
740,185
744,186
748,187
752,188
756,189
760,190
764,191
768,192
772,193
776,194
780,195
784,196
788,197
792,198
796,199
800,200
804,201
808,202
812,203
816,204
820,205
824,206
828,207
832,208
836,209
840,210
844,211
848,212
852,213
856,214
860,215
864,216
868,217
872,218
876,219
880,220
884,221
888,222
892,223
896,224
900,225
904,226
908,227
912,228
916,229
920,230
924,231
928,232
932,233
936,234
940,235
944,236
948,237
952,238
956,239
960,240
964,241
968,242
972,243
976,244
980,245
984,246
988,247
992,248
996,249
1000,250
1004,251
1008,252
1012,253
1016,254
1020,255
1024,256
1028,257
1032,258
1036,259
1040,260
1044,261
1048,262
1052,263
1056,264
1060,265
1064,266
1068,267
1072,268
1076,269
1080,270
1084,271
1088,272
1092,273
1096,274
1100,275
1104,276
1108,277
1112,278
1116,279
1120,280
1124,281
1128,282
1132,283
1136,284
1140,285
1144,286
1148,287
1152,288
1156,289
1160,290
1164,291
1168,292
1172,293
1176,294
1180,295
1184,296
1188,297
1192,298
1196,299
1200,300
1204,301
1208,302
1212,303
1216,304
1220,305
1224,306
1228,307
1232,308
1236,309
1240,310
1244,311
1248,312
1252,313
1256,314
1260,315
1264,316
1268,317
1272,318
1276,319
1280,320
1284,321
1288,322
1292,323
1296,324
1300,325
1304,326
1308,327
1312,328
1316,329
1320,330
1324,331
1328,332
1332,333
1336,334
1340,335
1344,336
1348,337
1352,338
1356,339
1360,340
1364,341
1368,342
1372,343
1376,344
1380,345
1384,346
1388,347
1392,348
1396,349
1400,350
1404,351
1408,352
1412,353
1416,354
1420,355
1424,356
1428,357
1432,358
1436,359
1440,360
1444,361
1448,362
1452,363
1456,364
1460,365
1464,366
1468,367
1472,368
1476,369
1480,370
1484,371
1488,372
1492,373
1496,374
1500,375
1504,376
1508,377
1512,378
1516,379
1520,380
1524,381
1528,382
1532,383
1536,384
1540,385
1544,386
1548,387
1552,388
1556,389
1560,390
1564,391
1568,392
1572,393
1576,394
1580,395
1584,396
1588,397
1592,398
1596,399
1600,400
1604,401
1608,402
1612,403
1616,404
1620,405
1624,406
1628,407
1632,408
1636,409
1640,410
1644,411
1648,412
1652,413
1656,414
1660,415
1664,416
1668,417
1672,418
1676,419
1680,420
1684,421
1688,422
1692,423
1696,424
1700,425
1704,426
1708,427
1712,428
1716,429
1720,430
1724,431
1728,432
1732,433
1736,434
1740,435
1744,436
1748,437
1752,438
1756,439
1760,440
1764,441
1768,442
1772,443
1776,444
1780,445
1784,446
1788,447
1792,448
1796,449
1800,450
1804,451
1808,452
1812,453
1816,454
1820,455
1824,456
1828,457
1832,458
1836,459
1840,460
1844,461
1848,462
1852,463
1856,464
1860,465
1864,466
1868,467
1872,468
1876,469
1880,470
1884,471
1888,472
1892,473
1896,474
1900,475
1904,476
1908,477
1912,478
1916,479
1920,480
1924,481
1928,482
1932,483
1936,484
1940,485
1944,486
1948,487
1952,488
1956,489
1960,490
1964,491
1968,492
1972,493
1976,494
1980,495
1984,496
1988,497
1992,498
1996,499
2000,500
