Time,Effective Tension at Vessel End
0.0,438.1337136557463
0.1,462.867572406893
0.2,454.4438492737421
0.3,496.06607124749473
0.4,556.6736759463236
0.5,464.54479271822805
0.6000000000000001,559.4078546140379
0.7000000000000001,476.5161886609724
0.8,479.38982895291656
0.9,568.7863968554126
1.0,579.9290236651657
1.1,582.244720173708
1.2000000000000002,479.56979546138166
1.3,527.5685456270618
1.4,597.3212075526017
1.5,563.3328690572675
1.6,512.4133852290056
1.7000000000000002,593.5953162875774
1.8,539.2415087964127
1.9,668.7146473884552
2.0,659.9252801645735
2.1,616.2565675924177
2.2,657.1309140121912
2.3000000000000003,594.9974684315603
2.4000000000000004,632.3449712810757
2.5,669.9030434301403
2.6,609.856959511331
2.7,586.0025519291275
2.8000000000000003,514.3209295384747
2.9000000000000004,595.7925817324051
3.0,641.1231937588183
3.1,646.8420174047553
3.2,623.9939916069949
3.3000000000000003,570.5363531548521
3.4000000000000004,497.2006112649773
3.5,569.3422839494926
3.6,576.5757627316534
3.7,573.4742602999031
3.8,617.024510161653
3.9,682.0167122061306
4.0,585.2190421637741
4.1000000000000005,564.2037380699111
4.2,557.7808324434568
4.3,572.3835709534343
4.4,519.9109337118198
4.5,562.2548145757801
4.6000000000000005,573.4827954925872
4.7,555.922728386275
4.800000000000001,562.6324437338908
4.9,555.6027531349283
5.0,439.3467157075704
5.1000000000000005,553.7009623601945
5.2,482.13635539087824
5.300000000000001,454.6628729496133
5.4,447.9626592340223
5.5,518.5801799483382
5.6000000000000005,479.50442391314
5.7,400.3017685224127
5.800000000000001,502.1307011818533
5.9,400.1629275218067
6.0,473.15886316112574
6.1000000000000005,472.2507229480776
6.2,498.91918821246367
6.300000000000001,538.2181447926782
6.4,375.5944057525373
6.5,436.1205301677747
6.6000000000000005,420.08520770891016
6.7,451.0080649667427
6.800000000000001,435.80156680069456
6.9,403.3842828943244
7.0,395.2716835257967
7.1000000000000005,358.1257609661584
7.2,460.312500346623
7.300000000000001,431.2023081545852
7.4,451.8153133274321
7.5,388.4631645111877
7.6,369.5762011436632
