fe_filename,fe_filename_stem,run_status,start_time,stop_time,description,statistic,FST1_Heading,FST2_Heading,WindDirection,WindSpeed,WaveDirection,Hs,WaveTz,WaveGamma,RefCurrentSpeed,RefCurrentDirection,CurrentFactor[0]
D:/1522/ctr7/orcaflex/rev_a08/07c_fatigue/fat001_fsts_l015_mwl_wave01.sim,fat001_fsts_l015_mwl_wave01,SimulationStopped,-1000.0,3600.0,,,180.0,0.0,45.0,0.1,45.0,0.5,1.927977,3.0,0.0,45.0,1.0
D:/1522/ctr7/orcaflex/rev_a08/07c_fatigue/fat002_fsts_l015_mwl_wave02.sim,fat002_fsts_l015_mwl_wave02,SimulationStopped,-1000.0,3600.0,,,180.0,0.0,45.0,0.1,45.0,0.5,2.699167,3.0,0.0,45.0,1.0
D:/1522/ctr7/orcaflex/rev_a08/07c_fatigue/fat003_fsts_l015_mwl_wave03.sim,fat003_fsts_l015_mwl_wave03,SimulationStopped,-1000.0,3600.0,,,180.0,0.0,45.0,0.1,45.0,0.5,3.470358,3.0,0.0,45.0,1.0
D:/1522/ctr7/orcaflex/rev_a08/07c_fatigue/fat004_fsts_l015_mwl_wave04.sim,fat004_fsts_l015_mwl_wave04,SimulationStopped,-1000.0,3600.0,,,180.0,0.0,70.0,0.1,70.0,0.5,1.927977,3.0,0.0,70.0,1.0
D:/1522/ctr7/orcaflex/rev_a08/07c_fatigue/fat005_fsts_l015_mwl_wave05.sim,fat005_fsts_l015_mwl_wave05,SimulationStopped,-1000.0,3600.0,,,180.0,0.0,70.0,0.1,70.0,0.5,2.699167,3.0,0.0,70.0,1.0
D:/1522/ctr7/orcaflex/rev_a08/07c_fatigue/fat006_fsts_l015_mwl_wave06.sim,fat006_fsts_l015_mwl_wave06,SimulationStopped,-1000.0,3600.0,,,180.0,0.0,70.0,0.1,70.0,0.5,3.470358,3.0,0.0,70.0,1.0
D:/1522/ctr7/orcaflex/rev_a08/07c_fatigue/fat007_fsts_l015_mwl_wave07.sim,fat007_fsts_l015_mwl_wave07,SimulationStopped,-1000.0,3600.0,,,180.0,0.0,90.0,0.1,90.0,0.5,1.927977,3.0,0.0,90.0,1.0
D:/1522/ctr7/orcaflex/rev_a08/07c_fatigue/fat008_fsts_l015_mwl_wave08.sim,fat008_fsts_l015_mwl_wave08,SimulationStopped,-1000.0,3600.0,,,180.0,0.0,90.0,0.1,90.0,0.5,2.699167,3.0,0.0,90.0,1.0
D:/1522/ctr7/orcaflex/rev_a08/07c_fatigue/fat009_fsts_l015_mwl_wave09.sim,fat009_fsts_l015_mwl_wave09,SimulationStopped,-1000.0,3600.0,,,180.0,0.0,90.0,0.1,90.0,0.5,3.470358,3.0,0.0,90.0,1.0
D:/1522/ctr7/orcaflex/rev_a08/07c_fatigue/fat010_fsts_l015_mwl_wave10.sim,fat010_fsts_l015_mwl_wave10,SimulationStopped,-1000.0,3600.0,,,180.0,0.0,125.0,0.1,125.0,0.5,1.927977,3.0,0.0,125.0,1.0
D:/1522/ctr7/orcaflex/rev_a08/07c_fatigue/fat011_fsts_l015_mwl_wave11.sim,fat011_fsts_l015_mwl_wave11,SimulationStopped,-1000.0,3600.0,,,180.0,0.0,125.0,0.1,125.0,0.5,2.699167,3.0,0.0,125.0,1.0
D:/1522/ctr7/orcaflex/rev_a08/07c_fatigue/fat012_fsts_l015_mwl_wave12.sim,fat012_fsts_l015_mwl_wave12,SimulationStopped,-1000.0,3600.0,,,180.0,0.0,125.0,0.1,125.0,0.5,3.470358,3.0,0.0,125.0,1.0
D:/1522/ctr7/orcaflex/rev_a08/07c_fatigue/fat013_fsts_l015_mwl_wave13.sim,fat013_fsts_l015_mwl_wave13,SimulationStopped,-1000.0,3600.0,,,180.0,0.0,150.0,0.1,150.0,0.5,1.927977,3.0,0.0,150.0,1.0
D:/1522/ctr7/orcaflex/rev_a08/07c_fatigue/fat014_fsts_l015_mwl_wave14.sim,fat014_fsts_l015_mwl_wave14,SimulationStopped,-1000.0,3600.0,,,180.0,0.0,150.0,0.1,150.0,0.5,2.699167,3.0,0.0,150.0,1.0
D:/1522/ctr7/orcaflex/rev_a08/07c_fatigue/fat015_fsts_l015_mwl_wave15.sim,fat015_fsts_l015_mwl_wave15,SimulationStopped,-1000.0,3600.0,,,180.0,0.0,150.0,0.1,150.0,0.5,3.470358,3.0,0.0,150.0,1.0
D:/1522/ctr7/orcaflex/rev_a08/07c_fatigue/fat016_fsts_l015_mwl_wave16.sim,fat016_fsts_l015_mwl_wave16,SimulationStopped,-1000.0,3600.0,,,180.0,0.0,310.0,0.1,310.0,0.5,1.927977,3.0,0.0,310.0,1.0
D:/1522/ctr7/orcaflex/rev_a08/07c_fatigue/fat017_fsts_l015_mwl_wave17.sim,fat017_fsts_l015_mwl_wave17,SimulationStopped,-1000.0,3600.0,,,180.0,0.0,310.0,0.1,310.0,0.5,2.699167,3.0,0.0,310.0,1.0
D:/1522/ctr7/orcaflex/rev_a08/07c_fatigue/fat018_fsts_l015_mwl_wave18.sim,fat018_fsts_l015_mwl_wave18,SimulationStopped,-1000.0,3600.0,,,180.0,0.0,310.0,0.1,310.0,0.5,3.470358,3.0,0.0,310.0,1.0
D:/1522/ctr7/orcaflex/rev_a08/07c_fatigue/fat019_fsts_l095_mwl_wave01.sim,fat019_fsts_l095_mwl_wave01,SimulationStopped,-1000.0,3600.0,,,180.0,0.0,45.0,0.1,45.0,0.5,1.927977,3.0,0.0,45.0,1.0
D:/1522/ctr7/orcaflex/rev_a08/07c_fatigue/fat020_fsts_l095_mwl_wave02.sim,fat020_fsts_l095_mwl_wave02,SimulationStopped,-1000.0,3600.0,,,180.0,0.0,45.0,0.1,45.0,0.5,2.699167,3.0,0.0,45.0,1.0
D:/1522/ctr7/orcaflex/rev_a08/07c_fatigue/fat021_fsts_l095_mwl_wave03.sim,fat021_fsts_l095_mwl_wave03,SimulationStopped,-1000.0,3600.0,,,180.0,0.0,45.0,0.1,45.0,0.5,3.470358,3.0,0.0,45.0,1.0
D:/1522/ctr7/orcaflex/rev_a08/07c_fatigue/fat022_fsts_l095_mwl_wave04.sim,fat022_fsts_l095_mwl_wave04,SimulationStopped,-1000.0,3600.0,,,180.0,0.0,70.0,0.1,70.0,0.5,1.927977,3.0,0.0,70.0,1.0
D:/1522/ctr7/orcaflex/rev_a08/07c_fatigue/fat023_fsts_l095_mwl_wave05.sim,fat023_fsts_l095_mwl_wave05,SimulationStopped,-1000.0,3600.0,,,180.0,0.0,70.0,0.1,70.0,0.5,2.699167,3.0,0.0,70.0,1.0
D:/1522/ctr7/orcaflex/rev_a08/07c_fatigue/fat024_fsts_l095_mwl_wave06.sim,fat024_fsts_l095_mwl_wave06,SimulationStopped,-1000.0,3600.0,,,180.0,0.0,70.0,0.1,70.0,0.5,3.470358,3.0,0.0,70.0,1.0
D:/1522/ctr7/orcaflex/rev_a08/07c_fatigue/fat025_fsts_l095_mwl_wave07.sim,fat025_fsts_l095_mwl_wave07,SimulationStopped,-1000.0,3600.0,,,180.0,0.0,90.0,0.1,90.0,0.5,1.927977,3.0,0.0,90.0,1.0
D:/1522/ctr7/orcaflex/rev_a08/07c_fatigue/fat026_fsts_l095_mwl_wave08.sim,fat026_fsts_l095_mwl_wave08,SimulationStopped,-1000.0,3600.0,,,180.0,0.0,90.0,0.1,90.0,0.5,2.699167,3.0,0.0,90.0,1.0
D:/1522/ctr7/orcaflex/rev_a08/07c_fatigue/fat027_fsts_l095_mwl_wave09.sim,fat027_fsts_l095_mwl_wave09,SimulationStopped,-1000.0,3600.0,,,180.0,0.0,90.0,0.1,90.0,0.5,3.470358,3.0,0.0,90.0,1.0
D:/1522/ctr7/orcaflex/rev_a08/07c_fatigue/fat028_fsts_l095_mwl_wave10.sim,fat028_fsts_l095_mwl_wave10,SimulationStopped,-1000.0,3600.0,,,180.0,0.0,125.0,0.1,125.0,0.5,1.927977,3.0,0.0,125.0,1.0
D:/1522/ctr7/orcaflex/rev_a08/07c_fatigue/fat029_fsts_l095_mwl_wave11.sim,fat029_fsts_l095_mwl_wave11,SimulationStopped,-1000.0,3600.0,,,180.0,0.0,125.0,0.1,125.0,0.5,2.699167,3.0,0.0,125.0,1.0
D:/1522/ctr7/orcaflex/rev_a08/07c_fatigue/fat030_fsts_l095_mwl_wave12.sim,fat030_fsts_l095_mwl_wave12,SimulationStopped,-1000.0,3600.0,,,180.0,0.0,125.0,0.1,125.0,0.5,3.470358,3.0,0.0,125.0,1.0
D:/1522/ctr7/orcaflex/rev_a08/07c_fatigue/fat031_fsts_l095_mwl_wave13.sim,fat031_fsts_l095_mwl_wave13,SimulationStopped,-1000.0,3600.0,,,180.0,0.0,150.0,0.1,150.0,0.5,1.927977,3.0,0.0,150.0,1.0
D:/1522/ctr7/orcaflex/rev_a08/07c_fatigue/fat032_fsts_l095_mwl_wave14.sim,fat032_fsts_l095_mwl_wave14,SimulationStopped,-1000.0,3600.0,,,180.0,0.0,150.0,0.1,150.0,0.5,2.699167,3.0,0.0,150.0,1.0
D:/1522/ctr7/orcaflex/rev_a08/07c_fatigue/fat033_fsts_l095_mwl_wave15.sim,fat033_fsts_l095_mwl_wave15,SimulationStopped,-1000.0,3600.0,,,180.0,0.0,150.0,0.1,150.0,0.5,3.470358,3.0,0.0,150.0,1.0
D:/1522/ctr7/orcaflex/rev_a08/07c_fatigue/fat034_fsts_l095_mwl_wave16.sim,fat034_fsts_l095_mwl_wave16,SimulationStopped,-1000.0,3600.0,,,180.0,0.0,310.0,0.1,310.0,0.5,1.927977,3.0,0.0,310.0,1.0
D:/1522/ctr7/orcaflex/rev_a08/07c_fatigue/fat035_fsts_l095_mwl_wave17.sim,fat035_fsts_l095_mwl_wave17,SimulationStopped,-1000.0,3600.0,,,180.0,0.0,310.0,0.1,310.0,0.5,2.699167,3.0,0.0,310.0,1.0
