config,fc_id,strut,max_tension,min_tension,mean_tension,std_tension,samples,fatigue_condition,wind_reference,wave_reference,wind_scale_factor,wave_scale_factor,wind_speed,hs,tp,occurrence_pct
fsts_l015,1,1,326.3130475505427,223.26426653734381,275.0469076190364,24.246545396227262,1000,1,wind_000deg,wave_000deg_Hs050cm_Tp270cs,0.25,0.3,5,0.15,1.93,7.76
fsts_l015,1,2,327.2308235228618,220.97809141243405,275.01742320445055,24.193895231094775,1000,1,wind_000deg,wave_000deg_Hs050cm_Tp270cs,0.25,0.3,5,0.15,1.93,7.76
fsts_l015,2,1,867.4433860853705,632.9168620533565,750.087163117202,53.52489490547309,1000,2,wind_000deg,wave_000deg_Hs050cm_Tp270cs,1.0,0.5,10,0.25,2.7,5.5
fsts_l015,2,2,868.3807667081244,626.6155175352374,749.9976386424163,53.299540118175585,1000,2,wind_000deg,wave_000deg_Hs050cm_Tp270cs,1.0,0.5,10,0.25,2.7,5.5
fsts_l015,3,1,1691.988614397619,1262.9761184388403,1474.3909085005507,100.61540885745084,1000,3,wind_090deg,wave_000deg_Hs050cm_Tp270cs,2.25,0.7,15,0.35,3.47,3.25
fsts_l015,3,2,1697.3993010027903,1262.179546422325,1475.5202285180414,100.35537025746028,1000,3,wind_090deg,wave_000deg_Hs050cm_Tp270cs,2.25,0.7,15,0.35,3.47,3.25
fsts_l095,1,1,492.3251381679886,388.53473364569584,439.91309558458613,24.26979508773283,1000,1,wind_000deg,wave_000deg_Hs050cm_Tp270cs,0.25,0.3,5,0.15,1.93,7.76
fsts_l095,1,2,491.6838412086083,386.7504247923797,440.1147617644592,24.118066205278712,1000,1,wind_000deg,wave_000deg_Hs050cm_Tp270cs,0.25,0.3,5,0.15,1.93,7.76
fsts_l095,2,1,1317.3161695266524,1081.4933166492049,1199.6988835243978,53.56662388017021,1000,2,wind_000deg,wave_000deg_Hs050cm_Tp270cs,1.0,0.5,10,0.25,2.7,5.5
fsts_l095,2,2,1318.5440041624797,1075.91711728655,1200.3170348632668,53.23430115227305,1000,2,wind_000deg,wave_000deg_Hs050cm_Tp270cs,1.0,0.5,10,0.25,2.7,5.5
fsts_l095,3,1,2573.2059418825147,2148.0975081701645,2359.896869531361,100.25042611823292,1000,3,wind_090deg,wave_000deg_Hs050cm_Tp270cs,2.25,0.7,15,0.35,3.47,3.25
fsts_l095,3,2,2573.558209901348,2151.745276538344,2360.056806027228,101.1731869792575,1000,3,wind_090deg,wave_000deg_Hs050cm_Tp270cs,2.25,0.7,15,0.35,3.47,3.25
fsts_l015_125km3_l100_pb,1,1,326.32939927855637,222.1078952311303,274.85816080469425,24.335201177138025,1000,1,wind_000deg,wave_000deg_Hs050cm_Tp270cs,0.25,0.3,5,0.15,1.93,7.76
fsts_l015_125km3_l100_pb,1,2,325.8153608360109,218.75711062228075,275.01162516664425,24.07963903870572,1000,1,wind_000deg,wave_000deg_Hs050cm_Tp270cs,0.25,0.3,5,0.15,1.93,7.76
fsts_l015_125km3_l100_pb,2,1,867.0475000528065,630.5551128591671,749.7235939484511,53.58726844084084,1000,2,wind_000deg,wave_000deg_Hs050cm_Tp270cs,1.0,0.5,10,0.25,2.7,5.5
fsts_l015_125km3_l100_pb,2,2,864.9182573311961,623.862947309256,750.1071805549129,53.04007091547971,1000,2,wind_000deg,wave_000deg_Hs050cm_Tp270cs,1.0,0.5,10,0.25,2.7,5.5
fsts_l015_125km3_l100_pb,3,1,1685.9713772150217,1266.9840608676936,1475.1235016345745,100.91576846288204,1000,3,wind_090deg,wave_000deg_Hs050cm_Tp270cs,2.25,0.7,15,0.35,3.47,3.25
fsts_l015_125km3_l100_pb,3,2,1687.0742407566709,1252.8434807703147,1474.9491224308904,100.9620798416459,1000,3,wind_090deg,wave_000deg_Hs050cm_Tp270cs,2.25,0.7,15,0.35,3.47,3.25
fsts_l095_125km3_l000_pb,1,1,493.3602215751288,386.67846728127404,440.0641883031019,24.16599037918707,1000,1,wind_000deg,wave_000deg_Hs050cm_Tp270cs,0.25,0.3,5,0.15,1.93,7.76
fsts_l095_125km3_l000_pb,1,2,493.8213083606428,386.4123657789752,440.0197588679514,24.164446958506684,1000,1,wind_000deg,wave_000deg_Hs050cm_Tp270cs,0.25,0.3,5,0.15,1.93,7.76
fsts_l095_125km3_l000_pb,2,1,1322.291223076845,1078.8372080390195,1200.0533587955547,53.215369925458695,1000,2,wind_000deg,wave_000deg_Hs050cm_Tp270cs,1.0,0.5,10,0.25,2.7,5.5
fsts_l095_125km3_l000_pb,2,2,1324.0046633411064,1081.8719137174207,1200.1499588241213,53.34734993162977,1000,2,wind_000deg,wave_000deg_Hs050cm_Tp270cs,1.0,0.5,10,0.25,2.7,5.5
fsts_l095_125km3_l000_pb,3,1,2568.3079871211603,2137.523364782486,2360.2112673814295,100.94104971742964,1000,3,wind_090deg,wave_000deg_Hs050cm_Tp270cs,2.25,0.7,15,0.35,3.47,3.25
fsts_l095_125km3_l000_pb,3,2,2574.3829268442014,2139.730023474563,2359.5518090193646,100.45515397389589,1000,3,wind_090deg,wave_000deg_Hs050cm_Tp270cs,2.25,0.7,15,0.35,3.47,3.25
