stress_range_mpa,cycles_annual,stress_corrected_mpa,cycles_to_failure,damage_per_bin,damage_rate_per_year
1.025811034,13744440.0,2.051622068,inf,0.0,0.0
3.077433103,0.0,6.154866206,inf,0.0,0.0
5.129055171,0.0,10.258110342,inf,0.0,0.0
7.180677239,0.0,14.361354478,inf,0.0,0.0
9.232299308,0.0,18.464598616,inf,0.0,0.0
11.28392138,0.0,22.56784276,inf,0.0,0.0
13.33554344,0.0,26.67108688,inf,0.0,0.0
15.38716551,0.0,30.77433102,inf,0.0,0.0
17.43878758,0.0,34.87757516,inf,0.0,0.0
19.49040965,0.0,38.9808193,inf,0.0,0.0
21.54203172,0.0,43.08406344,inf,0.0,0.0
23.59365379,0.0,47.18730758,inf,0.0,0.0
25.64527585,0.0,51.2905517,8482539.376052527,0.0,0.0
27.69689792,0.0,55.39379584,6733713.2409748845,0.0,0.0
29.74851999,0.0,59.49703998,5434403.940192567,0.0,0.0
31.80014206,0.0,63.60028412,4448983.8433016185,0.0,0.0
33.85176413,0.0,67.70352826,3688111.908530308,0.0,0.0
35.9033862,0.0,71.8067724,3091304.434753906,0.0,0.0
37.95500826,0.0,75.91001652,2616620.490985103,0.0,0.0
40.00663033,0.0,80.01326066,2234354.5526907966,0.0,0.0
42.05825241,0.0,84.11650482,1923066.6647256513,0.0,0.0
44.10987449,0.0,88.21974898,1667018.973152309,0.0,0.0
46.16149657,0.0,92.32299314,1454482.0565846344,0.0,0.0
48.213118650000006,0.0,96.42623730000001,1276592.6367179793,0.0,0.0
50.26474073000001,0.0,100.52948146000001,1126568.6681956397,0.0,0.0
52.31636281000001,0.0,104.63272562000002,999160.7841116879,0.0,0.0
54.36798489000001,0.0,108.73596978000002,890262.9493288745,0.0,0.0
56.41960697000001,0.0,112.83921394000002,796632.1685714036,0.0,0.0
58.47122905000001,0.0,116.94245810000002,715684.053874566,0.0,0.0
60.522851130000014,0.0,121.04570226000003,645341.913906356,0.0,0.0
62.574473210000015,0.0,125.14894642000003,583924.103280149,0.0,0.0
64.62609529000002,0.0,129.25219058000005,530059.0562583627,0.0,0.0
66.67771737000001,0.0,133.35543474000002,482620.58005168213,0.0,0.0
68.72933945000003,0.0,137.45867890000005,440678.1311389731,0.0,0.0
70.78096153000001,0.0,141.56192306000003,403458.2818649795,0.0,0.0
72.83258361000003,0.0,145.66516722000006,370314.6220171682,0.0,0.0
74.88420569000002,0.0,149.76841138000003,340704.0737201338,0.0,0.0
76.93582777000003,0.0,153.87165554000006,314168.1223438666,0.0,0.0
78.98744985000002,0.0,157.97489970000004,290317.8446748512,0.0,0.0
81.03907193000003,0.0,162.07814386000007,268821.89148045535,0.0,0.0
83.09069401000002,0.0,166.18138802000004,249396.7844516476,0.0,0.0
85.14231609000004,0.0,170.28463218000007,231799.0379271413,0.0,0.0
87.19393817000002,0.0,174.38787634000005,215818.72822955222,0.0,0.0
89.24556025000004,0.0,178.49112050000008,201274.21811269224,0.0,0.0
91.29718233000004,0.0,182.59436466000008,188007.80804096966,0.0,0.0
93.34880441000004,0.0,186.69760882000008,175882.13506732503,0.0,0.0
95.40042649000004,0.0,190.8008529800001,164777.17777523003,0.0,0.0
97.45204857000004,0.0,194.9040971400001,154587.75490721036,0.0,0.0
99.50367065000005,0.0,199.0073413000001,145221.42798594935,0.0,0.0
101.55529273000003,0.0,203.11058546000007,136596.73598102506,0.0,0.0
TOTAL,13744440.0,-,-,0.0,0.0
