stress range (Mpa),Cycles_Annual
3.182077232,14230620.0
9.546231697,0.0
15.91038616,0.0
22.27454063,0.0
28.63869509,0.0
35.00284956,0.0
41.36700402,0.0
47.73115848,0.0
54.09531295,0.0
60.45946741,0.0
66.82362188,0.0
73.18777634,0.0
79.55193081,0.0
85.91608527,0.0
92.28023974,0.0
98.6443942,0.0
105.0085487,0.0
111.3727031,0.0
117.7368576,0.0
124.1010121,0.0
130.4651665,0.0
136.82932089999997,0.0
143.1934753,0.0
149.55762969999995,0.0
155.92178409999997,0.0
162.28593849999993,0.0
168.65009289999995,0.0
175.0142472999999,0.0
181.37840169999993,0.0
187.7425560999999,0.0
194.1067104999999,0.0
200.47086489999987,0.0
206.83501929999989,0.0
213.19917369999985,0.0
219.56332809999986,0.0
225.92748249999983,0.0
232.29163689999984,0.0
238.6557912999998,0.0
245.01994569999982,0.0
251.38410009999978,0.0
257.7482544999998,0.0
264.11240889999976,0.0
270.4765632999998,0.0
276.84071769999974,0.0
283.20487209999976,0.0
289.5690264999997,0.0
295.93318089999974,0.0
302.2973352999997,0.0
308.6614896999997,0.0
315.0256440999997,0.0
