condition_id,wind_speed,wave_hs,occurrence,annual_damage,cycles
72.0,9.0,0.37,7.000000000000001e-05,7.428680139640149e-14,72
49.0,9.0,0.09,0.00183,2.6420678240907114e-12,57
25.0,1.25,0.04,0.0123,4.2612937220302134e-19,1
1.0,5.0,0.15,0.0776,1.1352059322506593e-10,34
66.0,22.0,0.88,0.00027,1.6844565651841954e-09,203
35.0,7.0,0.2,0.005370000000000001,2.6036046747937685e-12,49
19.0,3.0,0.11,0.0169,1.7089825301319136e-12,28
65.0,18.0,1.22,0.00035999999999999997,5.819996978228972e-10,187
14.0,3.0,0.12,0.02334,2.616171295764033e-12,26
44.0,14.0,0.89,0.0028299999999999996,3.2458680132415758e-09,140
