condition_id,wind_speed,wave_hs,occurrence,annual_damage,cycles
76.0,11.0,0.5,4e-05,3.4758335255646354e-14,75
68.0,14.0,0.16,0.00021,2.58019968934398e-12,99
11.0,1.25,0.02,0.03639,1.3242913067270296e-19,1
33.0,7.0,0.32,0.0070599999999999994,3.651769776376646e-11,56
53.0,11.0,0.6,0.00104,2.7627613234411248e-11,80
15.0,3.0,0.04,0.019030000000000002,9.677244099741967e-18,1
13.0,5.0,0.18,0.024550000000000002,2.0356652196379176e-11,39
25.0,1.25,0.04,0.0123,4.996216956725168e-19,1
39.0,5.0,0.07,0.00394,1.1784555507975782e-13,29
27.0,7.0,0.33,0.01196,1.0842232683153317e-10,54
