# Rainflow Counting Results
# Total Cycles: 263
# Full Cycles: 189
# Half Cycles: 74
# Max Range: 37.816148
# Min Range: 0.113996
# Mean Range: 8.593829
Range,Counts
0.113996,0.5
0.180128,1.0
0.192175,1.0
0.346121,0.5
0.450882,0.5
0.740685,0.5
0.769622,0.5
1.022648,1.0
1.156172,0.5
1.278758,0.5
1.2955,0.5
1.457752,0.5
1.593315,0.5
1.702652,0.5
1.787043,0.5
1.909378,1.0
2.134657,0.5
2.139841,0.5
2.545274,0.5
2.56669,0.5
2.668905,0.5
2.698197,1.0
2.741634,1.0
2.768642,0.5
3.361267,1.0
3.393006,0.5
3.553323,1.0
3.578207,0.5
3.5806,1.0
3.580701,0.5
3.617266,1.0
3.648688,1.0
3.705863,0.5
3.830762,0.5
4.089345,0.5
4.449679,0.5
4.614959,1.0
4.615229,0.5
4.723684,1.0
4.734038,0.5
4.997184,0.5
5.000578,1.0
5.013439,1.0
5.028322,1.0
5.044476,1.0
5.051467,1.0
5.068527,1.0
5.073956,1.0
5.084333,1.0
5.091967,0.5
5.096326,1.0
5.100311,1.0
5.10199,1.0
5.103559,1.0
5.110219,1.0
5.150327,1.0
5.156082,1.0
5.185973,1.0
5.207338,1.0
5.210108,1.0
5.2568,1.0
5.28181,1.0
5.287022,1.0
5.290544,1.0
5.294863,0.5
5.310174,1.0
5.318893,1.0
5.338054,1.0
5.343755,1.0
5.35662,1.0
5.378814,1.0
5.408746,1.0
5.442884,1.0
5.471195,1.0
5.509246,1.0
5.523869,1.0
5.611022,1.0
5.611876,1.0
5.612784,1.0
5.614164,1.0
5.640962,1.0
5.642552,1.0
5.675146,1.0
5.678069,1.0
5.738239,0.5
5.764261,1.0
5.769535,0.5
5.800512,1.0
5.800692,1.0
5.814807,1.0
5.859784,1.0
5.923487,1.0
5.930071,0.5
6.011224,1.0
6.109286,1.0
6.143091,1.0
6.237947,1.0
6.25564,1.0
6.313086,1.0
6.322741,1.0
6.327154,0.5
6.332328,1.0
6.375242,1.0
6.387452,1.0
6.446133,1.0
6.492799,1.0
6.497474,1.0
6.524172,1.0
6.59489,1.0
6.611016,1.0
6.619875,1.0
6.63126,1.0
6.647791,1.0
6.656973,1.0
6.793108,1.0
6.80045,1.0
6.809069,1.0
6.878367,1.0
6.924035,1.0
6.948239,1.0
6.983657,1.0
7.008068,1.0
7.016931,1.0
7.030183,1.0
7.066086,0.5
7.067018,1.0
7.161712,1.0
7.184435,1.0
7.307807,1.0
7.316477,1.0
7.318139,1.0
7.333908,1.0
7.340261,1.0
7.347942,1.0
7.391118,1.0
7.418818,1.0
7.4674,0.5
7.488825,0.5
7.560649,1.0
7.561407,0.5
7.584723,1.0
7.733586,1.0
7.757774,0.5
7.849767,1.0
7.853647,1.0
7.861469,1.0
7.864269,1.0
7.949482,1.0
7.991659,1.0
8.018681,1.0
8.043482,1.0
8.044506,0.5
8.06828,1.0
8.070814,1.0
8.076799,1.0
8.077181,1.0
8.094565,1.0
8.215313,1.0
8.220514,1.0
8.407296,1.0
8.493289,0.5
8.523917,1.0
8.532139,1.0
8.532234,1.0
8.705635,0.5
8.776937,1.0
8.798693,1.0
8.935079,0.5
8.990774,1.0
8.992134,1.0
9.075643,1.0
9.145954,1.0
9.220742,1.0
9.320305,0.5
9.355444,1.0
9.386903,1.0
9.633698,1.0
9.770154,0.5
9.772809,0.5
9.774594,1.0
9.811679,1.0
9.845173,1.0
9.867262,1.0
9.884895,1.0
9.887813,1.0
9.901213,1.0
9.952151,1.0
9.982289,1.0
10.080801,1.0
10.105426,0.5
10.115932,1.0
10.200848,1.0
10.241734,0.5
10.244304,1.0
10.287085,1.0
10.291722,1.0
10.305471,1.0
10.376806,1.0
10.385326,1.0
10.461966,1.0
10.465535,1.0
10.571697,1.0
10.606962,1.0
10.689462,1.0
10.801726,0.5
10.806348,1.0
10.848219,1.0
10.937236,1.0
10.995985,1.0
11.022228,1.0
11.153987,1.0
11.302786,1.0
11.30952,1.0
11.573402,1.0
11.811363,0.5
11.812948,1.0
12.158572,1.0
12.264324,0.5
12.297442,1.0
12.418805,0.5
12.453831,0.5
12.817636,1.0
12.817826,1.0
13.002956,0.5
13.046194,0.5
13.067778,1.0
13.10786,1.0
13.228043,1.0
13.292465,1.0
13.833053,0.5
14.251384,0.5
14.312789,1.0
14.466822,1.0
14.481864,0.5
14.502792,1.0
14.522274,1.0
14.563527,1.0
14.772851,1.0
14.950548,1.0
15.207035,1.0
16.174745,1.0
16.580132,0.5
17.065923,0.5
17.282309,1.0
17.636268,1.0
17.893575,0.5
18.285727,0.5
18.454329,1.0
18.828212,1.0
19.051253,0.5
19.147873,1.0
20.618343,0.5
21.241652,1.0
21.328029,0.5
22.427338,0.5
22.532901,0.5
22.689462,0.5
24.804507,0.5
27.301953,0.5
28.82346,0.5
28.955361,0.5
33.362019,0.5
37.816148,0.5
