ObjectName,target_tension,line_length,line_EA,section_to_be_modified,calculated_length,tolerance,current_tension,new_line_length,end_Gy_force,end_Gx_force,tension_diff_percent,converged_line_length_total,length_percent_change
Line01,80,"[11.0, np.float64(17.113400000000013)]","[1170.0, 47700.0]",1,28.0364,50,79.9936,"[11.0, 17.1133]",-72.8956,27.114,-0.008,28.1133,0.2743
Line02,80,"[11.0, np.float64(15.021500000000014)]","[1170.0, 47700.0]",1,25.9094,50,79.9854,"[11.0, 15.0214]",-72.9798,25.8062,-0.0182,26.0214,0.4321
Line03,80,"[11.0, np.float64(8.913)]","[1170.0, 47700.0]",1,19.7159,1,156.3385,"[11.0, 8.913]",-112.252,96.9653,95.4231,19.913,0.9999
Line04,30,"[11.0, np.float64(7.634699999999999)]","[1170.0, 47700.0]",1,19.5312,50,29.9401,"[11.0, 7.6341]",-19.9722,-20.0401,-0.1995,18.6341,-4.5933
Line05,30,"[11.0, np.float64(6.207500000000003)]","[1170.0, 47700.0]",1,18.0099,50,29.9453,"[11.0, 6.207]",-20.1776,-19.4316,-0.1822,17.207,-4.4582
Line06,30,"[11.0, np.float64(5.936800000000002)]","[1170.0, 47700.0]",1,17.7392,50,29.938,"[11.0, 5.9362]",-19.8358,-19.6963,-0.2065,16.9362,-4.5268
Line07,45,"[11.0, np.float64(53.88549999999999)]","[1170.0, 47700.0]",1,66.9844,5,44.9436,"[11.0, 53.8849]",-5.1027,-44.5483,-0.1254,64.8849,-3.1343
Line08,45,"[11.0, np.float64(51.00769999999998)]","[1170.0, 47700.0]",1,64.0919,5,44.9438,"[11.0, 51.0071]",-5.1718,-44.5288,-0.1248,62.0071,-3.2528
Line09,100,"[11.0, np.float64(25.583300000000023)]","[1170.0, 47700.0]",1,35.698,5,100.0608,"[11.0, 25.5839]",-25.6018,96.2132,0.0608,36.5839,2.4817
Line10,100,"[11.0, np.float64(25.70859999999999)]","[1170.0, 47700.0]",1,35.8202,4,100.063,"[11.0, 25.7092]",-26.6165,95.9479,0.063,36.7092,2.4819
Line11,100,"[11.0, np.float64(45.62139999999996)]","[1170.0, 47700.0]",1,55.8027,3,100.0578,"[11.0, 45.622]",-24.9501,96.6964,0.0578,56.622,1.4682
Line12,60,"[11.0, np.float64(29.708999999999996)]","[1170.0, 47700.0]",1,40.3061,1,60.3771,"[11.0, 29.709]",-21.2676,-55.923,0.6285,40.709,0.9997
Line13,60,"[11.0, np.float64(22.93999999999999)]","[1170.0, 47700.0]",1,33.6039,1,75.4729,"[11.0, 22.94]",-41.5283,-61.8263,25.7882,33.94,1.0003
Line14,75,"[11.0, np.float64(22.953000000000003)]","[1170.0, 47700.0]",1,33.6175,1,74.9722,"[11.0, 22.9527]",-43.0305,-60.1938,-0.037,33.9527,0.9972
Line15,60,"[11.0, np.float64(82.16189999999995)]","[1170.0, 47700.0]",1,93.1714,1,59.9652,"[11.0, 82.1615]",-18.7261,-56.9262,-0.058,93.1615,-0.0106
Line16,60,"[11.0, np.float64(84.01890000000003)]","[1170.0, 47700.0]",1,95.0323,1,59.9714,"[11.0, 84.0186]",-19.8273,-56.5616,-0.0476,95.0186,-0.0144
