Range (kN),Mean (kN),Cycles_TimeTrace,Cycles_Annual,Bin_Number,Damage_Contribution
10.0,1216.0651686856281,15.0,4735135.135135136,1,0.0
30.0,1252.6856906620899,21.0,6629189.189189189,2,0.0
50.0,1296.8730301118744,29.0,9154594.594594594,3,0.0
70.0,1283.1495717192315,25.0,7891891.891891892,4,0.0
90.0,1354.2168219174532,20.0,6313513.513513514,5,0.0
110.0,1328.516241127316,16.0,5050810.810810811,6,0.0
130.0,1265.1362907561493,19.0,5997837.837837838,7,0.0
150.0,1294.7267232916874,14.0,4419459.459459459,8,0.0
170.0,1226.1301099574978,15.0,4735135.135135136,9,0.0
190.0,1286.6883449090162,17.0,5366486.486486486,10,0.0
210.0,1283.7012471276526,14.0,4419459.459459459,11,0.0
230.0,1231.5290157868394,15.0,4735135.135135136,12,0.0
250.0,1257.1849344832494,17.0,5366486.486486486,13,0.0
270.0,1296.9052702025072,8.0,2525405.4054054054,14,0.0
290.0,1244.428014891847,11.0,3472432.4324324327,15,0.0
310.0,1307.0322027799427,10.5,3314594.5945945946,16,0.0
330.0,1261.8004463544214,8.5,2683243.243243243,17,0.0
350.0,1296.6325183334286,17.0,5366486.486486486,18,0.0
370.0,1284.5931733870202,5.0,1578378.3783783785,19,0.0
390.0,1315.6525270520062,7.0,2209729.7297297297,20,0.0
410.0,1191.053009919826,1.0,315675.6756756757,21,0.0
430.0,1203.5601663661068,4.0,1262702.7027027027,22,0.0
450.0,1276.3493901106729,3.0,947027.027027027,23,0.0
470.0,1365.8575259573736,3.5,1104864.8648648649,24,0.0
490.0,1489.9161468939528,1.0,315675.6756756757,25,0.0
510.0,0.0,0.0,0.0,26,0.0
530.0,0.0,0.0,0.0,27,0.0
550.0,0.0,0.0,0.0,28,0.0
570.0,0.0,0.0,0.0,29,0.0
590.0,0.0,0.0,0.0,30,0.0
610.0,0.0,0.0,0.0,31,0.0
630.0,0.0,0.0,0.0,32,0.0
650.0,0.0,0.0,0.0,33,0.0
670.0,0.0,0.0,0.0,34,0.0
690.0,0.0,0.0,0.0,35,0.0
710.0,0.0,0.0,0.0,36,0.0
730.0,1229.8625892960663,0.5,157837.83783783784,37,0.0
750.0,1315.381985472953,0.5,157837.83783783784,38,0.0
770.0,1328.2211961016403,0.5,157837.83783783784,39,0.0
790.0,1277.4033355897868,1.0,315675.6756756757,40,0.0
810.0,0.0,0.0,0.0,41,0.0
830.0,1332.03861912652,1.0,315675.6756756757,42,0.0
850.0,1293.1596209218076,1.0,315675.6756756757,43,0.0
870.0,1286.289377871805,1.5,473513.5135135135,44,0.0
890.0,1305.6294259650663,1.0,315675.6756756757,45,0.0
910.0,0.0,0.0,0.0,46,0.0
930.0,0.0,0.0,0.0,47,0.0
950.0,1327.7548385938508,1.0,315675.6756756757,48,0.0
970.0,1338.9965363860301,1.0,315675.6756756757,49,0.0
990.0,1326.2333476962613,1.0,315675.6756756757,50,0.0
