Frequency (Hz),Period (s),PSD (kN²/Hz),Amplitude (kN/√Hz)
0.0,inf,97.21894443376353,9.859966756219999
0.002,500.0,449.5950866422198,21.203657388342698
0.004,250.0,610.9489613483303,24.717381765638734
0.006,166.66666666666666,726.8824030623484,26.96075672273218
0.008,125.0,577.3850701465483,24.028838302060052
0.01,100.0,630.3741261896141,25.107252461980266
0.012,83.33333333333333,1383.5225194347815,37.19573254332789
0.014,71.42857142857143,1551.4197854010781,39.388066535450534
0.016,62.5,551.6481555959951,23.487191309222037
0.018000000000000002,55.55555555555555,1190.5869509794743,34.50488300196763
0.02,50.0,3346.123770194167,57.84568929656009
0.022,45.45454545454546,5831.4534511447155,76.36395387317707
0.024,41.666666666666664,4739.417325424612,68.84342615983469
0.026000000000000002,38.46153846153846,1466.4302631465694,38.293997743074165
0.028,35.714285714285715,489.5285013548022,22.125290989155424
0.03,33.333333333333336,223.11687383650903,14.937097235959504
0.032,31.25,109.64989056645366,10.471384367238826
0.034,29.41176470588235,118.04012698548786,10.86462732842171
0.036000000000000004,27.777777777777775,76.30442576159092,8.735240452419779
0.038,26.315789473684212,64.98393333555227,8.061261274487526
0.04,25.0,54.008181069246966,7.349025858523493
0.042,23.809523809523807,33.849439348518295,5.818027101047081
0.044,22.72727272727273,29.866038747483923,5.464982959487058
0.046,21.73913043478261,24.52727721784727,4.952502116894779
0.048,20.833333333333332,20.94385452238921,4.576445621045792
0.05,20.0,16.423066003390446,4.052538217388017
0.052000000000000005,19.23076923076923,19.475899430461695,4.413150737337406
0.054,18.51851851851852,22.17416648252361,4.708945368394457
0.056,17.857142857142858,21.24338085564613,4.6090542257220335
0.058,17.241379310344826,20.787368699856486,4.559316692209095
0.06,16.666666666666668,15.710836700144993,3.963689783540709
0.062,16.129032258064516,13.47339996684428,3.6706130233033663
0.064,15.625,15.604386845173106,3.9502388339406904
0.066,15.15151515151515,14.642776552142626,3.826588108503792
0.068,14.705882352941176,11.066290645622907,3.3266034698507285
0.07,14.285714285714285,11.574889907352691,3.4021889876008786
0.07200000000000001,13.888888888888888,8.95522821238391,2.9925287320899545
0.074,13.513513513513514,9.085018354695071,3.0141364193903155
0.076,13.157894736842106,8.786144481754443,2.964143127744415
0.078,12.820512820512821,7.770770799472507,2.7876102309097135
0.08,12.5,7.679966308509628,2.7712752134188383
0.082,12.195121951219512,7.0752225765475805,2.6599290547959322
0.084,11.904761904761903,6.73598287886645,2.595377213213226
0.08600000000000001,11.627906976744185,6.217741934073312,2.4935400405995716
0.088,11.363636363636365,6.346393349369471,2.5192049042047913
0.09,11.11111111111111,6.524888789546299,2.554386186453861
0.092,10.869565217391305,6.634799855811776,2.5758105240509783
0.094,10.638297872340425,6.16898229358484,2.4837436046389407
0.096,10.416666666666666,6.268081965134674,2.5036137811441033
0.098,10.204081632653061,5.856501064448152,2.420020880994243
0.1,10.0,5.172001704161137,2.274203531824084
0.10200000000000001,9.80392156862745,6.069046187088726,2.4635434209870803
0.10400000000000001,9.615384615384615,7.188721758171038,2.68117917308244
0.106,9.433962264150944,6.644562149404838,2.5777048220082994
0.108,9.25925925925926,13.77474776763672,3.711434731695644
0.11,9.090909090909092,14.309587247976177,3.782801507874313
0.112,8.928571428571429,10.892352907399319,3.3003564818666664
0.114,8.771929824561402,8.180669385598723,2.8601869494140977
0.116,8.620689655172413,6.531502294837772,2.5556803976314746
0.11800000000000001,8.47457627118644,6.686780772706948,2.585881043804403
0.12,8.333333333333334,6.8148536323624045,2.610527462480026
0.122,8.19672131147541,5.791578830428376,2.406569930508643
0.124,8.064516129032258,4.426849400726859,2.1040079374201177
0.126,7.936507936507937,4.563301043901566,2.136188438294142
0.128,7.8125,4.45153630554175,2.1098664188857432
0.13,7.692307692307692,3.699621830355962,1.923440103137075
0.132,7.575757575757575,3.577163238398165,1.891339006735219
0.134,7.462686567164178,3.983442424244125,1.9958563135266338
0.136,7.352941176470588,3.493029601230697,1.8689648475107008
0.138,7.246376811594202,2.6876401790254842,1.6394023847199577
0.14,7.142857142857142,2.836926092391388,1.6843176934270412
0.14200000000000002,7.04225352112676,2.8363801364426897,1.684155615269174
0.14400000000000002,6.944444444444444,2.614362416492648,1.6168990124595437
0.146,6.849315068493151,2.872543844168805,1.6948580601834493
0.148,6.756756756756757,2.7154986341579845,1.6478770082011536
0.15,6.666666666666667,2.175441503999398,1.4749377966542854
0.152,6.578947368421053,2.0282513891119107,1.4241669105522397
0.154,6.4935064935064934,2.054639489496581,1.433401370690213
0.156,6.410256410256411,2.146729850299965,1.4651722937252005
0.158,6.329113924050633,1.9047978953641624,1.3801441574575326
0.16,6.25,1.7800904916181879,1.3342003191493352
0.162,6.172839506172839,1.5341515350664514,1.238608709426206
0.164,6.097560975609756,1.9815834728673034,1.4076872780796534
0.166,6.024096385542168,1.8496580494705361,1.3600213415496598
0.168,5.952380952380952,1.5175813923623658,1.2319015351733131
0.17,5.88235294117647,1.295128145428826,1.1380369701502786
0.17200000000000001,5.813953488372093,1.2177308918013883,1.1035084466379894
0.17400000000000002,5.747126436781609,1.345602512337492,1.1600010829035858
0.176,5.6818181818181825,1.2809143665695881,1.1317748745088787
0.178,5.617977528089888,1.3756418372501444,1.1728775883484792
0.18,5.555555555555555,1.4168576281970953,1.1903182886090153
0.182,5.4945054945054945,1.1691725070381325,1.0812828062251487
0.184,5.434782608695652,1.1361141706109297,1.0658865655457572
0.186,5.376344086021505,1.1132513490383826,1.0551072689723935
0.188,5.319148936170213,0.9856561923483919,0.9928021919538614
0.19,5.2631578947368425,1.3208452922052953,1.1492803366478064
0.192,5.208333333333333,1.119127699650818,1.0578883209728793
0.194,5.154639175257731,1.1060948645527415,1.051710447106399
0.196,5.1020408163265305,0.9406442714323103,0.9698681721926492
0.198,5.05050505050505,0.8462017264142981,0.9198922363050458
0.2,5.0,1.1506121443502464,1.0726659052800394
0.202,4.9504950495049505,0.9794891427994563,0.9896914381762916
0.20400000000000001,4.901960784313725,1.1208225476609381,1.0586890703416836
0.20600000000000002,4.854368932038835,0.7378869715579607,0.8590034758707096
0.20800000000000002,4.8076923076923075,0.8072980368299559,0.8984976554393205
0.21,4.761904761904762,0.3370457938902876,0.5805564519409698
0.212,4.716981132075472,0.7958183632815935,0.8920865223068856
0.214,4.672897196261682,0.5302909247590343,0.7282107694610361
0.216,4.62962962962963,0.9087694021169812,0.9532939746568113
0.218,4.587155963302752,0.6481300720388257,0.8050652594906985
0.22,4.545454545454546,0.9090863729216446,0.9534602104553942
0.222,4.504504504504505,0.6218742429228017,0.788590034760015
0.224,4.464285714285714,0.8273657540161634,0.9095964786740126
0.226,4.424778761061947,0.8733374689399463,0.9345252639388335
0.228,4.385964912280701,0.6896554171710516,0.8304549459007705
0.23,4.3478260869565215,0.7901604626288948,0.888909704429474
0.232,4.310344827586206,0.4032100278738637,0.6349882108148652
0.234,4.273504273504273,0.7723035882529259,0.8788080497201456
0.23600000000000002,4.23728813559322,0.36049280479760093,0.6004105302187837
0.23800000000000002,4.201680672268907,0.66148909533948,0.8133197989348839
0.24,4.166666666666667,0.5666190589293828,0.7527410304542876
